dataset,group,model,engine,execution_mode,run_date,pycaret_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape,time
M3,Monthly,ada_cds_dt,ray,native,2022-12-25,3.0.0.rc6,1428.0,100.0,0.0,0.0,,23.427,18.219,24.45
M3,Monthly,arima,ray,native,2023-01-06,3.0.0.rc6,1428.0,100.0,0.0,0.0,,28.467,18.551,10.483
M3,Monthly,auto_arima,ray,native,,,1428.0,,,,,,,
M3,Monthly,bats,ray,native,,,1428.0,,,,,,,
M3,Monthly,br_cds_dt,ray,native,2023-01-06,3.0.0.rc6,1428.0,100.0,0.0,0.0,,22.599,18.24,17.483
M3,Monthly,croston,ray,native,2023-01-06,3.0.0.rc6,1428.0,100.0,0.0,0.0,,23.869,16.809,8.933
M3,Monthly,dt_cds_dt,ray,native,2023-01-07,3.0.0.rc6,1428.0,100.0,0.0,0.0,,27.304,21.638,17.183
M3,Monthly,en_cds_dt,ray,native,2023-01-06,3.0.0.rc6,1428.0,100.0,0.0,0.0,,24.25,18.392,17.4
M3,Monthly,ensemble_forecaster,ray,native,,,1428.0,,,,,,,
M3,Monthly,et_cds_dt,ray,native,2023-01-07,3.0.0.rc6,1428.0,100.0,0.0,0.0,,24.642,19.366,20.033
M3,Monthly,ets,ray,native,2023-01-06,3.0.0.rc6,1428.0,99.71988795518207,0.2801120448179262,0.0,naive,24.516,16.686,9.95
M3,Monthly,exp_smooth,ray,native,2023-01-06,3.0.0.rc6,1428.0,99.71988795518207,0.2801120448179262,0.0,naive,24.29,16.681,9.617
M3,Monthly,gbr_cds_dt,ray,native,2023-01-07,3.0.0.rc6,1428.0,100.0,0.0,0.0,,24.969,19.766,17.617
M3,Monthly,grand_means,ray,native,2023-01-06,3.0.0.rc6,1428.0,100.0,0.0,0.0,,36.208,27.127,9.15
M3,Monthly,huber_cds_dt,ray,native,2023-01-06,3.0.0.rc6,1428.0,99.64985994397759,0.3501400560224113,0.0,naive,22.619,18.28,17.267
M3,Monthly,knn_cds_dt,ray,native,2023-01-07,3.0.0.rc6,1428.0,100.0,0.0,0.0,,24.357,18.365,17.4
M3,Monthly,lar_cds_dt,ray,native,2023-01-06,3.0.0.rc6,1428.0,99.71988795518207,0.2801120448179262,0.0,naive,8.951930810165855e+219,19.495,17.167
