os,python_version,library,library_version,dataset,group,model,model_engine,execution_engine,execution_mode,run_date,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape,time
,,pycaret,,M3,Monthly,ada_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,arima,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,auto_arima,pmdarima,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,auto_arima,statsforecast,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,bats,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,br_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,croston,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,dt_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,en_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,en_cds_dt,sklearnex,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,ensemble_forecaster,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,et_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,ets,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,exp_smooth,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,gbr_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,grand_means,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,huber_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,knn_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,knn_cds_dt,sklearnex,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,lar_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,lasso_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,lasso_cds_dt,sklearnex,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,lightgbm_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,llar_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,lr_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,lr_cds_dt,sklearnex,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,naive,None,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,omp_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,par_cds_dt,sklearn,,native,,1428.0,,,,,,,
,,pycaret,,M3,Monthly,polytrend,None,,native,,1428.0,,,,,,,
