os,python_version,library,library_version,dataset,group,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape
,,pycaret,,M3,Monthly,ada_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,arima,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,auto_arima,pmdarima,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,auto_arima,statsforecast,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,bats,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,br_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,croston,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,dt_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,en_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,en_cds_dt,sklearnex,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,ensemble_forecaster,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,et_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,ets,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,exp_smooth,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,gbr_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,grand_means,None,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,huber_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,knn_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,knn_cds_dt,sklearnex,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,lar_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,lasso_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,lasso_cds_dt,sklearnex,,ray,,native,,1428.0,,,,,,
,,pycaret,,M3,Monthly,lightgbm_cds_dt,sklearn,,ray,,native,,1428.0,,,,,,
