unique_id,ds,y_pred,model_name,model
M1,1994-03-01,3797.3103,arima,ARIMA()
M1,1994-04-01,3594.2612,arima,ARIMA()
M1,1994-05-01,3623.7671,arima,ARIMA()
M1,1994-06-01,3619.4795,arima,ARIMA()
M1,1994-07-01,3620.1026,arima,ARIMA()
M1,1994-08-01,3620.012,arima,ARIMA()
M1,1994-09-01,3620.0252,arima,ARIMA()
M1,1994-10-01,3620.0233,arima,ARIMA()
M1,1994-11-01,3620.0235,arima,ARIMA()
M1,1994-12-01,3620.0235,arima,ARIMA()
M1,1995-01-01,3620.0235,arima,ARIMA()
M1,1995-02-01,3620.0235,arima,ARIMA()
M1,1995-03-01,3620.0235,arima,ARIMA()
M1,1995-04-01,3620.0235,arima,ARIMA()
M1,1995-05-01,3620.0235,arima,ARIMA()
M1,1995-06-01,3620.0235,arima,ARIMA()
M1,1995-07-01,3620.0235,arima,ARIMA()
M1,1995-08-01,3620.0235,arima,ARIMA()
M10,1994-03-01,5089.4385,arima,ARIMA()
M10,1994-04-01,4763.7153,arima,ARIMA()
M10,1994-05-01,4662.7259,arima,ARIMA()
M10,1994-06-01,4631.4144,arima,ARIMA()
M10,1994-07-01,4621.7064,arima,ARIMA()
M10,1994-08-01,4618.6965,arima,ARIMA()
M10,1994-09-01,4617.7633,arima,ARIMA()
M10,1994-10-01,4617.4739,arima,ARIMA()
M10,1994-11-01,4617.3842,arima,ARIMA()
M10,1994-12-01,4617.3564,arima,ARIMA()
M10,1995-01-01,4617.3478,arima,ARIMA()
M10,1995-02-01,4617.3451,arima,ARIMA()
M10,1995-03-01,4617.3443,arima,ARIMA()
M10,1995-04-01,4617.344,arima,ARIMA()
M10,1995-05-01,4617.3439,arima,ARIMA()
M10,1995-06-01,4617.3439,arima,ARIMA()
M10,1995-07-01,4617.3439,arima,ARIMA()
M10,1995-08-01,4617.3439,arima,ARIMA()
M100,1994-04-01,5254.3327,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-05-01,4197.4094,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-06-01,5828.2782,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-07-01,5178.2502,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-08-01,4738.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-09-01,4868.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-10-01,4588.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-11-01,5088.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1994-12-01,6178.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-01-01,6618.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-02-01,5618.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-03-01,4868.2511,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-04-01,4642.5838,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-05-01,3585.6605,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-06-01,5216.5293,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-07-01,4566.5012,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-08-01,4126.5022,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M100,1995-09-01,4256.5021,arima,"ARIMA(seasonal_order=(0, 1, 0, 12))"
M1000,1992-09-01,4484.7713,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1992-10-01,4528.0465,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1992-11-01,4510.7368,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1992-12-01,4533.9626,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-01-01,4492.0519,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-02-01,4490.5395,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-03-01,4561.167,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-04-01,4563.6814,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-05-01,4502.8352,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-06-01,4478.5851,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-07-01,4518.6926,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-08-01,4541.7224,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-09-01,4544.2432,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-10-01,4586.0263,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-11-01,4582.6461,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1993-12-01,4591.6794,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1994-01-01,4585.3054,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1000,1994-02-01,4637.105,arima,"ARIMA(seasonal_order=(0, 1, 0, 18))"
M1001,1992-09-01,6580.2854,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1992-10-01,6633.7421,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1992-11-01,6727.45,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1992-12-01,6662.2354,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-01-01,6706.855,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-02-01,6793.4634,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-03-01,6722.5452,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-04-01,6762.5827,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-05-01,6845.5098,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-06-01,6771.6344,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-07-01,6809.296,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-08-01,6890.3144,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-09-01,6814.9055,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-10-01,6851.3352,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-11-01,6931.3639,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1993-12-01,6855.1599,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1994-01-01,6890.9508,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1001,1994-02-01,6970.4664,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1992-09-01,5695.9365,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1992-10-01,5710.2963,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1992-11-01,5732.3365,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1992-12-01,5778.0672,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-01-01,5786.0638,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-02-01,5802.4846,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-03-01,5843.253,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-04-01,5846.8674,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-05-01,5859.4185,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-06-01,5896.7695,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-07-01,5897.3661,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-08-01,5907.2522,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-09-01,5942.2499,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-10-01,5940.7682,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-11-01,5948.8191,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1993-12-01,5982.1961,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1994-01-01,5979.2833,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1002,1994-02-01,5986.0703,arima,"ARIMA(seasonal_order=(0, 1, 0, 3))"
M1003,1992-09-01,5920.3514,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
M1003,1992-10-01,5947.8451,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
M1003,1992-11-01,5968.442,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
M1003,1992-12-01,5986.0874,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
M1003,1993-01-01,6000.0661,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
M1003,1993-02-01,6013.2639,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
M1003,1993-03-01,6024.2537,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
