unique_id,ds,y_pred,model_name,model
M1,1994-03-01,2720.1061,ets,AutoETS(trend='add')
M1,1994-04-01,2646.5497,ets,AutoETS(trend='add')
M1,1994-05-01,2572.9933,ets,AutoETS(trend='add')
M1,1994-06-01,2499.437,ets,AutoETS(trend='add')
M1,1994-07-01,2425.8806,ets,AutoETS(trend='add')
M1,1994-08-01,2352.3242,ets,AutoETS(trend='add')
M1,1994-09-01,2278.7679,ets,AutoETS(trend='add')
M1,1994-10-01,2205.2115,ets,AutoETS(trend='add')
M1,1994-11-01,2131.6551,ets,AutoETS(trend='add')
M1,1994-12-01,2058.0988,ets,AutoETS(trend='add')
M1,1995-01-01,1984.5424,ets,AutoETS(trend='add')
M1,1995-02-01,1910.9861,ets,AutoETS(trend='add')
M1,1995-03-01,1837.4297,ets,AutoETS(trend='add')
M1,1995-04-01,1763.8733,ets,AutoETS(trend='add')
M1,1995-05-01,1690.317,ets,AutoETS(trend='add')
M1,1995-06-01,1616.7606,ets,AutoETS(trend='add')
M1,1995-07-01,1543.2042,ets,AutoETS(trend='add')
M1,1995-08-01,1469.6479,ets,AutoETS(trend='add')
M10,1994-03-01,4792.6439,ets,AutoETS(trend='add')
M10,1994-04-01,4800.5192,ets,AutoETS(trend='add')
M10,1994-05-01,4808.3944,ets,AutoETS(trend='add')
M10,1994-06-01,4816.2696,ets,AutoETS(trend='add')
M10,1994-07-01,4824.1449,ets,AutoETS(trend='add')
M10,1994-08-01,4832.0201,ets,AutoETS(trend='add')
M10,1994-09-01,4839.8954,ets,AutoETS(trend='add')
M10,1994-10-01,4847.7706,ets,AutoETS(trend='add')
M10,1994-11-01,4855.6459,ets,AutoETS(trend='add')
M10,1994-12-01,4863.5211,ets,AutoETS(trend='add')
M10,1995-01-01,4871.3964,ets,AutoETS(trend='add')
M10,1995-02-01,4879.2716,ets,AutoETS(trend='add')
M10,1995-03-01,4887.1469,ets,AutoETS(trend='add')
M10,1995-04-01,4895.0221,ets,AutoETS(trend='add')
M10,1995-05-01,4902.8973,ets,AutoETS(trend='add')
M10,1995-06-01,4910.7726,ets,AutoETS(trend='add')
M10,1995-07-01,4918.6478,ets,AutoETS(trend='add')
M10,1995-08-01,4926.5231,ets,AutoETS(trend='add')
M100,1994-04-01,5711.91,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-05-01,5424.8576,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-06-01,5463.9745,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-07-01,5559.8135,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-08-01,5069.3149,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-09-01,5155.3701,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-10-01,5425.7101,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-11-01,5128.9483,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1994-12-01,6072.029,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-01-01,5802.2374,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-02-01,4991.9399,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-03-01,5142.1521,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-04-01,5131.1451,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-05-01,4868.5655,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-06-01,4898.8419,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-07-01,4979.7689,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-08-01,4535.8048,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M100,1995-09-01,4608.0027,ets,"AutoETS(seasonal='mul', sp=12, trend='add')"
M1000,1992-09-01,4542.2903,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1992-10-01,4575.0212,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1992-11-01,4574.6195,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1992-12-01,4577.9954,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-01-01,4587.4552,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-02-01,4618.2977,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-03-01,4640.1033,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-04-01,4654.712,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-05-01,4683.6118,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-06-01,4682.7389,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-07-01,4650.5908,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-08-01,4703.865,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-09-01,4694.7533,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-10-01,4709.8974,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-11-01,4690.2829,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1993-12-01,4709.4015,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1994-01-01,4685.2262,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1000,1994-02-01,4691.7747,ets,"AutoETS(seasonal='mul', sp=18, trend='add')"
M1001,1992-09-01,6659.6475,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1992-10-01,6681.6547,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1992-11-01,6717.1706,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1992-12-01,6742.2944,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-01-01,6764.2331,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-02-01,6799.8473,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-03-01,6824.9413,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-04-01,6846.8115,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-05-01,6882.5241,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-06-01,6907.5882,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-07-01,6929.3899,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-08-01,6965.2008,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-09-01,6990.2351,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-10-01,7011.9683,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-11-01,7047.8776,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
M1001,1993-12-01,7072.8819,ets,"AutoETS(seasonal='mul', sp=3, trend='add')"
