unique_id,ds,y_pred,model_name,model
M1,1994-03-01,2778.5363,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-04-01,2713.2243,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-05-01,2647.9123,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-06-01,2582.6002,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-07-01,2517.2882,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-08-01,2451.9762,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-09-01,2386.6642,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-10-01,2321.3521,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-11-01,2256.0401,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1994-12-01,2190.7281,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-01-01,2125.4161,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-02-01,2060.104,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-03-01,1994.792,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-04-01,1929.48,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-05-01,1864.1679,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-06-01,1798.8559,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-07-01,1733.5439,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M1,1995-08-01,1668.2319,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-03-01,4779.9124,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-04-01,4787.1983,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-05-01,4794.4841,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-06-01,4801.77,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-07-01,4809.0558,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-08-01,4816.3417,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-09-01,4823.6275,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-10-01,4830.9134,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-11-01,4838.1992,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1994-12-01,4845.4851,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-01-01,4852.7709,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-02-01,4860.0568,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-03-01,4867.3426,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-04-01,4874.6285,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-05-01,4881.9143,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-06-01,4889.2001,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-07-01,4896.486,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M10,1995-08-01,4903.7718,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
M100,1994-04-01,5137.9799,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-05-01,4876.5435,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-06-01,4907.0028,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-07-01,4990.59,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-08-01,4541.7884,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-09-01,4616.5125,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-10-01,4889.8043,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-11-01,4587.8195,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1994-12-01,5430.0189,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-01-01,5746.3361,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-02-01,4380.8755,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-03-01,4507.2756,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-04-01,4431.5746,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-05-01,4198.3117,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-06-01,4216.5321,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-07-01,4280.0255,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-08-01,3887.3599,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M100,1995-09-01,3943.2325,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=12, trend='add')"
M1000,1992-09-01,4541.222,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1992-10-01,4574.2634,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1992-11-01,4574.1971,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1992-12-01,4577.9149,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1993-01-01,4587.6875,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1993-02-01,4618.8149,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1993-03-01,4640.9457,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1993-04-01,4655.9726,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1993-05-01,4683.8453,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
M1000,1993-06-01,4682.2079,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=18, trend='add')"
