unique_id,ds,y_pred,model_name,model
M1,1994-03-01,2400.0,naive,NaiveForecaster()
M1,1994-04-01,2400.0,naive,NaiveForecaster()
M1,1994-05-01,2400.0,naive,NaiveForecaster()
M1,1994-06-01,2400.0,naive,NaiveForecaster()
M1,1994-07-01,2400.0,naive,NaiveForecaster()
M1,1994-08-01,2400.0,naive,NaiveForecaster()
M1,1994-09-01,2400.0,naive,NaiveForecaster()
M1,1994-10-01,2400.0,naive,NaiveForecaster()
M1,1994-11-01,2400.0,naive,NaiveForecaster()
M1,1994-12-01,2400.0,naive,NaiveForecaster()
M1,1995-01-01,2400.0,naive,NaiveForecaster()
M1,1995-02-01,2400.0,naive,NaiveForecaster()
M1,1995-03-01,2400.0,naive,NaiveForecaster()
M1,1995-04-01,2400.0,naive,NaiveForecaster()
M1,1995-05-01,2400.0,naive,NaiveForecaster()
M1,1995-06-01,2400.0,naive,NaiveForecaster()
M1,1995-07-01,2400.0,naive,NaiveForecaster()
M1,1995-08-01,2400.0,naive,NaiveForecaster()
M10,1994-03-01,6140.0,naive,NaiveForecaster()
M10,1994-04-01,6140.0,naive,NaiveForecaster()
M10,1994-05-01,6140.0,naive,NaiveForecaster()
M10,1994-06-01,6140.0,naive,NaiveForecaster()
M10,1994-07-01,6140.0,naive,NaiveForecaster()
M10,1994-08-01,6140.0,naive,NaiveForecaster()
M10,1994-09-01,6140.0,naive,NaiveForecaster()
M10,1994-10-01,6140.0,naive,NaiveForecaster()
M10,1994-11-01,6140.0,naive,NaiveForecaster()
M10,1994-12-01,6140.0,naive,NaiveForecaster()
M10,1995-01-01,6140.0,naive,NaiveForecaster()
M10,1995-02-01,6140.0,naive,NaiveForecaster()
M10,1995-03-01,6140.0,naive,NaiveForecaster()
M10,1995-04-01,6140.0,naive,NaiveForecaster()
M10,1995-05-01,6140.0,naive,NaiveForecaster()
M10,1995-06-01,6140.0,naive,NaiveForecaster()
M10,1995-07-01,6140.0,naive,NaiveForecaster()
M10,1995-08-01,6140.0,naive,NaiveForecaster()
M100,1994-04-01,5480.0,naive,NaiveForecaster()
M100,1994-05-01,5480.0,naive,NaiveForecaster()
M100,1994-06-01,5480.0,naive,NaiveForecaster()
M100,1994-07-01,5480.0,naive,NaiveForecaster()
M100,1994-08-01,5480.0,naive,NaiveForecaster()
M100,1994-09-01,5480.0,naive,NaiveForecaster()
M100,1994-10-01,5480.0,naive,NaiveForecaster()
M100,1994-11-01,5480.0,naive,NaiveForecaster()
M100,1994-12-01,5480.0,naive,NaiveForecaster()
M100,1995-01-01,5480.0,naive,NaiveForecaster()
M100,1995-02-01,5480.0,naive,NaiveForecaster()
