unique_id,ds,y_pred,model_name,model
M1,1994-03-01,3624.8816,polytrend,PolynomialTrendForecaster()
M1,1994-04-01,3625.4809,polytrend,PolynomialTrendForecaster()
M1,1994-05-01,3626.0802,polytrend,PolynomialTrendForecaster()
M1,1994-06-01,3626.6795,polytrend,PolynomialTrendForecaster()
M1,1994-07-01,3627.2788,polytrend,PolynomialTrendForecaster()
M1,1994-08-01,3627.878,polytrend,PolynomialTrendForecaster()
M1,1994-09-01,3628.4773,polytrend,PolynomialTrendForecaster()
M1,1994-10-01,3629.0766,polytrend,PolynomialTrendForecaster()
M1,1994-11-01,3629.6759,polytrend,PolynomialTrendForecaster()
M1,1994-12-01,3630.2752,polytrend,PolynomialTrendForecaster()
M1,1995-01-01,3630.8744,polytrend,PolynomialTrendForecaster()
M1,1995-02-01,3631.4737,polytrend,PolynomialTrendForecaster()
M1,1995-03-01,3632.073,polytrend,PolynomialTrendForecaster()
M1,1995-04-01,3632.6723,polytrend,PolynomialTrendForecaster()
M1,1995-05-01,3633.2715,polytrend,PolynomialTrendForecaster()
M1,1995-06-01,3633.8708,polytrend,PolynomialTrendForecaster()
M1,1995-07-01,3634.4701,polytrend,PolynomialTrendForecaster()
M1,1995-08-01,3635.0694,polytrend,PolynomialTrendForecaster()
M10,1994-03-01,4756.2776,polytrend,PolynomialTrendForecaster()
M10,1994-04-01,4762.0139,polytrend,PolynomialTrendForecaster()
M10,1994-05-01,4767.7503,polytrend,PolynomialTrendForecaster()
M10,1994-06-01,4773.4867,polytrend,PolynomialTrendForecaster()
M10,1994-07-01,4779.223,polytrend,PolynomialTrendForecaster()
M10,1994-08-01,4784.9594,polytrend,PolynomialTrendForecaster()
M10,1994-09-01,4790.6958,polytrend,PolynomialTrendForecaster()
M10,1994-10-01,4796.4322,polytrend,PolynomialTrendForecaster()
M10,1994-11-01,4802.1685,polytrend,PolynomialTrendForecaster()
M10,1994-12-01,4807.9049,polytrend,PolynomialTrendForecaster()
M10,1995-01-01,4813.6413,polytrend,PolynomialTrendForecaster()
M10,1995-02-01,4819.3777,polytrend,PolynomialTrendForecaster()
M10,1995-03-01,4825.114,polytrend,PolynomialTrendForecaster()
M10,1995-04-01,4830.8504,polytrend,PolynomialTrendForecaster()
M10,1995-05-01,4836.5868,polytrend,PolynomialTrendForecaster()
M10,1995-06-01,4842.3232,polytrend,PolynomialTrendForecaster()
M10,1995-07-01,4848.0595,polytrend,PolynomialTrendForecaster()
M10,1995-08-01,4853.7959,polytrend,PolynomialTrendForecaster()
M100,1994-04-01,5327.7333,polytrend,PolynomialTrendForecaster()
M100,1994-05-01,5268.0157,polytrend,PolynomialTrendForecaster()
M100,1994-06-01,5208.298,polytrend,PolynomialTrendForecaster()
M100,1994-07-01,5148.5804,polytrend,PolynomialTrendForecaster()
M100,1994-08-01,5088.8627,polytrend,PolynomialTrendForecaster()
M100,1994-09-01,5029.1451,polytrend,PolynomialTrendForecaster()
M100,1994-10-01,4969.4275,polytrend,PolynomialTrendForecaster()
M100,1994-11-01,4909.7098,polytrend,PolynomialTrendForecaster()
M100,1994-12-01,4849.9922,polytrend,PolynomialTrendForecaster()
M100,1995-01-01,4790.2745,polytrend,PolynomialTrendForecaster()
M100,1995-02-01,4730.5569,polytrend,PolynomialTrendForecaster()
M100,1995-03-01,4670.8392,polytrend,PolynomialTrendForecaster()
M100,1995-04-01,4611.1216,polytrend,PolynomialTrendForecaster()
M100,1995-05-01,4551.4039,polytrend,PolynomialTrendForecaster()
M100,1995-06-01,4491.6863,polytrend,PolynomialTrendForecaster()
M100,1995-07-01,4431.9686,polytrend,PolynomialTrendForecaster()
M100,1995-08-01,4372.251,polytrend,PolynomialTrendForecaster()
M100,1995-09-01,4312.5333,polytrend,PolynomialTrendForecaster()
M1000,1992-09-01,4457.5559,polytrend,PolynomialTrendForecaster()
M1000,1992-10-01,4465.2051,polytrend,PolynomialTrendForecaster()
M1000,1992-11-01,4472.8543,polytrend,PolynomialTrendForecaster()
M1000,1992-12-01,4480.5036,polytrend,PolynomialTrendForecaster()
M1000,1993-01-01,4488.1528,polytrend,PolynomialTrendForecaster()
M1000,1993-02-01,4495.802,polytrend,PolynomialTrendForecaster()
M1000,1993-03-01,4503.4512,polytrend,PolynomialTrendForecaster()
M1000,1993-04-01,4511.1005,polytrend,PolynomialTrendForecaster()
M1000,1993-05-01,4518.7497,polytrend,PolynomialTrendForecaster()
M1000,1993-06-01,4526.3989,polytrend,PolynomialTrendForecaster()
M1000,1993-07-01,4534.0482,polytrend,PolynomialTrendForecaster()
M1000,1993-08-01,4541.6974,polytrend,PolynomialTrendForecaster()
M1000,1993-09-01,4549.3466,polytrend,PolynomialTrendForecaster()
M1000,1993-10-01,4556.9959,polytrend,PolynomialTrendForecaster()
M1000,1993-11-01,4564.6451,polytrend,PolynomialTrendForecaster()
M1000,1993-12-01,4572.2943,polytrend,PolynomialTrendForecaster()
M1000,1994-01-01,4579.9436,polytrend,PolynomialTrendForecaster()
M1000,1994-02-01,4587.5928,polytrend,PolynomialTrendForecaster()
M1001,1992-09-01,6500.3415,polytrend,PolynomialTrendForecaster()
M1001,1992-10-01,6516.1588,polytrend,PolynomialTrendForecaster()
M1001,1992-11-01,6531.9761,polytrend,PolynomialTrendForecaster()
M1001,1992-12-01,6547.7934,polytrend,PolynomialTrendForecaster()
M1001,1993-01-01,6563.6107,polytrend,PolynomialTrendForecaster()
M1001,1993-02-01,6579.428,polytrend,PolynomialTrendForecaster()
M1001,1993-03-01,6595.2453,polytrend,PolynomialTrendForecaster()
M1001,1993-04-01,6611.0626,polytrend,PolynomialTrendForecaster()
M1001,1993-05-01,6626.88,polytrend,PolynomialTrendForecaster()
M1001,1993-06-01,6642.6973,polytrend,PolynomialTrendForecaster()
M1001,1993-07-01,6658.5146,polytrend,PolynomialTrendForecaster()
M1001,1993-08-01,6674.3319,polytrend,PolynomialTrendForecaster()
M1001,1993-09-01,6690.1492,polytrend,PolynomialTrendForecaster()
M1001,1993-10-01,6705.9665,polytrend,PolynomialTrendForecaster()
M1001,1993-11-01,6721.7838,polytrend,PolynomialTrendForecaster()
M1001,1993-12-01,6737.6011,polytrend,PolynomialTrendForecaster()
M1001,1994-01-01,6753.4184,polytrend,PolynomialTrendForecaster()
M1001,1994-02-01,6769.2357,polytrend,PolynomialTrendForecaster()
M1002,1992-09-01,5559.4518,polytrend,PolynomialTrendForecaster()
M1002,1992-10-01,5568.4497,polytrend,PolynomialTrendForecaster()
M1002,1992-11-01,5577.4475,polytrend,PolynomialTrendForecaster()
