unique_id,ds,y_pred,model_name,model
M1,1994-03-01,3215.7328,theta,ThetaForecaster()
M1,1994-04-01,3216.0324,theta,ThetaForecaster()
M1,1994-05-01,3216.332,theta,ThetaForecaster()
M1,1994-06-01,3216.6317,theta,ThetaForecaster()
M1,1994-07-01,3216.9313,theta,ThetaForecaster()
M1,1994-08-01,3217.2309,theta,ThetaForecaster()
M1,1994-09-01,3217.5306,theta,ThetaForecaster()
M1,1994-10-01,3217.8302,theta,ThetaForecaster()
M1,1994-11-01,3218.1299,theta,ThetaForecaster()
M1,1994-12-01,3218.4295,theta,ThetaForecaster()
M1,1995-01-01,3218.7291,theta,ThetaForecaster()
M1,1995-02-01,3219.0288,theta,ThetaForecaster()
M1,1995-03-01,3219.3284,theta,ThetaForecaster()
M1,1995-04-01,3219.6281,theta,ThetaForecaster()
M1,1995-05-01,3219.9277,theta,ThetaForecaster()
M1,1995-06-01,3220.2273,theta,ThetaForecaster()
M1,1995-07-01,3220.527,theta,ThetaForecaster()
M1,1995-08-01,3220.8266,theta,ThetaForecaster()
M10,1994-03-01,4694.1343,theta,ThetaForecaster()
M10,1994-04-01,4697.0025,theta,ThetaForecaster()
M10,1994-05-01,4699.8707,theta,ThetaForecaster()
M10,1994-06-01,4702.7389,theta,ThetaForecaster()
M10,1994-07-01,4705.6071,theta,ThetaForecaster()
M10,1994-08-01,4708.4753,theta,ThetaForecaster()
M10,1994-09-01,4711.3435,theta,ThetaForecaster()
M10,1994-10-01,4714.2116,theta,ThetaForecaster()
M10,1994-11-01,4717.0798,theta,ThetaForecaster()
M10,1994-12-01,4719.948,theta,ThetaForecaster()
M10,1995-01-01,4722.8162,theta,ThetaForecaster()
M10,1995-02-01,4725.6844,theta,ThetaForecaster()
M10,1995-03-01,4728.5526,theta,ThetaForecaster()
M10,1995-04-01,4731.4208,theta,ThetaForecaster()
M10,1995-05-01,4734.289,theta,ThetaForecaster()
M10,1995-06-01,4737.1571,theta,ThetaForecaster()
M10,1995-07-01,4740.0253,theta,ThetaForecaster()
M10,1995-08-01,4742.8935,theta,ThetaForecaster()
M100,1994-04-01,5944.5949,theta,ThetaForecaster(sp=12)
M100,1994-05-01,5405.3731,theta,ThetaForecaster(sp=12)
M100,1994-06-01,5772.4426,theta,ThetaForecaster(sp=12)
M100,1994-07-01,5754.7597,theta,ThetaForecaster(sp=12)
M100,1994-08-01,5226.3028,theta,ThetaForecaster(sp=12)
M100,1994-09-01,5435.2967,theta,ThetaForecaster(sp=12)
M100,1994-10-01,5953.7655,theta,ThetaForecaster(sp=12)
M100,1994-11-01,5387.5054,theta,ThetaForecaster(sp=12)
M100,1994-12-01,6533.7126,theta,ThetaForecaster(sp=12)
M100,1995-01-01,6205.0366,theta,ThetaForecaster(sp=12)
M100,1995-02-01,5160.7407,theta,ThetaForecaster(sp=12)
M100,1995-03-01,5543.1741,theta,ThetaForecaster(sp=12)
