unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4523.4834,arima,ARIMA()
O1,1970-04-08,4504.9431,arima,ARIMA()
O1,1970-04-09,4486.8768,arima,ARIMA()
O1,1970-04-10,4469.2722,arima,ARIMA()
O1,1970-04-11,4452.1177,arima,ARIMA()
O1,1970-04-12,4435.4017,arima,ARIMA()
O1,1970-04-13,4419.113,arima,ARIMA()
O1,1970-04-14,4403.2406,arima,ARIMA()
O10,1970-04-07,5742.2275,arima,ARIMA()
O10,1970-04-08,5752.5636,arima,ARIMA()
O10,1970-04-09,5762.3762,arima,ARIMA()
O10,1970-04-10,5771.6918,arima,ARIMA()
O10,1970-04-11,5780.5356,arima,ARIMA()
O10,1970-04-12,5788.9314,arima,ARIMA()
O10,1970-04-13,5796.9021,arima,ARIMA()
O10,1970-04-14,5804.469,arima,ARIMA()
O100,1970-03-05,1950.1321,arima,ARIMA()
O100,1970-03-06,1960.0424,arima,ARIMA()
O100,1970-03-07,1969.7356,arima,ARIMA()
O100,1970-03-08,1979.2165,arima,ARIMA()
O100,1970-03-09,1988.4897,arima,ARIMA()
O100,1970-03-10,1997.5599,arima,ARIMA()
O100,1970-03-11,2006.4315,arima,ARIMA()
O100,1970-03-12,2015.1087,arima,ARIMA()
O101,1970-03-05,11520.6009,arima,ARIMA()
O101,1970-03-06,11621.3907,arima,ARIMA()
O101,1970-03-07,11720.4012,arima,ARIMA()
O101,1970-03-08,11817.664,arima,ARIMA()
O101,1970-03-09,11913.2099,arima,ARIMA()
O101,1970-03-10,12007.0692,arima,ARIMA()
O101,1970-03-11,12099.2717,arima,ARIMA()
O101,1970-03-12,12189.8465,arima,ARIMA()
O102,1970-03-05,5910.2292,arima,ARIMA()
O102,1970-03-06,5939.1505,arima,ARIMA()
O102,1970-03-07,5967.7671,arima,ARIMA()
O102,1970-03-08,5996.0821,arima,ARIMA()
O102,1970-03-09,6024.0988,arima,ARIMA()
O102,1970-03-10,6051.8202,arima,ARIMA()
O102,1970-03-11,6079.2496,arima,ARIMA()
O102,1970-03-12,6106.39,arima,ARIMA()
O103,1970-03-05,9862.3124,arima,ARIMA()
O103,1970-03-06,9865.6211,arima,ARIMA()
O103,1970-03-07,9868.9261,arima,ARIMA()
O103,1970-03-08,9872.2273,arima,ARIMA()
O103,1970-03-09,9875.5249,arima,ARIMA()
O103,1970-03-10,9878.8187,arima,ARIMA()
O103,1970-03-11,9882.1087,arima,ARIMA()
O103,1970-03-12,9885.3951,arima,ARIMA()
O104,1970-03-05,10446.7446,arima,ARIMA()
O104,1970-03-06,10454.4599,arima,ARIMA()
O104,1970-03-07,10462.1462,arima,ARIMA()
O104,1970-03-08,10469.8034,arima,ARIMA()
O104,1970-03-09,10477.4317,arima,ARIMA()
O104,1970-03-10,10485.0313,arima,ARIMA()
O104,1970-03-11,10492.6021,arima,ARIMA()
O104,1970-03-12,10500.1444,arima,ARIMA()
O105,1970-03-05,6625.7253,arima,ARIMA()
O105,1970-03-06,6637.4017,arima,ARIMA()
O105,1970-03-07,6649.0296,arima,ARIMA()
O105,1970-03-08,6660.6091,arima,ARIMA()
O105,1970-03-09,6672.1404,arima,ARIMA()
O105,1970-03-10,6683.6238,arima,ARIMA()
O105,1970-03-11,6695.0593,arima,ARIMA()
O105,1970-03-12,6706.4473,arima,ARIMA()
O106,1970-03-05,7049.4726,arima,ARIMA()
O106,1970-03-06,7058.8865,arima,ARIMA()
O106,1970-03-07,7068.242,arima,ARIMA()
O106,1970-03-08,7077.5395,arima,ARIMA()
O106,1970-03-09,7086.7794,arima,ARIMA()
O106,1970-03-10,7095.962,arima,ARIMA()
O106,1970-03-11,7105.0876,arima,ARIMA()
O106,1970-03-12,7114.1567,arima,ARIMA()
O107,1970-03-05,12255.4819,arima,ARIMA()
O107,1970-03-06,12259.9544,arima,ARIMA()
O107,1970-03-07,12264.4177,arima,ARIMA()
O107,1970-03-08,12268.8717,arima,ARIMA()
O107,1970-03-09,12273.3165,arima,ARIMA()
O107,1970-03-10,12277.752,arima,ARIMA()
O107,1970-03-11,12282.1784,arima,ARIMA()
O107,1970-03-12,12286.5955,arima,ARIMA()
O108,1970-03-05,3570.7206,arima,ARIMA()
O108,1970-03-06,3576.4015,arima,ARIMA()
O108,1970-03-07,3582.0428,arima,ARIMA()
O108,1970-03-08,3587.6448,arima,ARIMA()
O108,1970-03-09,3593.2079,arima,ARIMA()
O108,1970-03-10,3598.7322,arima,ARIMA()
O108,1970-03-11,3604.2181,arima,ARIMA()
O108,1970-03-12,3609.6659,arima,ARIMA()
O109,1970-03-05,4237.3404,arima,ARIMA()
O109,1970-03-06,4241.6546,arima,ARIMA()
O109,1970-03-07,4245.9427,arima,ARIMA()
O109,1970-03-08,4250.2049,arima,ARIMA()
O109,1970-03-09,4254.4413,arima,ARIMA()
O109,1970-03-10,4258.6521,arima,ARIMA()
O109,1970-03-11,4262.8375,arima,ARIMA()
O109,1970-03-12,4266.9976,arima,ARIMA()
O11,1970-04-06,6543.4047,arima,ARIMA()
O11,1970-04-07,6537.995,arima,ARIMA()
O11,1970-04-08,6532.8474,arima,ARIMA()
O11,1970-04-09,6527.9494,arima,ARIMA()
O11,1970-04-10,6523.2887,arima,ARIMA()
O11,1970-04-11,6518.854,arima,ARIMA()
O11,1970-04-12,6514.6342,arima,ARIMA()
O11,1970-04-13,6510.6189,arima,ARIMA()
O110,1970-03-05,4592.7144,arima,ARIMA()
O110,1970-03-06,4594.4251,arima,ARIMA()
O110,1970-03-07,4596.1322,arima,ARIMA()
O110,1970-03-08,4597.8357,arima,ARIMA()
O110,1970-03-09,4599.5355,arima,ARIMA()
O110,1970-03-10,4601.2317,arima,ARIMA()
O110,1970-03-11,4602.9243,arima,ARIMA()
O110,1970-03-12,4604.6133,arima,ARIMA()
O111,1970-03-05,6005.7357,arima,ARIMA()
O111,1970-03-06,6009.4576,arima,ARIMA()
O111,1970-03-07,6013.1659,arima,ARIMA()
O111,1970-03-08,6016.8605,arima,ARIMA()
O111,1970-03-09,6020.5415,arima,ARIMA()
O111,1970-03-10,6024.209,arima,ARIMA()
O111,1970-03-11,6027.863,arima,ARIMA()
O111,1970-03-12,6031.5036,arima,ARIMA()
O112,1970-03-05,1599.0444,arima,ARIMA()
O112,1970-03-06,1600.0865,arima,ARIMA()
O112,1970-03-07,1601.1262,arima,ARIMA()
O112,1970-03-08,1602.1635,arima,ARIMA()
O112,1970-03-09,1603.1985,arima,ARIMA()
O112,1970-03-10,1604.2311,arima,ARIMA()
O112,1970-03-11,1605.2613,arima,ARIMA()
O112,1970-03-12,1606.2893,arima,ARIMA()
O113,1970-03-05,2565.0407,arima,ARIMA()
O113,1970-03-06,2567.0768,arima,ARIMA()
O113,1970-03-07,2569.1083,arima,ARIMA()
O113,1970-03-08,2571.1353,arima,ARIMA()
O113,1970-03-09,2573.1578,arima,ARIMA()
O113,1970-03-10,2575.1757,arima,ARIMA()
O113,1970-03-11,2577.1891,arima,ARIMA()
O113,1970-03-12,2579.198,arima,ARIMA()
O114,1970-03-05,1648.6223,arima,ARIMA()
O114,1970-03-06,1649.2441,arima,ARIMA()
O114,1970-03-07,1649.8653,arima,ARIMA()
O114,1970-03-08,1650.486,arima,ARIMA()
O114,1970-03-09,1651.1061,arima,ARIMA()
O114,1970-03-10,1651.7256,arima,ARIMA()
O114,1970-03-11,1652.3446,arima,ARIMA()
O114,1970-03-12,1652.9631,arima,ARIMA()
O115,1970-03-05,3323.455,arima,ARIMA()
O115,1970-03-06,3324.9085,arima,ARIMA()
O115,1970-03-07,3326.3604,arima,ARIMA()
O115,1970-03-08,3327.8108,arima,ARIMA()
