unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4295.7121,croston,Croston()
O1,1970-04-08,4295.7121,croston,Croston()
O1,1970-04-09,4295.7121,croston,Croston()
O1,1970-04-10,4295.7121,croston,Croston()
O1,1970-04-11,4295.7121,croston,Croston()
O1,1970-04-12,4295.7121,croston,Croston()
O1,1970-04-13,4295.7121,croston,Croston()
O1,1970-04-14,4295.7121,croston,Croston()
O10,1970-04-07,5821.946,croston,Croston()
O10,1970-04-08,5821.946,croston,Croston()
O10,1970-04-09,5821.946,croston,Croston()
O10,1970-04-10,5821.946,croston,Croston()
O10,1970-04-11,5821.946,croston,Croston()
O10,1970-04-12,5821.946,croston,Croston()
O10,1970-04-13,5821.946,croston,Croston()
O10,1970-04-14,5821.946,croston,Croston()
O100,1970-03-05,1780.959,croston,Croston()
O100,1970-03-06,1780.959,croston,Croston()
O100,1970-03-07,1780.959,croston,Croston()
O100,1970-03-08,1780.959,croston,Croston()
O100,1970-03-09,1780.959,croston,Croston()
O100,1970-03-10,1780.959,croston,Croston()
O100,1970-03-11,1780.959,croston,Croston()
O100,1970-03-12,1780.959,croston,Croston()
O101,1970-03-05,12067.3206,croston,Croston()
O101,1970-03-06,12067.3206,croston,Croston()
O101,1970-03-07,12067.3206,croston,Croston()
O101,1970-03-08,12067.3206,croston,Croston()
O101,1970-03-09,12067.3206,croston,Croston()
O101,1970-03-10,12067.3206,croston,Croston()
O101,1970-03-11,12067.3206,croston,Croston()
O101,1970-03-12,12067.3206,croston,Croston()
O102,1970-03-05,6422.4161,croston,Croston()
O102,1970-03-06,6422.4161,croston,Croston()
O102,1970-03-07,6422.4161,croston,Croston()
O102,1970-03-08,6422.4161,croston,Croston()
O102,1970-03-09,6422.4161,croston,Croston()
O102,1970-03-10,6422.4161,croston,Croston()
O102,1970-03-11,6422.4161,croston,Croston()
O102,1970-03-12,6422.4161,croston,Croston()
O103,1970-03-05,10437.2,croston,Croston()
O103,1970-03-06,10437.2,croston,Croston()
O103,1970-03-07,10437.2,croston,Croston()
O103,1970-03-08,10437.2,croston,Croston()
O103,1970-03-09,10437.2,croston,Croston()
O103,1970-03-10,10437.2,croston,Croston()
O103,1970-03-11,10437.2,croston,Croston()
O103,1970-03-12,10437.2,croston,Croston()
O104,1970-03-05,11878.2266,croston,Croston()
O104,1970-03-06,11878.2266,croston,Croston()
O104,1970-03-07,11878.2266,croston,Croston()
O104,1970-03-08,11878.2266,croston,Croston()
O104,1970-03-09,11878.2266,croston,Croston()
O104,1970-03-10,11878.2266,croston,Croston()
O104,1970-03-11,11878.2266,croston,Croston()
O104,1970-03-12,11878.2266,croston,Croston()
O105,1970-03-05,7836.1844,croston,Croston()
O105,1970-03-06,7836.1844,croston,Croston()
O105,1970-03-07,7836.1844,croston,Croston()
O105,1970-03-08,7836.1844,croston,Croston()
O105,1970-03-09,7836.1844,croston,Croston()
O105,1970-03-10,7836.1844,croston,Croston()
O105,1970-03-11,7836.1844,croston,Croston()
O105,1970-03-12,7836.1844,croston,Croston()
O106,1970-03-05,7699.5116,croston,Croston()
O106,1970-03-06,7699.5116,croston,Croston()
O106,1970-03-07,7699.5116,croston,Croston()
O106,1970-03-08,7699.5116,croston,Croston()
O106,1970-03-09,7699.5116,croston,Croston()
O106,1970-03-10,7699.5116,croston,Croston()
O106,1970-03-11,7699.5116,croston,Croston()
O106,1970-03-12,7699.5116,croston,Croston()
