unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4558.119,ets,AutoETS(trend='add')
O1,1970-04-08,4573.726,ets,AutoETS(trend='add')
O1,1970-04-09,4589.333,ets,AutoETS(trend='add')
O1,1970-04-10,4604.9399,ets,AutoETS(trend='add')
O1,1970-04-11,4620.5469,ets,AutoETS(trend='add')
O1,1970-04-12,4636.1539,ets,AutoETS(trend='add')
O1,1970-04-13,4651.7609,ets,AutoETS(trend='add')
O1,1970-04-14,4667.3679,ets,AutoETS(trend='add')
O10,1970-04-07,5726.8905,ets,AutoETS(trend='add')
O10,1970-04-08,5722.4472,ets,AutoETS(trend='add')
O10,1970-04-09,5718.0038,ets,AutoETS(trend='add')
O10,1970-04-10,5713.5605,ets,AutoETS(trend='add')
O10,1970-04-11,5709.1172,ets,AutoETS(trend='add')
O10,1970-04-12,5704.6738,ets,AutoETS(trend='add')
O10,1970-04-13,5700.2305,ets,AutoETS(trend='add')
O10,1970-04-14,5695.7872,ets,AutoETS(trend='add')
O100,1970-03-05,1921.9155,ets,AutoETS(trend='add')
O100,1970-03-06,1903.8342,ets,AutoETS(trend='add')
O100,1970-03-07,1885.7528,ets,AutoETS(trend='add')
O100,1970-03-08,1867.6715,ets,AutoETS(trend='add')
O100,1970-03-09,1849.5902,ets,AutoETS(trend='add')
O100,1970-03-10,1831.5089,ets,AutoETS(trend='add')
O100,1970-03-11,1813.4276,ets,AutoETS(trend='add')
O100,1970-03-12,1795.3462,ets,AutoETS(trend='add')
O101,1970-03-05,11223.0798,ets,AutoETS(trend='add')
O101,1970-03-06,11029.383,ets,AutoETS(trend='add')
O101,1970-03-07,10835.6861,ets,AutoETS(trend='add')
O101,1970-03-08,10641.9893,ets,AutoETS(trend='add')
O101,1970-03-09,10448.2924,ets,AutoETS(trend='add')
O101,1970-03-10,10254.5956,ets,AutoETS(trend='add')
O101,1970-03-11,10060.8987,ets,AutoETS(trend='add')
O101,1970-03-12,9867.2019,ets,AutoETS(trend='add')
O102,1970-03-05,5813.4009,ets,AutoETS(trend='add')
O102,1970-03-06,5745.8083,ets,AutoETS(trend='add')
O102,1970-03-07,5678.2156,ets,AutoETS(trend='add')
O102,1970-03-08,5610.6229,ets,AutoETS(trend='add')
O102,1970-03-09,5543.0303,ets,AutoETS(trend='add')
O102,1970-03-10,5475.4376,ets,AutoETS(trend='add')
O102,1970-03-11,5407.8449,ets,AutoETS(trend='add')
O102,1970-03-12,5340.2523,ets,AutoETS(trend='add')
O103,1970-03-05,9764.1108,ets,AutoETS(trend='add')
O103,1970-03-06,9669.2314,ets,AutoETS(trend='add')
O103,1970-03-07,9574.3519,ets,AutoETS(trend='add')
O103,1970-03-08,9479.4725,ets,AutoETS(trend='add')
O103,1970-03-09,9384.593,ets,AutoETS(trend='add')
O103,1970-03-10,9289.7135,ets,AutoETS(trend='add')
O103,1970-03-11,9194.8341,ets,AutoETS(trend='add')
O103,1970-03-12,9099.9546,ets,AutoETS(trend='add')
O104,1970-03-05,10186.1977,ets,AutoETS(trend='add')
O104,1970-03-06,9933.3777,ets,AutoETS(trend='add')
