unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4558.119,ets,AutoETS(trend='add')
O1,1970-04-08,4573.726,ets,AutoETS(trend='add')
O1,1970-04-09,4589.333,ets,AutoETS(trend='add')
O1,1970-04-10,4604.94,ets,AutoETS(trend='add')
O1,1970-04-11,4620.547,ets,AutoETS(trend='add')
O1,1970-04-12,4636.154,ets,AutoETS(trend='add')
O1,1970-04-13,4651.7607,ets,AutoETS(trend='add')
O1,1970-04-14,4667.3677,ets,AutoETS(trend='add')
O10,1970-04-07,5726.8906,ets,AutoETS(trend='add')
O10,1970-04-08,5722.4473,ets,AutoETS(trend='add')
O10,1970-04-09,5718.004,ets,AutoETS(trend='add')
O10,1970-04-10,5713.5605,ets,AutoETS(trend='add')
O10,1970-04-11,5709.117,ets,AutoETS(trend='add')
O10,1970-04-12,5704.674,ets,AutoETS(trend='add')
O10,1970-04-13,5700.2305,ets,AutoETS(trend='add')
O10,1970-04-14,5695.787,ets,AutoETS(trend='add')
O100,1970-03-05,1921.9155,ets,AutoETS(trend='add')
O100,1970-03-06,1903.8342,ets,AutoETS(trend='add')
O100,1970-03-07,1885.7528,ets,AutoETS(trend='add')
O100,1970-03-08,1867.6715,ets,AutoETS(trend='add')
O100,1970-03-09,1849.5902,ets,AutoETS(trend='add')
O100,1970-03-10,1831.5089,ets,AutoETS(trend='add')
O100,1970-03-11,1813.4276,ets,AutoETS(trend='add')
O100,1970-03-12,1795.3462,ets,AutoETS(trend='add')
O101,1970-03-05,11223.08,ets,AutoETS(trend='add')
O101,1970-03-06,11029.383,ets,AutoETS(trend='add')
O101,1970-03-07,10835.687,ets,AutoETS(trend='add')
O101,1970-03-08,10641.989,ets,AutoETS(trend='add')
O101,1970-03-09,10448.292,ets,AutoETS(trend='add')
O101,1970-03-10,10254.596,ets,AutoETS(trend='add')
O101,1970-03-11,10060.898,ets,AutoETS(trend='add')
O101,1970-03-12,9867.202,ets,AutoETS(trend='add')
O102,1970-03-05,5813.401,ets,AutoETS(trend='add')
O102,1970-03-06,5745.808,ets,AutoETS(trend='add')
O102,1970-03-07,5678.216,ets,AutoETS(trend='add')
O102,1970-03-08,5610.623,ets,AutoETS(trend='add')
O102,1970-03-09,5543.0303,ets,AutoETS(trend='add')
O102,1970-03-10,5475.4375,ets,AutoETS(trend='add')
O102,1970-03-11,5407.8447,ets,AutoETS(trend='add')
O102,1970-03-12,5340.2524,ets,AutoETS(trend='add')
O103,1970-03-05,9764.11,ets,AutoETS(trend='add')
O103,1970-03-06,9669.231,ets,AutoETS(trend='add')
O103,1970-03-07,9574.352,ets,AutoETS(trend='add')
O103,1970-03-08,9479.473,ets,AutoETS(trend='add')
O103,1970-03-09,9384.593,ets,AutoETS(trend='add')
O103,1970-03-10,9289.714,ets,AutoETS(trend='add')
O103,1970-03-11,9194.834,ets,AutoETS(trend='add')
O103,1970-03-12,9099.955,ets,AutoETS(trend='add')
O104,1970-03-05,10186.197,ets,AutoETS(trend='add')
O104,1970-03-06,9933.378,ets,AutoETS(trend='add')
O104,1970-03-07,9680.558,ets,AutoETS(trend='add')
