unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4556.0809,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-08,4569.4747,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-09,4582.8685,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-10,4596.2624,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-11,4609.6562,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-12,4623.0501,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-13,4636.4439,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O1,1970-04-14,4649.8378,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-07,5726.2051,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-08,5721.2621,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-09,5716.319,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-10,5711.376,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-11,5706.4329,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-12,5701.4899,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-13,5696.5468,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O10,1970-04-14,5691.6037,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-05,1938.0873,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-06,1936.2548,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-07,1934.4223,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-08,1932.5898,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-09,1930.7573,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-10,1928.9247,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-11,1927.0922,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O100,1970-03-12,1925.2597,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O101,1970-03-05,11275.1311,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O101,1970-03-06,11132.6236,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O101,1970-03-07,10990.1162,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
O101,1970-03-08,10847.6087,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
