unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4577.9149,polytrend,PolynomialTrendForecaster()
O1,1970-04-08,4594.0476,polytrend,PolynomialTrendForecaster()
O1,1970-04-09,4610.1803,polytrend,PolynomialTrendForecaster()
O1,1970-04-10,4626.313,polytrend,PolynomialTrendForecaster()
O1,1970-04-11,4642.4457,polytrend,PolynomialTrendForecaster()
O1,1970-04-12,4658.5784,polytrend,PolynomialTrendForecaster()
O1,1970-04-13,4674.7111,polytrend,PolynomialTrendForecaster()
O1,1970-04-14,4690.8438,polytrend,PolynomialTrendForecaster()
O10,1970-04-07,5825.9481,polytrend,PolynomialTrendForecaster()
O10,1970-04-08,5823.4454,polytrend,PolynomialTrendForecaster()
O10,1970-04-09,5820.9428,polytrend,PolynomialTrendForecaster()
O10,1970-04-10,5818.4401,polytrend,PolynomialTrendForecaster()
O10,1970-04-11,5815.9375,polytrend,PolynomialTrendForecaster()
O10,1970-04-12,5813.4348,polytrend,PolynomialTrendForecaster()
O10,1970-04-13,5810.9322,polytrend,PolynomialTrendForecaster()
O10,1970-04-14,5808.4295,polytrend,PolynomialTrendForecaster()
O100,1970-03-05,1264.5151,polytrend,PolynomialTrendForecaster()
O100,1970-03-06,1233.367,polytrend,PolynomialTrendForecaster()
O100,1970-03-07,1202.2189,polytrend,PolynomialTrendForecaster()
O100,1970-03-08,1171.0708,polytrend,PolynomialTrendForecaster()
O100,1970-03-09,1139.9227,polytrend,PolynomialTrendForecaster()
O100,1970-03-10,1108.7747,polytrend,PolynomialTrendForecaster()
O100,1970-03-11,1077.6266,polytrend,PolynomialTrendForecaster()
O100,1970-03-12,1046.4785,polytrend,PolynomialTrendForecaster()
O101,1970-03-05,8739.7343,polytrend,PolynomialTrendForecaster()
O101,1970-03-06,8502.7765,polytrend,PolynomialTrendForecaster()
O101,1970-03-07,8265.8188,polytrend,PolynomialTrendForecaster()
O101,1970-03-08,8028.8611,polytrend,PolynomialTrendForecaster()
O101,1970-03-09,7791.9034,polytrend,PolynomialTrendForecaster()
O101,1970-03-10,7554.9457,polytrend,PolynomialTrendForecaster()
O101,1970-03-11,7317.988,polytrend,PolynomialTrendForecaster()
O101,1970-03-12,7081.0303,polytrend,PolynomialTrendForecaster()
O102,1970-03-05,5418.7066,polytrend,PolynomialTrendForecaster()
O102,1970-03-06,5310.9459,polytrend,PolynomialTrendForecaster()
O102,1970-03-07,5203.1853,polytrend,PolynomialTrendForecaster()
O102,1970-03-08,5095.4246,polytrend,PolynomialTrendForecaster()
O102,1970-03-09,4987.664,polytrend,PolynomialTrendForecaster()
O102,1970-03-10,4879.9033,polytrend,PolynomialTrendForecaster()
O102,1970-03-11,4772.1427,polytrend,PolynomialTrendForecaster()
O102,1970-03-12,4664.382,polytrend,PolynomialTrendForecaster()
O103,1970-03-05,9267.2012,polytrend,PolynomialTrendForecaster()
O103,1970-03-06,9160.3191,polytrend,PolynomialTrendForecaster()
O103,1970-03-07,9053.437,polytrend,PolynomialTrendForecaster()
O103,1970-03-08,8946.5549,polytrend,PolynomialTrendForecaster()
O103,1970-03-09,8839.6728,polytrend,PolynomialTrendForecaster()
O103,1970-03-10,8732.7907,polytrend,PolynomialTrendForecaster()
O103,1970-03-11,8625.9086,polytrend,PolynomialTrendForecaster()
O103,1970-03-12,8519.0265,polytrend,PolynomialTrendForecaster()
O104,1970-03-05,11816.2622,polytrend,PolynomialTrendForecaster()
