unique_id,ds,y_pred,model_name,model
O1,1970-04-07,4558.6427,theta,ThetaForecaster()
O1,1970-04-08,4566.7091,theta,ThetaForecaster()
O1,1970-04-09,4574.7754,theta,ThetaForecaster()
O1,1970-04-10,4582.8418,theta,ThetaForecaster()
O1,1970-04-11,4590.9081,theta,ThetaForecaster()
O1,1970-04-12,4598.9745,theta,ThetaForecaster()
O1,1970-04-13,4607.0408,theta,ThetaForecaster()
O1,1970-04-14,4615.1072,theta,ThetaForecaster()
O10,1970-04-07,5728.8373,theta,ThetaForecaster()
O10,1970-04-08,5727.586,theta,ThetaForecaster()
O10,1970-04-09,5726.3347,theta,ThetaForecaster()
O10,1970-04-10,5725.0834,theta,ThetaForecaster()
O10,1970-04-11,5723.832,theta,ThetaForecaster()
O10,1970-04-12,5722.5807,theta,ThetaForecaster()
O10,1970-04-13,5721.3294,theta,ThetaForecaster()
O10,1970-04-14,5720.0781,theta,ThetaForecaster()
O100,1970-03-05,1908.8519,theta,ThetaForecaster()
O100,1970-03-06,1893.2779,theta,ThetaForecaster()
O100,1970-03-07,1877.7038,theta,ThetaForecaster()
O100,1970-03-08,1862.1298,theta,ThetaForecaster()
O100,1970-03-09,1846.5557,theta,ThetaForecaster()
O100,1970-03-10,1830.9817,theta,ThetaForecaster()
O100,1970-03-11,1815.4076,theta,ThetaForecaster()
O100,1970-03-12,1799.8336,theta,ThetaForecaster()
O101,1970-03-05,11181.0423,theta,ThetaForecaster()
O101,1970-03-06,11062.5634,theta,ThetaForecaster()
O101,1970-03-07,10944.0846,theta,ThetaForecaster()
O101,1970-03-08,10825.6057,theta,ThetaForecaster()
O101,1970-03-09,10707.1269,theta,ThetaForecaster()
O101,1970-03-10,10588.648,theta,ThetaForecaster()
O101,1970-03-11,10470.1692,theta,ThetaForecaster()
O101,1970-03-12,10351.6903,theta,ThetaForecaster()
O102,1970-03-05,5772.994,theta,ThetaForecaster()
O102,1970-03-06,5719.1137,theta,ThetaForecaster()
O102,1970-03-07,5665.2333,theta,ThetaForecaster()
O102,1970-03-08,5611.353,theta,ThetaForecaster()
O102,1970-03-09,5557.4727,theta,ThetaForecaster()
O102,1970-03-10,5503.5923,theta,ThetaForecaster()
O102,1970-03-11,5449.712,theta,ThetaForecaster()
O102,1970-03-12,5395.8317,theta,ThetaForecaster()
O103,1970-03-05,9751.8422,theta,ThetaForecaster()
O103,1970-03-06,9698.4012,theta,ThetaForecaster()
O103,1970-03-07,9644.9601,theta,ThetaForecaster()
O103,1970-03-08,9591.5191,theta,ThetaForecaster()
O103,1970-03-09,9538.078,theta,ThetaForecaster()
O103,1970-03-10,9484.637,theta,ThetaForecaster()
O103,1970-03-11,9431.1959,theta,ThetaForecaster()
O103,1970-03-12,9377.7549,theta,ThetaForecaster()
O104,1970-03-05,10379.4929,theta,ThetaForecaster()
O104,1970-03-06,10349.0017,theta,ThetaForecaster()
O104,1970-03-07,10318.5105,theta,ThetaForecaster()
O104,1970-03-08,10288.0193,theta,ThetaForecaster()
O104,1970-03-09,10257.5282,theta,ThetaForecaster()
O104,1970-03-10,10227.037,theta,ThetaForecaster()
O104,1970-03-11,10196.5458,theta,ThetaForecaster()
O104,1970-03-12,10166.0546,theta,ThetaForecaster()
O105,1970-03-05,6556.217,theta,ThetaForecaster()
O105,1970-03-06,6527.1068,theta,ThetaForecaster()
O105,1970-03-07,6497.9967,theta,ThetaForecaster()
O105,1970-03-08,6468.8866,theta,ThetaForecaster()
O105,1970-03-09,6439.7764,theta,ThetaForecaster()
O105,1970-03-10,6410.6663,theta,ThetaForecaster()
O105,1970-03-11,6381.5561,theta,ThetaForecaster()
O105,1970-03-12,6352.446,theta,ThetaForecaster()
O106,1970-03-05,6989.4528,theta,ThetaForecaster()
O106,1970-03-06,6964.1792,theta,ThetaForecaster()
O106,1970-03-07,6938.9056,theta,ThetaForecaster()
O106,1970-03-08,6913.632,theta,ThetaForecaster()
O106,1970-03-09,6888.3584,theta,ThetaForecaster()
O106,1970-03-10,6863.0848,theta,ThetaForecaster()
O106,1970-03-11,6837.8113,theta,ThetaForecaster()
O106,1970-03-12,6812.5377,theta,ThetaForecaster()
O107,1970-03-05,12178.4961,theta,ThetaForecaster()
O107,1970-03-06,12142.2442,theta,ThetaForecaster()
O107,1970-03-07,12105.9922,theta,ThetaForecaster()
O107,1970-03-08,12069.7403,theta,ThetaForecaster()
O107,1970-03-09,12033.4883,theta,ThetaForecaster()
O107,1970-03-10,11997.2364,theta,ThetaForecaster()
O107,1970-03-11,11960.9844,theta,ThetaForecaster()
O107,1970-03-12,11924.7325,theta,ThetaForecaster()
