unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5480.3719,arima,ARIMA()
Q1,1993-04-01,5450.0729,arima,ARIMA()
Q1,1993-07-01,5420.6282,arima,ARIMA()
Q1,1993-10-01,5392.0139,arima,ARIMA()
Q1,1994-01-01,5364.2064,arima,ARIMA()
Q1,1994-04-01,5337.183,arima,ARIMA()
Q1,1994-07-01,5310.9216,arima,ARIMA()
Q1,1994-10-01,5285.4007,arima,ARIMA()
Q10,1993-01-01,6794.3961,arima,ARIMA()
Q10,1993-04-01,6768.6031,arima,ARIMA()
Q10,1993-07-01,6743.1173,arima,ARIMA()
Q10,1993-10-01,6717.9351,arima,ARIMA()
Q10,1994-01-01,6693.0528,arima,ARIMA()
Q10,1994-04-01,6668.4668,arima,ARIMA()
Q10,1994-07-01,6644.1737,arima,ARIMA()
Q10,1994-10-01,6620.1699,arima,ARIMA()
Q100,1993-01-01,3763.9724,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1993-04-01,4038.0064,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1993-07-01,4032.9257,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1993-10-01,4180.7686,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1994-01-01,3938.4751,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1994-04-01,4187.8138,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1994-07-01,4163.832,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q100,1994-10-01,4297.2085,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1993-01-01,8335.6382,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1993-04-01,8752.8961,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1993-07-01,8827.2486,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1993-10-01,9980.4944,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1994-01-01,8752.6181,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1994-04-01,9165.4487,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1994-07-01,9237.1926,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q101,1994-10-01,10388.9016,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q102,1993-01-01,5575.205,arima,ARIMA()
Q102,1993-04-01,5558.8551,arima,ARIMA()
Q102,1993-07-01,5542.7467,arima,ARIMA()
Q102,1993-10-01,5526.8761,arima,ARIMA()
Q102,1994-01-01,5511.2399,arima,ARIMA()
Q102,1994-04-01,5495.8346,arima,ARIMA()
Q102,1994-07-01,5480.6569,arima,ARIMA()
Q102,1994-10-01,5465.7032,arima,ARIMA()
Q103,1993-01-01,1915.6193,arima,ARIMA()
Q103,1993-04-01,1890.4596,arima,ARIMA()
Q103,1993-07-01,1885.2871,arima,ARIMA()
Q103,1993-10-01,1884.2238,arima,ARIMA()
Q103,1994-01-01,1884.0051,arima,ARIMA()
Q103,1994-04-01,1883.9602,arima,ARIMA()
Q103,1994-07-01,1883.951,arima,ARIMA()
Q103,1994-10-01,1883.9491,arima,ARIMA()
Q104,1993-01-01,3949.5849,arima,ARIMA()
Q104,1993-04-01,3990.8047,arima,ARIMA()
Q104,1993-07-01,4007.8662,arima,ARIMA()
Q104,1993-10-01,4014.9282,arima,ARIMA()
Q104,1994-01-01,4017.8513,arima,ARIMA()
Q104,1994-04-01,4019.0612,arima,ARIMA()
Q104,1994-07-01,4019.5621,arima,ARIMA()
Q104,1994-10-01,4019.7693,arima,ARIMA()
Q105,1993-01-01,1930.4431,arima,ARIMA()
Q105,1993-04-01,1911.7837,arima,ARIMA()
Q105,1993-07-01,1911.2944,arima,ARIMA()
Q105,1993-10-01,1911.2816,arima,ARIMA()
Q105,1994-01-01,1911.2813,arima,ARIMA()
Q105,1994-04-01,1911.2813,arima,ARIMA()
Q105,1994-07-01,1911.2813,arima,ARIMA()
Q105,1994-10-01,1911.2813,arima,ARIMA()
Q106,1992-04-01,5998.7401,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1992-07-01,5728.2413,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1992-10-01,6076.7141,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1993-01-01,5773.1568,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1993-04-01,6102.6125,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1993-07-01,5788.1156,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1993-10-01,6111.2782,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q106,1994-01-01,5793.1612,arima,"ARIMA(seasonal_order=(0, 1, 0, 2))"
Q107,1993-01-01,4254.2894,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
Q107,1993-04-01,4426.1238,arima,"ARIMA(seasonal_order=(0, 1, 0, 4))"
