unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5579.2334,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1993-04-01,5646.9169,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1993-07-01,5714.6003,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1993-10-01,5782.2837,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1994-01-01,5849.9671,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1994-04-01,5917.6506,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1994-07-01,5985.334,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q1,1994-10-01,6053.0174,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1993-01-01,6945.3983,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1993-04-01,7070.2966,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1993-07-01,7195.1949,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1993-10-01,7320.0931,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1994-01-01,7444.9914,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1994-04-01,7569.8897,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1994-07-01,7694.788,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q10,1994-10-01,7819.6863,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q100,1993-01-01,3660.8695,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1993-04-01,3782.9096,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1993-07-01,3837.9119,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1993-10-01,3964.1732,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1994-01-01,3718.6846,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1994-04-01,3864.1728,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1994-07-01,3903.016,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q100,1994-10-01,4035.3712,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1993-01-01,8845.9427,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1993-04-01,9099.8852,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1993-07-01,9127.5557,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1993-10-01,9644.8538,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1994-01-01,9331.1713,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1994-04-01,9443.2624,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1994-07-01,9455.3674,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q101,1994-10-01,9683.1403,auto_arima,"AutoARIMA(random_state=42, sp=4, suppress_warnings=True)"
Q102,1993-01-01,5662.1943,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1993-04-01,5732.5886,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1993-07-01,5802.9829,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1993-10-01,5873.3771,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1994-01-01,5943.7714,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1994-04-01,6014.1657,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1994-07-01,6084.56,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q102,1994-10-01,6154.9543,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1993-01-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1993-04-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1993-07-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1993-10-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1994-01-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1994-04-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1994-07-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q103,1994-10-01,1987.7762,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1993-01-01,4100.8774,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1993-04-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1993-07-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1993-10-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1994-01-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1994-04-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1994-07-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q104,1994-10-01,4029.527,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1993-01-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1993-04-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1993-07-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1993-10-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1994-01-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1994-04-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1994-07-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q105,1994-10-01,1910.0,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Q106,1992-04-01,6199.0587,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
Q106,1992-07-01,6053.5278,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
Q106,1992-10-01,6284.779,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
Q106,1993-01-01,5992.8768,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
Q106,1993-04-01,6239.8891,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
Q106,1993-07-01,5959.6522,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
Q106,1993-10-01,6215.2984,auto_arima,"AutoARIMA(random_state=42, sp=2, suppress_warnings=True)"
