unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5579.9845,ets,AutoETS(trend='add')
Q1,1993-04-01,5648.4151,ets,AutoETS(trend='add')
Q1,1993-07-01,5716.8457,ets,AutoETS(trend='add')
Q1,1993-10-01,5785.2764,ets,AutoETS(trend='add')
Q1,1994-01-01,5853.707,ets,AutoETS(trend='add')
Q1,1994-04-01,5922.1376,ets,AutoETS(trend='add')
Q1,1994-07-01,5990.5683,ets,AutoETS(trend='add')
Q1,1994-10-01,6058.9989,ets,AutoETS(trend='add')
Q10,1993-01-01,7000.9842,ets,AutoETS(trend='add')
Q10,1993-04-01,7127.6383,ets,AutoETS(trend='add')
Q10,1993-07-01,7254.2923,ets,AutoETS(trend='add')
Q10,1993-10-01,7380.9464,ets,AutoETS(trend='add')
Q10,1994-01-01,7507.6004,ets,AutoETS(trend='add')
Q10,1994-04-01,7634.2544,ets,AutoETS(trend='add')
Q10,1994-07-01,7760.9085,ets,AutoETS(trend='add')
Q10,1994-10-01,7887.5625,ets,AutoETS(trend='add')
Q100,1993-01-01,3711.5033,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1993-04-01,3922.5453,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1993-07-01,3958.1955,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1993-10-01,4209.2303,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1994-01-01,3927.9861,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1994-04-01,4148.0494,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1994-07-01,4182.5249,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q100,1994-10-01,4444.4542,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1993-01-01,8544.7793,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1993-04-01,9047.6503,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1993-07-01,8880.4095,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1993-10-01,9897.9442,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1994-01-01,8847.8339,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1994-04-01,9365.7198,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1994-07-01,9189.8798,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q101,1994-10-01,10239.8951,ets,"AutoETS(seasonal='mul', sp=4, trend='add')"
Q102,1993-01-01,5648.9979,ets,AutoETS(trend='add')
Q102,1993-04-01,5663.8947,ets,AutoETS(trend='add')
Q102,1993-07-01,5678.7915,ets,AutoETS(trend='add')
