unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5573.3403,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1993-04-01,5634.9687,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1993-07-01,5696.597,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1993-10-01,5758.2254,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1994-01-01,5819.8537,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1994-04-01,5881.4821,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1994-07-01,5943.1105,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q1,1994-10-01,6004.7388,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1993-01-01,6986.6043,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1993-04-01,7110.6437,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1993-07-01,7234.6831,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1993-10-01,7358.7225,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1994-01-01,7482.7619,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1994-04-01,7606.8012,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1994-07-01,7730.8406,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q10,1994-10-01,7854.88,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q100,1993-01-01,3711.122,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1993-04-01,3919.7758,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1993-07-01,3953.6332,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1993-10-01,4202.9181,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1994-01-01,3921.3165,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1994-04-01,4138.6885,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1994-07-01,4171.3963,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q100,1994-10-01,4431.2673,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1993-01-01,8584.8669,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1993-04-01,9174.9126,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1993-07-01,9071.0306,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1993-10-01,10165.8656,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1994-01-01,9146.4617,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1994-04-01,9765.4487,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1994-07-01,9645.6344,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q101,1994-10-01,10799.7828,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q102,1993-01-01,5691.7759,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1993-04-01,5765.5966,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1993-07-01,5839.4172,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1993-10-01,5913.2378,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1994-01-01,5987.0585,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1994-04-01,6060.8791,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1994-07-01,6134.6998,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q102,1994-10-01,6208.5204,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1993-01-01,2024.2626,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1993-04-01,2031.5929,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1993-07-01,2038.9233,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1993-10-01,2046.2536,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1994-01-01,2053.584,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1994-04-01,2060.9144,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1994-07-01,2068.2447,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q103,1994-10-01,2075.5751,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1993-01-01,3212.5993,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1993-04-01,3183.3726,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1993-07-01,3154.1459,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1993-10-01,3124.9192,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1994-01-01,3095.6925,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1994-04-01,3066.4658,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1994-07-01,3037.2392,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q104,1994-10-01,3008.0125,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1993-01-01,2580.1492,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1993-04-01,2680.5074,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1993-07-01,2780.8657,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1993-10-01,2881.2239,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1994-01-01,2981.5822,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1994-04-01,3081.9405,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1994-07-01,3182.2987,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q105,1994-10-01,3282.657,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Q106,1992-04-01,5843.0191,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1992-07-01,5618.2415,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1992-10-01,5903.5539,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1993-01-01,5676.1476,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1993-04-01,5964.0887,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1993-07-01,5734.0537,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1993-10-01,6024.6235,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q106,1994-01-01,5791.9598,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=2, trend='add')"
Q107,1993-01-01,4045.4133,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1993-04-01,4293.2068,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1993-07-01,4642.6975,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1993-10-01,6248.6045,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1994-01-01,4304.8626,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1994-04-01,4564.2031,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1994-07-01,4931.2016,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q107,1994-10-01,6630.962,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q108,1992-04-01,5688.2283,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q108,1992-07-01,5472.8872,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q108,1992-10-01,5746.1985,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q108,1993-01-01,4212.0388,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q108,1993-04-01,5667.499,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
Q108,1993-07-01,5452.9244,exp_smooth,"ExponentialSmoothing(seasonal='mul', sp=4, trend='add')"
