unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1993-04-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1993-07-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1993-10-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1994-01-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1994-04-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1994-07-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q1,1994-10-01,4556.6922,grand_means,NaiveForecaster(strategy='mean')
Q10,1993-01-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1993-04-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1993-07-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1993-10-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1994-01-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1994-04-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1994-07-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q10,1994-10-01,4609.345,grand_means,NaiveForecaster(strategy='mean')
Q100,1993-01-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1993-04-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1993-07-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1993-10-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1994-01-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1994-04-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1994-07-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q100,1994-10-01,3046.7944,grand_means,NaiveForecaster(strategy='mean')
Q101,1993-01-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1993-04-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1993-07-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1993-10-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1994-01-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1994-04-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1994-07-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q101,1994-10-01,6699.7389,grand_means,NaiveForecaster(strategy='mean')
Q102,1993-01-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1993-04-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1993-07-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1993-10-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1994-01-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1994-04-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1994-07-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q102,1994-10-01,4869.3194,grand_means,NaiveForecaster(strategy='mean')
Q103,1993-01-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1993-04-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1993-07-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1993-10-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1994-01-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1994-04-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1994-07-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q103,1994-10-01,1883.7778,grand_means,NaiveForecaster(strategy='mean')
Q104,1993-01-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1993-04-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1993-07-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1993-10-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1994-01-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1994-04-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1994-07-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q104,1994-10-01,4033.1667,grand_means,NaiveForecaster(strategy='mean')
Q105,1993-01-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1993-04-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1993-07-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1993-10-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1994-01-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1994-04-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1994-07-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q105,1994-10-01,1910.0,grand_means,NaiveForecaster(strategy='mean')
Q106,1992-04-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1992-07-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1992-10-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1993-01-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1993-04-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1993-07-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1993-10-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
Q106,1994-01-01,6195.7027,grand_means,NaiveForecaster(strategy='mean')
