unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5511.55,naive,NaiveForecaster()
Q1,1993-04-01,5511.55,naive,NaiveForecaster()
Q1,1993-07-01,5511.55,naive,NaiveForecaster()
Q1,1993-10-01,5511.55,naive,NaiveForecaster()
Q1,1994-01-01,5511.55,naive,NaiveForecaster()
Q1,1994-04-01,5511.55,naive,NaiveForecaster()
Q1,1994-07-01,5511.55,naive,NaiveForecaster()
Q1,1994-10-01,5511.55,naive,NaiveForecaster()
Q10,1993-01-01,6820.5,naive,NaiveForecaster()
Q10,1993-04-01,6820.5,naive,NaiveForecaster()
Q10,1993-07-01,6820.5,naive,NaiveForecaster()
Q10,1993-10-01,6820.5,naive,NaiveForecaster()
Q10,1994-01-01,6820.5,naive,NaiveForecaster()
Q10,1994-04-01,6820.5,naive,NaiveForecaster()
Q10,1994-07-01,6820.5,naive,NaiveForecaster()
Q10,1994-10-01,6820.5,naive,NaiveForecaster()
Q100,1993-01-01,3974.0,naive,NaiveForecaster()
Q100,1993-04-01,3974.0,naive,NaiveForecaster()
Q100,1993-07-01,3974.0,naive,NaiveForecaster()
Q100,1993-10-01,3974.0,naive,NaiveForecaster()
Q100,1994-01-01,3974.0,naive,NaiveForecaster()
Q100,1994-04-01,3974.0,naive,NaiveForecaster()
Q100,1994-07-01,3974.0,naive,NaiveForecaster()
Q100,1994-10-01,3974.0,naive,NaiveForecaster()
Q101,1993-01-01,9556.0,naive,NaiveForecaster()
Q101,1993-04-01,9556.0,naive,NaiveForecaster()
Q101,1993-07-01,9556.0,naive,NaiveForecaster()
Q101,1993-10-01,9556.0,naive,NaiveForecaster()
Q101,1994-01-01,9556.0,naive,NaiveForecaster()
Q101,1994-04-01,9556.0,naive,NaiveForecaster()
Q101,1994-07-01,9556.0,naive,NaiveForecaster()
Q101,1994-10-01,9556.0,naive,NaiveForecaster()
Q102,1993-01-01,5591.8,naive,NaiveForecaster()
Q102,1993-04-01,5591.8,naive,NaiveForecaster()
Q102,1993-07-01,5591.8,naive,NaiveForecaster()
Q102,1993-10-01,5591.8,naive,NaiveForecaster()
Q102,1994-01-01,5591.8,naive,NaiveForecaster()
Q102,1994-04-01,5591.8,naive,NaiveForecaster()
Q102,1994-07-01,5591.8,naive,NaiveForecaster()
Q102,1994-10-01,5591.8,naive,NaiveForecaster()
Q103,1993-01-01,2038.0,naive,NaiveForecaster()
Q103,1993-04-01,2038.0,naive,NaiveForecaster()
Q103,1993-07-01,2038.0,naive,NaiveForecaster()
Q103,1993-10-01,2038.0,naive,NaiveForecaster()
Q103,1994-01-01,2038.0,naive,NaiveForecaster()
Q103,1994-04-01,2038.0,naive,NaiveForecaster()
Q103,1994-07-01,2038.0,naive,NaiveForecaster()
Q103,1994-10-01,2038.0,naive,NaiveForecaster()
Q104,1993-01-01,3850.0,naive,NaiveForecaster()
Q104,1993-04-01,3850.0,naive,NaiveForecaster()
Q104,1993-07-01,3850.0,naive,NaiveForecaster()
Q104,1993-10-01,3850.0,naive,NaiveForecaster()
Q104,1994-01-01,3850.0,naive,NaiveForecaster()
Q104,1994-04-01,3850.0,naive,NaiveForecaster()
Q104,1994-07-01,3850.0,naive,NaiveForecaster()
Q104,1994-10-01,3850.0,naive,NaiveForecaster()
Q105,1993-01-01,2642.0,naive,NaiveForecaster()
Q105,1993-04-01,2642.0,naive,NaiveForecaster()
Q105,1993-07-01,2642.0,naive,NaiveForecaster()
Q105,1993-10-01,2642.0,naive,NaiveForecaster()
Q105,1994-01-01,2642.0,naive,NaiveForecaster()
Q105,1994-04-01,2642.0,naive,NaiveForecaster()
Q105,1994-07-01,2642.0,naive,NaiveForecaster()
Q105,1994-10-01,2642.0,naive,NaiveForecaster()
Q106,1992-04-01,5592.8,naive,NaiveForecaster()
Q106,1992-07-01,5592.8,naive,NaiveForecaster()
Q106,1992-10-01,5592.8,naive,NaiveForecaster()
Q106,1993-01-01,5592.8,naive,NaiveForecaster()
Q106,1993-04-01,5592.8,naive,NaiveForecaster()
Q106,1993-07-01,5592.8,naive,NaiveForecaster()
Q106,1993-10-01,5592.8,naive,NaiveForecaster()
Q106,1994-01-01,5592.8,naive,NaiveForecaster()
Q107,1993-01-01,5901.0,naive,NaiveForecaster()
Q107,1993-04-01,5901.0,naive,NaiveForecaster()
Q107,1993-07-01,5901.0,naive,NaiveForecaster()
Q107,1993-10-01,5901.0,naive,NaiveForecaster()
Q107,1994-01-01,5901.0,naive,NaiveForecaster()
Q107,1994-04-01,5901.0,naive,NaiveForecaster()
Q107,1994-07-01,5901.0,naive,NaiveForecaster()
Q107,1994-10-01,5901.0,naive,NaiveForecaster()
Q108,1992-04-01,4270.5,naive,NaiveForecaster()
Q108,1992-07-01,4270.5,naive,NaiveForecaster()
Q108,1992-10-01,4270.5,naive,NaiveForecaster()
Q108,1993-01-01,4270.5,naive,NaiveForecaster()
Q108,1993-04-01,4270.5,naive,NaiveForecaster()
Q108,1993-07-01,4270.5,naive,NaiveForecaster()
Q108,1993-10-01,4270.5,naive,NaiveForecaster()
Q108,1994-01-01,4270.5,naive,NaiveForecaster()
Q109,1993-01-01,4125.5,naive,NaiveForecaster()
Q109,1993-04-01,4125.5,naive,NaiveForecaster()
Q109,1993-07-01,4125.5,naive,NaiveForecaster()
Q109,1993-10-01,4125.5,naive,NaiveForecaster()
Q109,1994-01-01,4125.5,naive,NaiveForecaster()
Q109,1994-04-01,4125.5,naive,NaiveForecaster()
Q109,1994-07-01,4125.5,naive,NaiveForecaster()
Q109,1994-10-01,4125.5,naive,NaiveForecaster()
Q11,1993-01-01,5475.2,naive,NaiveForecaster()
Q11,1993-04-01,5475.2,naive,NaiveForecaster()
Q11,1993-07-01,5475.2,naive,NaiveForecaster()
Q11,1993-10-01,5475.2,naive,NaiveForecaster()
Q11,1994-01-01,5475.2,naive,NaiveForecaster()
Q11,1994-04-01,5475.2,naive,NaiveForecaster()
Q11,1994-07-01,5475.2,naive,NaiveForecaster()
Q11,1994-10-01,5475.2,naive,NaiveForecaster()
Q110,1993-01-01,8858.7,naive,NaiveForecaster()
Q110,1993-04-01,8858.7,naive,NaiveForecaster()
Q110,1993-07-01,8858.7,naive,NaiveForecaster()
Q110,1993-10-01,8858.7,naive,NaiveForecaster()
Q110,1994-01-01,8858.7,naive,NaiveForecaster()
Q110,1994-04-01,8858.7,naive,NaiveForecaster()
Q110,1994-07-01,8858.7,naive,NaiveForecaster()
Q110,1994-10-01,8858.7,naive,NaiveForecaster()
Q111,1993-01-01,7910.65,naive,NaiveForecaster()
Q111,1993-04-01,7910.65,naive,NaiveForecaster()
Q111,1993-07-01,7910.65,naive,NaiveForecaster()
Q111,1993-10-01,7910.65,naive,NaiveForecaster()
Q111,1994-01-01,7910.65,naive,NaiveForecaster()
Q111,1994-04-01,7910.65,naive,NaiveForecaster()
Q111,1994-07-01,7910.65,naive,NaiveForecaster()
Q111,1994-10-01,7910.65,naive,NaiveForecaster()
Q112,1993-01-01,4475.0,naive,NaiveForecaster()
Q112,1993-04-01,4475.0,naive,NaiveForecaster()
Q112,1993-07-01,4475.0,naive,NaiveForecaster()
Q112,1993-10-01,4475.0,naive,NaiveForecaster()
Q112,1994-01-01,4475.0,naive,NaiveForecaster()
Q112,1994-04-01,4475.0,naive,NaiveForecaster()
Q112,1994-07-01,4475.0,naive,NaiveForecaster()
Q112,1994-10-01,4475.0,naive,NaiveForecaster()
Q113,1993-01-01,6046.3,naive,NaiveForecaster()
Q113,1993-04-01,6046.3,naive,NaiveForecaster()
Q113,1993-07-01,6046.3,naive,NaiveForecaster()
Q113,1993-10-01,6046.3,naive,NaiveForecaster()
Q113,1994-01-01,6046.3,naive,NaiveForecaster()
Q113,1994-04-01,6046.3,naive,NaiveForecaster()
Q113,1994-07-01,6046.3,naive,NaiveForecaster()
Q113,1994-10-01,6046.3,naive,NaiveForecaster()
Q114,1993-01-01,5817.9,naive,NaiveForecaster()
Q114,1993-04-01,5817.9,naive,NaiveForecaster()
Q114,1993-07-01,5817.9,naive,NaiveForecaster()
Q114,1993-10-01,5817.9,naive,NaiveForecaster()
Q114,1994-01-01,5817.9,naive,NaiveForecaster()
Q114,1994-04-01,5817.9,naive,NaiveForecaster()
Q114,1994-07-01,5817.9,naive,NaiveForecaster()
Q114,1994-10-01,5817.9,naive,NaiveForecaster()
Q115,1993-01-01,4761.1,naive,NaiveForecaster()
Q115,1993-04-01,4761.1,naive,NaiveForecaster()
Q115,1993-07-01,4761.1,naive,NaiveForecaster()
Q115,1993-10-01,4761.1,naive,NaiveForecaster()
Q115,1994-01-01,4761.1,naive,NaiveForecaster()
Q115,1994-04-01,4761.1,naive,NaiveForecaster()
Q115,1994-07-01,4761.1,naive,NaiveForecaster()
Q115,1994-10-01,4761.1,naive,NaiveForecaster()
Q116,1992-04-01,5591.5,naive,NaiveForecaster()
Q116,1992-07-01,5591.5,naive,NaiveForecaster()
Q116,1992-10-01,5591.5,naive,NaiveForecaster()
Q116,1993-01-01,5591.5,naive,NaiveForecaster()
Q116,1993-04-01,5591.5,naive,NaiveForecaster()
Q116,1993-07-01,5591.5,naive,NaiveForecaster()
Q116,1993-10-01,5591.5,naive,NaiveForecaster()
Q116,1994-01-01,5591.5,naive,NaiveForecaster()
Q117,1993-01-01,3254.26,naive,NaiveForecaster()
Q117,1993-04-01,3254.26,naive,NaiveForecaster()
Q117,1993-07-01,3254.26,naive,NaiveForecaster()
Q117,1993-10-01,3254.26,naive,NaiveForecaster()
Q117,1994-01-01,3254.26,naive,NaiveForecaster()
Q117,1994-04-01,3254.26,naive,NaiveForecaster()
Q117,1994-07-01,3254.26,naive,NaiveForecaster()
Q117,1994-10-01,3254.26,naive,NaiveForecaster()
Q118,1993-01-01,4706.55,naive,NaiveForecaster()
Q118,1993-04-01,4706.55,naive,NaiveForecaster()
Q118,1993-07-01,4706.55,naive,NaiveForecaster()
Q118,1993-10-01,4706.55,naive,NaiveForecaster()
Q118,1994-01-01,4706.55,naive,NaiveForecaster()
Q118,1994-04-01,4706.55,naive,NaiveForecaster()
Q118,1994-07-01,4706.55,naive,NaiveForecaster()
Q118,1994-10-01,4706.55,naive,NaiveForecaster()
Q119,1993-01-01,6440.7,naive,NaiveForecaster()
Q119,1993-04-01,6440.7,naive,NaiveForecaster()
Q119,1993-07-01,6440.7,naive,NaiveForecaster()
Q119,1993-10-01,6440.7,naive,NaiveForecaster()
Q119,1994-01-01,6440.7,naive,NaiveForecaster()
Q119,1994-04-01,6440.7,naive,NaiveForecaster()
Q119,1994-07-01,6440.7,naive,NaiveForecaster()
Q119,1994-10-01,6440.7,naive,NaiveForecaster()
Q12,1993-01-01,7497.4,naive,NaiveForecaster()
Q12,1993-04-01,7497.4,naive,NaiveForecaster()
Q12,1993-07-01,7497.4,naive,NaiveForecaster()
Q12,1993-10-01,7497.4,naive,NaiveForecaster()
Q12,1994-01-01,7497.4,naive,NaiveForecaster()
