unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,6363.1545,polytrend,PolynomialTrendForecaster()
Q1,1993-04-01,6460.8011,polytrend,PolynomialTrendForecaster()
Q1,1993-07-01,6558.4477,polytrend,PolynomialTrendForecaster()
Q1,1993-10-01,6656.0943,polytrend,PolynomialTrendForecaster()
Q1,1994-01-01,6753.7409,polytrend,PolynomialTrendForecaster()
Q1,1994-04-01,6851.3875,polytrend,PolynomialTrendForecaster()
Q1,1994-07-01,6949.0341,polytrend,PolynomialTrendForecaster()
Q1,1994-10-01,7046.6807,polytrend,PolynomialTrendForecaster()
Q10,1993-01-01,7196.674,polytrend,PolynomialTrendForecaster()
Q10,1993-04-01,7336.5296,polytrend,PolynomialTrendForecaster()
Q10,1993-07-01,7476.3852,polytrend,PolynomialTrendForecaster()
Q10,1993-10-01,7616.2409,polytrend,PolynomialTrendForecaster()
Q10,1994-01-01,7756.0965,polytrend,PolynomialTrendForecaster()
Q10,1994-04-01,7895.9521,polytrend,PolynomialTrendForecaster()
Q10,1994-07-01,8035.8077,polytrend,PolynomialTrendForecaster()
Q10,1994-10-01,8175.6634,polytrend,PolynomialTrendForecaster()
Q100,1993-01-01,3696.8197,polytrend,PolynomialTrendForecaster()
Q100,1993-04-01,3731.9562,polytrend,PolynomialTrendForecaster()
Q100,1993-07-01,3767.0927,polytrend,PolynomialTrendForecaster()
Q100,1993-10-01,3802.2292,polytrend,PolynomialTrendForecaster()
Q100,1994-01-01,3837.3657,polytrend,PolynomialTrendForecaster()
Q100,1994-04-01,3872.5022,polytrend,PolynomialTrendForecaster()
Q100,1994-07-01,3907.6387,polytrend,PolynomialTrendForecaster()
Q100,1994-10-01,3942.7752,polytrend,PolynomialTrendForecaster()
Q101,1993-01-01,9836.2841,polytrend,PolynomialTrendForecaster()
Q101,1993-04-01,10005.8271,polytrend,PolynomialTrendForecaster()
Q101,1993-07-01,10175.3701,polytrend,PolynomialTrendForecaster()
Q101,1993-10-01,10344.9131,polytrend,PolynomialTrendForecaster()
Q101,1994-01-01,10514.4561,polytrend,PolynomialTrendForecaster()
Q101,1994-04-01,10683.9991,polytrend,PolynomialTrendForecaster()
Q101,1994-07-01,10853.542,polytrend,PolynomialTrendForecaster()
Q101,1994-10-01,11023.085,polytrend,PolynomialTrendForecaster()
Q102,1993-01-01,6340.3111,polytrend,PolynomialTrendForecaster()
Q102,1993-04-01,6419.8242,polytrend,PolynomialTrendForecaster()
Q102,1993-07-01,6499.3372,polytrend,PolynomialTrendForecaster()
Q102,1993-10-01,6578.8503,polytrend,PolynomialTrendForecaster()
Q102,1994-01-01,6658.3634,polytrend,PolynomialTrendForecaster()
Q102,1994-04-01,6737.8764,polytrend,PolynomialTrendForecaster()
Q102,1994-07-01,6817.3895,polytrend,PolynomialTrendForecaster()
Q102,1994-10-01,6896.9026,polytrend,PolynomialTrendForecaster()
Q103,1993-01-01,2029.0063,polytrend,PolynomialTrendForecaster()
Q103,1993-04-01,2036.8565,polytrend,PolynomialTrendForecaster()
Q103,1993-07-01,2044.7067,polytrend,PolynomialTrendForecaster()
Q103,1993-10-01,2052.5569,polytrend,PolynomialTrendForecaster()
Q103,1994-01-01,2060.4071,polytrend,PolynomialTrendForecaster()
Q103,1994-04-01,2068.2573,polytrend,PolynomialTrendForecaster()
Q103,1994-07-01,2076.1075,polytrend,PolynomialTrendForecaster()
Q103,1994-10-01,2083.9577,polytrend,PolynomialTrendForecaster()
