unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5511.55,naive,NaiveForecaster()
Q1,1993-04-01,5511.55,naive,NaiveForecaster()
Q1,1993-07-01,5511.55,naive,NaiveForecaster()
Q1,1993-10-01,5511.55,naive,NaiveForecaster()
Q1,1994-01-01,5511.55,naive,NaiveForecaster()
Q1,1994-04-01,5511.55,naive,NaiveForecaster()
Q1,1994-07-01,5511.55,naive,NaiveForecaster()
Q1,1994-10-01,5511.55,naive,NaiveForecaster()
Q10,1993-01-01,6820.5,naive,NaiveForecaster()
Q10,1993-04-01,6820.5,naive,NaiveForecaster()
Q10,1993-07-01,6820.5,naive,NaiveForecaster()
Q10,1993-10-01,6820.5,naive,NaiveForecaster()
Q10,1994-01-01,6820.5,naive,NaiveForecaster()
Q10,1994-04-01,6820.5,naive,NaiveForecaster()
Q10,1994-07-01,6820.5,naive,NaiveForecaster()
Q10,1994-10-01,6820.5,naive,NaiveForecaster()
Q100,1993-01-01,3388.0,snaive,NaiveForecaster(sp=4)
Q100,1993-04-01,3734.0,snaive,NaiveForecaster(sp=4)
Q100,1993-07-01,3784.0,snaive,NaiveForecaster(sp=4)
Q100,1993-10-01,3974.0,snaive,NaiveForecaster(sp=4)
Q100,1994-01-01,3388.0,snaive,NaiveForecaster(sp=4)
Q100,1994-04-01,3734.0,snaive,NaiveForecaster(sp=4)
Q100,1994-07-01,3784.0,snaive,NaiveForecaster(sp=4)
Q100,1994-10-01,3974.0,snaive,NaiveForecaster(sp=4)
Q101,1993-01-01,7840.0,snaive,NaiveForecaster(sp=4)
Q101,1993-04-01,8294.0,snaive,NaiveForecaster(sp=4)
Q101,1993-07-01,8390.0,snaive,NaiveForecaster(sp=4)
Q101,1993-10-01,9556.0,snaive,NaiveForecaster(sp=4)
Q101,1994-01-01,7840.0,snaive,NaiveForecaster(sp=4)
Q101,1994-04-01,8294.0,snaive,NaiveForecaster(sp=4)
Q101,1994-07-01,8390.0,snaive,NaiveForecaster(sp=4)
Q101,1994-10-01,9556.0,snaive,NaiveForecaster(sp=4)
Q102,1993-01-01,5591.8,naive,NaiveForecaster()
Q102,1993-04-01,5591.8,naive,NaiveForecaster()
Q102,1993-07-01,5591.8,naive,NaiveForecaster()
Q102,1993-10-01,5591.8,naive,NaiveForecaster()
Q102,1994-01-01,5591.8,naive,NaiveForecaster()
Q102,1994-04-01,5591.8,naive,NaiveForecaster()
Q102,1994-07-01,5591.8,naive,NaiveForecaster()
Q102,1994-10-01,5591.8,naive,NaiveForecaster()
Q103,1993-01-01,2038.0,naive,NaiveForecaster()
Q103,1993-04-01,2038.0,naive,NaiveForecaster()
Q103,1993-07-01,2038.0,naive,NaiveForecaster()
Q103,1993-10-01,2038.0,naive,NaiveForecaster()
Q103,1994-01-01,2038.0,naive,NaiveForecaster()
Q103,1994-04-01,2038.0,naive,NaiveForecaster()
Q103,1994-07-01,2038.0,naive,NaiveForecaster()
Q103,1994-10-01,2038.0,naive,NaiveForecaster()
Q104,1993-01-01,3850.0,naive,NaiveForecaster()
Q104,1993-04-01,3850.0,naive,NaiveForecaster()
Q104,1993-07-01,3850.0,naive,NaiveForecaster()
Q104,1993-10-01,3850.0,naive,NaiveForecaster()
Q104,1994-01-01,3850.0,naive,NaiveForecaster()
Q104,1994-04-01,3850.0,naive,NaiveForecaster()
Q104,1994-07-01,3850.0,naive,NaiveForecaster()
Q104,1994-10-01,3850.0,naive,NaiveForecaster()
Q105,1993-01-01,2642.0,naive,NaiveForecaster()
Q105,1993-04-01,2642.0,naive,NaiveForecaster()
Q105,1993-07-01,2642.0,naive,NaiveForecaster()
Q105,1993-10-01,2642.0,naive,NaiveForecaster()
Q105,1994-01-01,2642.0,naive,NaiveForecaster()
Q105,1994-04-01,2642.0,naive,NaiveForecaster()
Q105,1994-07-01,2642.0,naive,NaiveForecaster()
Q105,1994-10-01,2642.0,naive,NaiveForecaster()
Q106,1992-04-01,5763.4,snaive,NaiveForecaster(sp=2)
Q106,1992-07-01,5592.8,snaive,NaiveForecaster(sp=2)
Q106,1992-10-01,5763.4,snaive,NaiveForecaster(sp=2)
Q106,1993-01-01,5592.8,snaive,NaiveForecaster(sp=2)
Q106,1993-04-01,5763.4,snaive,NaiveForecaster(sp=2)
Q106,1993-07-01,5592.8,snaive,NaiveForecaster(sp=2)
Q106,1993-10-01,5763.4,snaive,NaiveForecaster(sp=2)
Q106,1994-01-01,5592.8,snaive,NaiveForecaster(sp=2)
Q107,1993-01-01,3719.0,snaive,NaiveForecaster(sp=4)
Q107,1993-04-01,3967.0,snaive,NaiveForecaster(sp=4)
Q107,1993-07-01,4340.0,snaive,NaiveForecaster(sp=4)
Q107,1993-10-01,5901.0,snaive,NaiveForecaster(sp=4)
Q107,1994-01-01,3719.0,snaive,NaiveForecaster(sp=4)
Q107,1994-04-01,3967.0,snaive,NaiveForecaster(sp=4)
Q107,1994-07-01,4340.0,snaive,NaiveForecaster(sp=4)
Q107,1994-10-01,5901.0,snaive,NaiveForecaster(sp=4)
Q108,1992-04-01,5577.9,snaive,NaiveForecaster(sp=4)
Q108,1992-07-01,5260.8,snaive,NaiveForecaster(sp=4)
Q108,1992-10-01,5688.0,snaive,NaiveForecaster(sp=4)
Q108,1993-01-01,4270.5,snaive,NaiveForecaster(sp=4)
Q108,1993-04-01,5577.9,snaive,NaiveForecaster(sp=4)
Q108,1993-07-01,5260.8,snaive,NaiveForecaster(sp=4)
Q108,1993-10-01,5688.0,snaive,NaiveForecaster(sp=4)
Q108,1994-01-01,4270.5,snaive,NaiveForecaster(sp=4)
Q109,1993-01-01,3852.9,snaive,NaiveForecaster(sp=4)
Q109,1993-04-01,3639.2,snaive,NaiveForecaster(sp=4)
Q109,1993-07-01,3725.9,snaive,NaiveForecaster(sp=4)
Q109,1993-10-01,4125.5,snaive,NaiveForecaster(sp=4)
Q109,1994-01-01,3852.9,snaive,NaiveForecaster(sp=4)
Q109,1994-04-01,3639.2,snaive,NaiveForecaster(sp=4)
Q109,1994-07-01,3725.9,snaive,NaiveForecaster(sp=4)
Q109,1994-10-01,4125.5,snaive,NaiveForecaster(sp=4)
Q11,1993-01-01,5475.2,naive,NaiveForecaster()
Q11,1993-04-01,5475.2,naive,NaiveForecaster()
Q11,1993-07-01,5475.2,naive,NaiveForecaster()
Q11,1993-10-01,5475.2,naive,NaiveForecaster()
Q11,1994-01-01,5475.2,naive,NaiveForecaster()
Q11,1994-04-01,5475.2,naive,NaiveForecaster()
Q11,1994-07-01,5475.2,naive,NaiveForecaster()
Q11,1994-10-01,5475.2,naive,NaiveForecaster()
Q110,1993-01-01,8958.3,snaive,NaiveForecaster(sp=4)
Q110,1993-04-01,8649.0,snaive,NaiveForecaster(sp=4)
Q110,1993-07-01,9115.5,snaive,NaiveForecaster(sp=4)
Q110,1993-10-01,8858.7,snaive,NaiveForecaster(sp=4)
Q110,1994-01-01,8958.3,snaive,NaiveForecaster(sp=4)
Q110,1994-04-01,8649.0,snaive,NaiveForecaster(sp=4)
Q110,1994-07-01,9115.5,snaive,NaiveForecaster(sp=4)
Q110,1994-10-01,8858.7,snaive,NaiveForecaster(sp=4)
Q111,1993-01-01,5380.55,snaive,NaiveForecaster(sp=4)
Q111,1993-04-01,5081.45,snaive,NaiveForecaster(sp=4)
Q111,1993-07-01,6043.5,snaive,NaiveForecaster(sp=4)
Q111,1993-10-01,7910.65,snaive,NaiveForecaster(sp=4)
Q111,1994-01-01,5380.55,snaive,NaiveForecaster(sp=4)
Q111,1994-04-01,5081.45,snaive,NaiveForecaster(sp=4)
Q111,1994-07-01,6043.5,snaive,NaiveForecaster(sp=4)
Q111,1994-10-01,7910.65,snaive,NaiveForecaster(sp=4)
Q112,1993-01-01,4721.5,snaive,NaiveForecaster(sp=4)
Q112,1993-04-01,4373.0,snaive,NaiveForecaster(sp=4)
Q112,1993-07-01,5386.0,snaive,NaiveForecaster(sp=4)
Q112,1993-10-01,4475.0,snaive,NaiveForecaster(sp=4)
Q112,1994-01-01,4721.5,snaive,NaiveForecaster(sp=4)
Q112,1994-04-01,4373.0,snaive,NaiveForecaster(sp=4)
Q112,1994-07-01,5386.0,snaive,NaiveForecaster(sp=4)
Q112,1994-10-01,4475.0,snaive,NaiveForecaster(sp=4)
Q113,1993-01-01,4690.85,snaive,NaiveForecaster(sp=4)
Q113,1993-04-01,5034.3,snaive,NaiveForecaster(sp=4)
Q113,1993-07-01,5193.9,snaive,NaiveForecaster(sp=4)
Q113,1993-10-01,6046.3,snaive,NaiveForecaster(sp=4)
Q113,1994-01-01,4690.85,snaive,NaiveForecaster(sp=4)
Q113,1994-04-01,5034.3,snaive,NaiveForecaster(sp=4)
Q113,1994-07-01,5193.9,snaive,NaiveForecaster(sp=4)
Q113,1994-10-01,6046.3,snaive,NaiveForecaster(sp=4)
Q114,1993-01-01,5699.7,snaive,NaiveForecaster(sp=2)
Q114,1993-04-01,5817.9,snaive,NaiveForecaster(sp=2)
Q114,1993-07-01,5699.7,snaive,NaiveForecaster(sp=2)
Q114,1993-10-01,5817.9,snaive,NaiveForecaster(sp=2)
Q114,1994-01-01,5699.7,snaive,NaiveForecaster(sp=2)
Q114,1994-04-01,5817.9,snaive,NaiveForecaster(sp=2)
Q114,1994-07-01,5699.7,snaive,NaiveForecaster(sp=2)
Q114,1994-10-01,5817.9,snaive,NaiveForecaster(sp=2)
Q115,1993-01-01,4381.4,snaive,NaiveForecaster(sp=2)
Q115,1993-04-01,4761.1,snaive,NaiveForecaster(sp=2)
Q115,1993-07-01,4381.4,snaive,NaiveForecaster(sp=2)
Q115,1993-10-01,4761.1,snaive,NaiveForecaster(sp=2)
Q115,1994-01-01,4381.4,snaive,NaiveForecaster(sp=2)
Q115,1994-04-01,4761.1,snaive,NaiveForecaster(sp=2)
Q115,1994-07-01,4381.4,snaive,NaiveForecaster(sp=2)
Q115,1994-10-01,4761.1,snaive,NaiveForecaster(sp=2)
Q116,1992-04-01,4691.5,snaive,NaiveForecaster(sp=4)
Q116,1992-07-01,4788.0,snaive,NaiveForecaster(sp=4)
Q116,1992-10-01,5050.5,snaive,NaiveForecaster(sp=4)
Q116,1993-01-01,5591.5,snaive,NaiveForecaster(sp=4)
Q116,1993-04-01,4691.5,snaive,NaiveForecaster(sp=4)
Q116,1993-07-01,4788.0,snaive,NaiveForecaster(sp=4)
Q116,1993-10-01,5050.5,snaive,NaiveForecaster(sp=4)
Q116,1994-01-01,5591.5,snaive,NaiveForecaster(sp=4)
Q117,1993-01-01,3254.26,naive,NaiveForecaster()
Q117,1993-04-01,3254.26,naive,NaiveForecaster()
Q117,1993-07-01,3254.26,naive,NaiveForecaster()
Q117,1993-10-01,3254.26,naive,NaiveForecaster()
Q117,1994-01-01,3254.26,naive,NaiveForecaster()
Q117,1994-04-01,3254.26,naive,NaiveForecaster()
Q117,1994-07-01,3254.26,naive,NaiveForecaster()
