unique_id,ds,y_pred,model_name,model
Q1,1993-01-01,5609.295,theta,ThetaForecaster()
Q1,1993-04-01,5658.1183,theta,ThetaForecaster()
Q1,1993-07-01,5706.9416,theta,ThetaForecaster()
Q1,1993-10-01,5755.7649,theta,ThetaForecaster()
Q1,1994-01-01,5804.5882,theta,ThetaForecaster()
Q1,1994-04-01,5853.4115,theta,ThetaForecaster()
Q1,1994-07-01,5902.2348,theta,ThetaForecaster()
Q1,1994-10-01,5951.0581,theta,ThetaForecaster()
Q10,1993-01-01,6960.3556,theta,ThetaForecaster()
Q10,1993-04-01,7030.2834,theta,ThetaForecaster()
Q10,1993-07-01,7100.2112,theta,ThetaForecaster()
Q10,1993-10-01,7170.1391,theta,ThetaForecaster()
Q10,1994-01-01,7240.0669,theta,ThetaForecaster()
Q10,1994-04-01,7309.9947,theta,ThetaForecaster()
Q10,1994-07-01,7379.9225,theta,ThetaForecaster()
Q10,1994-10-01,7449.8503,theta,ThetaForecaster()
Q100,1993-01-01,3695.5685,theta,ThetaForecaster(sp=4)
Q100,1993-04-01,3846.3359,theta,ThetaForecaster(sp=4)
Q100,1993-07-01,3844.5029,theta,ThetaForecaster(sp=4)
Q100,1993-10-01,4063.603,theta,ThetaForecaster(sp=4)
Q100,1994-01-01,3761.5369,theta,ThetaForecaster(sp=4)
Q100,1994-04-01,3914.6905,theta,ThetaForecaster(sp=4)
Q100,1994-07-01,3912.5227,theta,ThetaForecaster(sp=4)
Q100,1994-10-01,4135.1827,theta,ThetaForecaster(sp=4)
Q101,1993-01-01,8573.8295,theta,ThetaForecaster(sp=4)
Q101,1993-04-01,9129.3535,theta,ThetaForecaster(sp=4)
Q101,1993-07-01,8903.3844,theta,ThetaForecaster(sp=4)
Q101,1993-10-01,9996.4545,theta,ThetaForecaster(sp=4)
Q101,1994-01-01,8891.1663,theta,ThetaForecaster(sp=4)
Q101,1994-04-01,9464.1536,theta,ThetaForecaster(sp=4)
Q101,1994-07-01,9226.9311,theta,ThetaForecaster(sp=4)
Q101,1994-10-01,10356.4526,theta,ThetaForecaster(sp=4)
Q102,1993-01-01,5671.3131,theta,ThetaForecaster()
Q102,1993-04-01,5711.0696,theta,ThetaForecaster()
Q102,1993-07-01,5750.8261,theta,ThetaForecaster()
Q102,1993-10-01,5790.5827,theta,ThetaForecaster()
Q102,1994-01-01,5830.3392,theta,ThetaForecaster()
Q102,1994-04-01,5870.0957,theta,ThetaForecaster()
Q102,1994-07-01,5909.8523,theta,ThetaForecaster()
Q102,1994-10-01,5949.6088,theta,ThetaForecaster()
Q103,1993-01-01,2003.9404,theta,ThetaForecaster()
Q103,1993-04-01,2007.8655,theta,ThetaForecaster()
Q103,1993-07-01,2011.7906,theta,ThetaForecaster()
Q103,1993-10-01,2015.7157,theta,ThetaForecaster()
Q103,1994-01-01,2019.6408,theta,ThetaForecaster()
Q103,1994-04-01,2023.5659,theta,ThetaForecaster()
Q103,1994-07-01,2027.491,theta,ThetaForecaster()
Q103,1994-10-01,2031.4161,theta,ThetaForecaster()
Q104,1993-01-01,3228.8833,theta,ThetaForecaster()
Q104,1993-04-01,3207.1161,theta,ThetaForecaster()
Q104,1993-07-01,3185.3489,theta,ThetaForecaster()
Q104,1993-10-01,3163.5817,theta,ThetaForecaster()
Q104,1994-01-01,3141.8145,theta,ThetaForecaster()
Q104,1994-04-01,3120.0474,theta,ThetaForecaster()
Q104,1994-07-01,3098.2802,theta,ThetaForecaster()
Q104,1994-10-01,3076.513,theta,ThetaForecaster()
Q105,1993-01-01,2308.3793,theta,ThetaForecaster()
Q105,1993-04-01,2317.1615,theta,ThetaForecaster()
Q105,1993-07-01,2325.9437,theta,ThetaForecaster()
Q105,1993-10-01,2334.726,theta,ThetaForecaster()
Q105,1994-01-01,2343.5082,theta,ThetaForecaster()
Q105,1994-04-01,2352.2905,theta,ThetaForecaster()
Q105,1994-07-01,2361.0727,theta,ThetaForecaster()
Q105,1994-10-01,2369.8549,theta,ThetaForecaster()
Q106,1992-04-01,5830.1207,theta,ThetaForecaster(sp=2)
Q106,1992-07-01,5582.7271,theta,ThetaForecaster(sp=2)
Q106,1992-10-01,5823.1121,theta,ThetaForecaster(sp=2)
Q106,1993-01-01,5576.0119,theta,ThetaForecaster(sp=2)
Q106,1993-04-01,5816.1035,theta,ThetaForecaster(sp=2)
Q106,1993-07-01,5569.2967,theta,ThetaForecaster(sp=2)
Q106,1993-10-01,5809.0949,theta,ThetaForecaster(sp=2)
Q106,1994-01-01,5562.5814,theta,ThetaForecaster(sp=2)
Q107,1993-01-01,3988.4566,theta,ThetaForecaster(sp=4)
Q107,1993-04-01,4202.5054,theta,ThetaForecaster(sp=4)
Q107,1993-07-01,4452.5662,theta,ThetaForecaster(sp=4)
Q107,1993-10-01,6156.1835,theta,ThetaForecaster(sp=4)
Q107,1994-01-01,4124.0922,theta,ThetaForecaster(sp=4)
Q107,1994-04-01,4344.2154,theta,ThetaForecaster(sp=4)
Q107,1994-07-01,4601.4532,theta,ThetaForecaster(sp=4)
Q107,1994-10-01,6360.3303,theta,ThetaForecaster(sp=4)
Q108,1992-04-01,6199.9196,theta,ThetaForecaster(sp=4)
Q108,1992-07-01,5883.1823,theta,ThetaForecaster(sp=4)
Q108,1992-10-01,6161.9677,theta,ThetaForecaster(sp=4)
Q108,1993-01-01,4425.0466,theta,ThetaForecaster(sp=4)
Q108,1993-04-01,6410.9178,theta,ThetaForecaster(sp=4)
Q108,1993-07-01,6081.712,theta,ThetaForecaster(sp=4)
Q108,1993-10-01,6368.1655,theta,ThetaForecaster(sp=4)
Q108,1994-01-01,4571.8935,theta,ThetaForecaster(sp=4)
Q109,1993-01-01,4149.9631,theta,ThetaForecaster(sp=4)
Q109,1993-04-01,3991.6846,theta,ThetaForecaster(sp=4)
Q109,1993-07-01,4125.8519,theta,ThetaForecaster(sp=4)
Q109,1993-10-01,4311.3066,theta,ThetaForecaster(sp=4)
Q109,1994-01-01,4297.7702,theta,ThetaForecaster(sp=4)
Q109,1994-04-01,4132.5996,theta,ThetaForecaster(sp=4)
Q109,1994-07-01,4270.2291,theta,ThetaForecaster(sp=4)
Q109,1994-10-01,4460.865,theta,ThetaForecaster(sp=4)
Q11,1993-01-01,5523.3267,theta,ThetaForecaster()
