unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,4904.3201,arima,ARIMA()
Y1,1990-01-01,4872.1743,arima,ARIMA()
Y1,1991-01-01,4840.5442,arima,ARIMA()
Y1,1992-01-01,4809.4216,arima,ARIMA()
Y1,1993-01-01,4778.7983,arima,ARIMA()
Y1,1994-01-01,4748.6663,arima,ARIMA()
Y10,1989-01-01,9490.5984,arima,ARIMA()
Y10,1990-01-01,9431.1836,arima,ARIMA()
Y10,1991-01-01,9372.7396,arima,ARIMA()
Y10,1992-01-01,9315.2506,arima,ARIMA()
Y10,1993-01-01,9258.7008,arima,ARIMA()
Y10,1994-01-01,9203.075,arima,ARIMA()
Y100,1989-01-01,2418.5803,arima,ARIMA()
Y100,1990-01-01,2327.795,arima,ARIMA()
Y100,1991-01-01,2259.9149,arima,ARIMA()
Y100,1992-01-01,2209.161,arima,ARIMA()
Y100,1993-01-01,2171.2123,arima,ARIMA()
Y100,1994-01-01,2142.8382,arima,ARIMA()
Y101,1989-01-01,5533.4285,arima,ARIMA()
Y101,1990-01-01,5412.161,arima,ARIMA()
Y101,1991-01-01,5335.7957,arima,ARIMA()
Y101,1992-01-01,5287.7064,arima,ARIMA()
Y101,1993-01-01,5257.4232,arima,ARIMA()
Y101,1994-01-01,5238.3531,arima,ARIMA()
Y102,1989-01-01,1955.647,arima,ARIMA()
Y102,1990-01-01,1839.2854,arima,ARIMA()
Y102,1991-01-01,1762.0256,arima,ARIMA()
Y102,1992-01-01,1710.7279,arima,ARIMA()
Y102,1993-01-01,1676.6681,arima,ARIMA()
Y102,1994-01-01,1654.0536,arima,ARIMA()
Y103,1989-01-01,4705.0915,arima,ARIMA()
Y103,1990-01-01,4607.1969,arima,ARIMA()
Y103,1991-01-01,4523.7971,arima,ARIMA()
Y103,1992-01-01,4452.7459,arima,ARIMA()
Y103,1993-01-01,4392.2149,arima,ARIMA()
Y103,1994-01-01,4340.6464,arima,ARIMA()
Y104,1989-01-01,4060.2979,arima,ARIMA()
Y104,1990-01-01,3692.1065,arima,ARIMA()
Y104,1991-01-01,3456.5879,arima,ARIMA()
Y104,1992-01-01,3305.9354,arima,ARIMA()
Y104,1993-01-01,3209.5685,arima,ARIMA()
Y104,1994-01-01,3147.9262,arima,ARIMA()
Y105,1989-01-01,7150.982,arima,ARIMA()
Y105,1990-01-01,7030.12,arima,ARIMA()
Y105,1991-01-01,6916.1919,arima,ARIMA()
Y105,1992-01-01,6808.7999,arima,ARIMA()
Y105,1993-01-01,6707.5691,arima,ARIMA()
Y105,1994-01-01,6612.146,arima,ARIMA()
Y106,1989-01-01,4182.1104,arima,ARIMA()
Y106,1990-01-01,3974.2824,arima,ARIMA()
Y106,1991-01-01,3911.7109,arima,ARIMA()
Y106,1992-01-01,3892.8723,arima,ARIMA()
Y106,1993-01-01,3887.2005,arima,ARIMA()
Y106,1994-01-01,3885.4929,arima,ARIMA()
Y107,1989-01-01,1731.3212,arima,ARIMA()
Y107,1990-01-01,1953.5053,arima,ARIMA()
Y107,1991-01-01,2104.3689,arima,ARIMA()
Y107,1992-01-01,2206.8057,arima,ARIMA()
Y107,1993-01-01,2276.3605,arima,ARIMA()
Y107,1994-01-01,2323.5885,arima,ARIMA()
Y108,1989-01-01,5278.8108,arima,ARIMA()
Y108,1990-01-01,5144.4935,arima,ARIMA()
Y108,1991-01-01,5027.2743,arima,ARIMA()
Y108,1992-01-01,4924.9766,arima,ARIMA()
Y108,1993-01-01,4835.701,arima,ARIMA()
Y108,1994-01-01,4757.7898,arima,ARIMA()
Y109,1989-01-01,4238.7178,arima,ARIMA()
Y109,1990-01-01,4594.7597,arima,ARIMA()
Y109,1991-01-01,4810.085,arima,ARIMA()
Y109,1992-01-01,4940.3083,arima,ARIMA()
Y109,1993-01-01,5019.0641,arima,ARIMA()
Y109,1994-01-01,5066.6937,arima,ARIMA()
Y11,1989-01-01,4883.7833,arima,ARIMA()
Y11,1990-01-01,4827.9266,arima,ARIMA()
Y11,1991-01-01,4773.776,arima,ARIMA()
Y11,1992-01-01,4721.2796,arima,ARIMA()
Y11,1993-01-01,4670.3868,arima,ARIMA()
Y11,1994-01-01,4621.0486,arima,ARIMA()
Y110,1989-01-01,4867.8884,arima,ARIMA()
Y110,1990-01-01,4837.059,arima,ARIMA()
Y110,1991-01-01,4806.7527,arima,ARIMA()
Y110,1992-01-01,4776.9608,arima,ARIMA()
Y110,1993-01-01,4747.6744,arima,ARIMA()
Y110,1994-01-01,4718.885,arima,ARIMA()
Y111,1989-01-01,8167.1413,arima,ARIMA()
Y111,1990-01-01,8015.0549,arima,ARIMA()
Y111,1991-01-01,7905.3593,arima,ARIMA()
Y111,1992-01-01,7826.239,arima,ARIMA()
Y111,1993-01-01,7769.1718,arima,ARIMA()
Y111,1994-01-01,7728.0108,arima,ARIMA()
Y112,1989-01-01,7586.1174,arima,ARIMA()
Y112,1990-01-01,7488.5642,arima,ARIMA()
Y112,1991-01-01,7394.1836,arima,ARIMA()
Y112,1992-01-01,7302.8726,arima,ARIMA()
Y112,1993-01-01,7214.5313,arima,ARIMA()
Y112,1994-01-01,7129.0631,arima,ARIMA()
Y113,1989-01-01,24074.686,arima,ARIMA()
Y113,1990-01-01,23164.4638,arima,ARIMA()
Y113,1991-01-01,22316.9877,arima,ARIMA()
Y113,1992-01-01,21527.9324,arima,ARIMA()
Y113,1993-01-01,20793.2705,arima,ARIMA()
Y113,1994-01-01,20109.2526,arima,ARIMA()
Y114,1989-01-01,3677.9496,arima,ARIMA()
Y114,1990-01-01,3507.0746,arima,ARIMA()
Y114,1991-01-01,3352.8725,arima,ARIMA()
Y114,1992-01-01,3213.7163,arima,ARIMA()
Y114,1993-01-01,3088.1381,arima,ARIMA()
Y114,1994-01-01,2974.8129,arima,ARIMA()
Y115,1989-01-01,2442.2791,arima,ARIMA()
Y115,1990-01-01,2419.9058,arima,ARIMA()
Y115,1991-01-01,2397.9711,arima,ARIMA()
Y115,1992-01-01,2376.4664,arima,ARIMA()
Y115,1993-01-01,2355.3835,arima,ARIMA()
Y115,1994-01-01,2334.7139,arima,ARIMA()
Y116,1989-01-01,4519.2073,arima,ARIMA()
Y116,1990-01-01,4270.9585,arima,ARIMA()
Y116,1991-01-01,4123.0974,arima,ARIMA()
Y116,1992-01-01,4035.0287,arima,ARIMA()
Y116,1993-01-01,3982.5736,arima,ARIMA()
Y116,1994-01-01,3951.3304,arima,ARIMA()
Y117,1989-01-01,8370.8669,arima,ARIMA()
Y117,1990-01-01,8206.5609,arima,ARIMA()
Y117,1991-01-01,8049.999,arima,ARIMA()
Y117,1992-01-01,7900.8162,arima,ARIMA()
Y117,1993-01-01,7758.6647,arima,ARIMA()
Y117,1994-01-01,7623.213,arima,ARIMA()
Y118,1989-01-01,6327.33,arima,ARIMA()
Y118,1990-01-01,5798.0113,arima,ARIMA()
Y118,1991-01-01,5598.0083,arima,ARIMA()
Y118,1992-01-01,5522.4372,arima,ARIMA()
Y118,1993-01-01,5493.8826,arima,ARIMA()
Y118,1994-01-01,5483.0933,arima,ARIMA()
