unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,5439.0069,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y1,1990-01-01,5903.5124,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y1,1991-01-01,6338.1385,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y1,1992-01-01,6748.9645,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y1,1993-01-01,7140.8327,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y1,1994-01-01,7517.6005,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y10,1989-01-01,10119.5354,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y10,1990-01-01,10688.0708,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y10,1991-01-01,11256.6062,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y10,1992-01-01,11825.1415,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y10,1993-01-01,12393.6769,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y10,1994-01-01,12962.2123,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y100,1989-01-01,2418.5803,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y100,1990-01-01,2327.795,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y100,1991-01-01,2259.9149,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y100,1992-01-01,2209.161,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y100,1993-01-01,2171.2123,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y100,1994-01-01,2142.8382,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y101,1989-01-01,5533.4285,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y101,1990-01-01,5412.161,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y101,1991-01-01,5335.7957,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y101,1992-01-01,5287.7064,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y101,1993-01-01,5257.4232,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y101,1994-01-01,5238.3531,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y102,1989-01-01,2090.3768,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y102,1990-01-01,1785.3467,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y102,1991-01-01,1599.1464,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y102,1992-01-01,1599.1464,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y102,1993-01-01,1599.1464,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y102,1994-01-01,1599.1464,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y103,1989-01-01,4575.3612,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y103,1990-01-01,4343.139,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y103,1991-01-01,4122.7032,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y103,1992-01-01,3913.4556,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y103,1993-01-01,3714.8284,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y103,1994-01-01,3526.2825,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y104,1989-01-01,4060.2979,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y104,1990-01-01,3692.1065,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y104,1991-01-01,3456.5879,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y104,1992-01-01,3305.9354,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y104,1993-01-01,3209.5685,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y104,1994-01-01,3147.9262,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y105,1989-01-01,7362.1571,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y105,1990-01-01,7716.9432,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y105,1991-01-01,8071.7293,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y105,1992-01-01,8426.5154,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y105,1993-01-01,8781.3016,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y105,1994-01-01,9136.0877,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y106,1989-01-01,4872.4,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y106,1990-01-01,4872.4,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y106,1991-01-01,4872.4,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y106,1992-01-01,4872.4,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y106,1993-01-01,4872.4,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y106,1994-01-01,4872.4,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y107,1989-01-01,1968.7901,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y107,1990-01-01,2463.0684,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y107,1991-01-01,2716.0738,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y107,1992-01-01,2762.5488,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y107,1993-01-01,2705.4603,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y107,1994-01-01,2631.0497,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y108,1989-01-01,5432.72,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y108,1990-01-01,5432.72,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y108,1991-01-01,5432.72,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y108,1992-01-01,5432.72,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y108,1993-01-01,5432.72,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y108,1994-01-01,5432.72,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y109,1989-01-01,4238.7178,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y109,1990-01-01,4594.7597,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y109,1991-01-01,4810.085,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y109,1992-01-01,4940.3083,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y109,1993-01-01,5019.0641,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y109,1994-01-01,5066.6937,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y11,1989-01-01,5218.4377,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y11,1990-01-01,5495.4754,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y11,1991-01-01,5772.5131,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y11,1992-01-01,6049.5508,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y11,1993-01-01,6326.5885,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y11,1994-01-01,6603.6262,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y110,1989-01-01,5184.2577,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y110,1990-01-01,5469.2654,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y110,1991-01-01,5754.2731,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y110,1992-01-01,6039.2808,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y110,1993-01-01,6324.2885,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
Y110,1994-01-01,6609.2962,auto_arima,"AutoARIMA(random_state=42, suppress_warnings=True)"
