unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,2581.0168,croston,Croston()
Y1,1990-01-01,2581.0168,croston,Croston()
Y1,1991-01-01,2581.0168,croston,Croston()
Y1,1992-01-01,2581.0168,croston,Croston()
Y1,1993-01-01,2581.0168,croston,Croston()
Y1,1994-01-01,2581.0168,croston,Croston()
Y10,1989-01-01,5802.4085,croston,Croston()
Y10,1990-01-01,5802.4085,croston,Croston()
Y10,1991-01-01,5802.4085,croston,Croston()
Y10,1992-01-01,5802.4085,croston,Croston()
Y10,1993-01-01,5802.4085,croston,Croston()
Y10,1994-01-01,5802.4085,croston,Croston()
Y100,1989-01-01,2013.2927,croston,Croston()
Y100,1990-01-01,2013.2927,croston,Croston()
Y100,1991-01-01,2013.2927,croston,Croston()
Y100,1992-01-01,2013.2927,croston,Croston()
Y100,1993-01-01,2013.2927,croston,Croston()
Y100,1994-01-01,2013.2927,croston,Croston()
Y101,1989-01-01,5092.338,croston,Croston()
Y101,1990-01-01,5092.338,croston,Croston()
Y101,1991-01-01,5092.338,croston,Croston()
Y101,1992-01-01,5092.338,croston,Croston()
Y101,1993-01-01,5092.338,croston,Croston()
Y101,1994-01-01,5092.338,croston,Croston()
Y102,1989-01-01,1588.7521,croston,Croston()
Y102,1990-01-01,1588.7521,croston,Croston()
Y102,1991-01-01,1588.7521,croston,Croston()
Y102,1992-01-01,1588.7521,croston,Croston()
Y102,1993-01-01,1588.7521,croston,Croston()
Y102,1994-01-01,1588.7521,croston,Croston()
Y103,1989-01-01,4683.9215,croston,Croston()
Y103,1990-01-01,4683.9215,croston,Croston()
Y103,1991-01-01,4683.9215,croston,Croston()
Y103,1992-01-01,4683.9215,croston,Croston()
Y103,1993-01-01,4683.9215,croston,Croston()
Y103,1994-01-01,4683.9215,croston,Croston()
Y104,1989-01-01,2822.3251,croston,Croston()
Y104,1990-01-01,2822.3251,croston,Croston()
Y104,1991-01-01,2822.3251,croston,Croston()
Y104,1992-01-01,2822.3251,croston,Croston()
Y104,1993-01-01,2822.3251,croston,Croston()
Y104,1994-01-01,2822.3251,croston,Croston()
Y105,1989-01-01,5335.1092,croston,Croston()
Y105,1990-01-01,5335.1092,croston,Croston()
Y105,1991-01-01,5335.1092,croston,Croston()
Y105,1992-01-01,5335.1092,croston,Croston()
Y105,1993-01-01,5335.1092,croston,Croston()
Y105,1994-01-01,5335.1092,croston,Croston()
Y106,1989-01-01,3864.2684,croston,Croston()
Y106,1990-01-01,3864.2684,croston,Croston()
Y106,1991-01-01,3864.2684,croston,Croston()
Y106,1992-01-01,3864.2684,croston,Croston()
Y106,1993-01-01,3864.2684,croston,Croston()
Y106,1994-01-01,3864.2684,croston,Croston()
