unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,5486.1226,ets,AutoETS(trend='add')
Y1,1990-01-01,6035.2521,ets,AutoETS(trend='add')
Y1,1991-01-01,6584.3817,ets,AutoETS(trend='add')
Y1,1992-01-01,7133.5112,ets,AutoETS(trend='add')
Y1,1993-01-01,7682.6407,ets,AutoETS(trend='add')
Y1,1994-01-01,8231.7702,ets,AutoETS(trend='add')
Y10,1989-01-01,10565.1308,ets,AutoETS(trend='add')
Y10,1990-01-01,11194.9749,ets,AutoETS(trend='add')
Y10,1991-01-01,11824.819,ets,AutoETS(trend='add')
Y10,1992-01-01,12454.6631,ets,AutoETS(trend='add')
Y10,1993-01-01,13084.5073,ets,AutoETS(trend='add')
Y10,1994-01-01,13714.3514,ets,AutoETS(trend='add')
Y100,1989-01-01,2538.4315,ets,AutoETS(trend='add')
Y100,1990-01-01,2616.7013,ets,AutoETS(trend='add')
Y100,1991-01-01,2694.971,ets,AutoETS(trend='add')
Y100,1992-01-01,2773.2408,ets,AutoETS(trend='add')
Y100,1993-01-01,2851.5106,ets,AutoETS(trend='add')
Y100,1994-01-01,2929.7804,ets,AutoETS(trend='add')
Y101,1989-01-01,6200.0307,ets,AutoETS(trend='add')
Y101,1990-01-01,6324.8342,ets,AutoETS(trend='add')
Y101,1991-01-01,6449.6377,ets,AutoETS(trend='add')
Y101,1992-01-01,6574.4412,ets,AutoETS(trend='add')
Y101,1993-01-01,6699.2447,ets,AutoETS(trend='add')
Y101,1994-01-01,6824.0482,ets,AutoETS(trend='add')
Y102,1989-01-01,2174.5433,ets,AutoETS(trend='add')
Y102,1990-01-01,2218.2082,ets,AutoETS(trend='add')
Y102,1991-01-01,2261.873,ets,AutoETS(trend='add')
Y102,1992-01-01,2305.5378,ets,AutoETS(trend='add')
Y102,1993-01-01,2349.2026,ets,AutoETS(trend='add')
Y102,1994-01-01,2392.8674,ets,AutoETS(trend='add')
Y103,1989-01-01,4675.9951,ets,AutoETS(trend='add')
Y103,1990-01-01,4531.7104,ets,AutoETS(trend='add')
Y103,1991-01-01,4387.4257,ets,AutoETS(trend='add')
Y103,1992-01-01,4243.141,ets,AutoETS(trend='add')
Y103,1993-01-01,4098.8562,ets,AutoETS(trend='add')
Y103,1994-01-01,3954.5715,ets,AutoETS(trend='add')
Y104,1989-01-01,4144.2494,ets,AutoETS(trend='add')
Y104,1990-01-01,4301.3171,ets,AutoETS(trend='add')
Y104,1991-01-01,4458.3849,ets,AutoETS(trend='add')
Y104,1992-01-01,4615.4526,ets,AutoETS(trend='add')
Y104,1993-01-01,4772.5203,ets,AutoETS(trend='add')
Y104,1994-01-01,4929.588,ets,AutoETS(trend='add')
Y105,1989-01-01,7658.6889,ets,AutoETS(trend='add')
Y105,1990-01-01,8038.1414,ets,AutoETS(trend='add')
Y105,1991-01-01,8417.594,ets,AutoETS(trend='add')
Y105,1992-01-01,8797.0465,ets,AutoETS(trend='add')
Y105,1993-01-01,9176.4991,ets,AutoETS(trend='add')
Y105,1994-01-01,9555.9516,ets,AutoETS(trend='add')
Y106,1989-01-01,4540.2272,ets,AutoETS(trend='add')
Y106,1990-01-01,4629.3911,ets,AutoETS(trend='add')
Y106,1991-01-01,4718.5551,ets,AutoETS(trend='add')
Y106,1992-01-01,4807.719,ets,AutoETS(trend='add')
Y106,1993-01-01,4896.8829,ets,AutoETS(trend='add')
Y106,1994-01-01,4986.0469,ets,AutoETS(trend='add')
Y107,1989-01-01,588.5408,ets,AutoETS(trend='add')
Y107,1990-01-01,304.8494,ets,AutoETS(trend='add')
Y107,1991-01-01,21.158,ets,AutoETS(trend='add')
Y107,1992-01-01,-262.5333,ets,AutoETS(trend='add')
Y107,1993-01-01,-546.2247,ets,AutoETS(trend='add')
Y107,1994-01-01,-829.9161,ets,AutoETS(trend='add')
Y108,1989-01-01,6058.9494,ets,AutoETS(trend='add')
Y108,1990-01-01,6294.0825,ets,AutoETS(trend='add')
Y108,1991-01-01,6529.2156,ets,AutoETS(trend='add')
Y108,1992-01-01,6764.3488,ets,AutoETS(trend='add')
Y108,1993-01-01,6999.4819,ets,AutoETS(trend='add')
Y108,1994-01-01,7234.615,ets,AutoETS(trend='add')
Y109,1989-01-01,3435.0529,ets,AutoETS(trend='add')
Y109,1990-01-01,2939.8055,ets,AutoETS(trend='add')
Y109,1991-01-01,2444.5581,ets,AutoETS(trend='add')
Y109,1992-01-01,1949.3108,ets,AutoETS(trend='add')
Y109,1993-01-01,1454.0634,ets,AutoETS(trend='add')
Y109,1994-01-01,958.816,ets,AutoETS(trend='add')
Y11,1989-01-01,5646.788,ets,AutoETS(trend='add')
Y11,1990-01-01,6405.1948,ets,AutoETS(trend='add')
Y11,1991-01-01,7163.6015,ets,AutoETS(trend='add')
Y11,1992-01-01,7922.0083,ets,AutoETS(trend='add')
Y11,1993-01-01,8680.415,ets,AutoETS(trend='add')
Y11,1994-01-01,9438.8218,ets,AutoETS(trend='add')
Y110,1989-01-01,5479.2462,ets,AutoETS(trend='add')
Y110,1990-01-01,5798.0181,ets,AutoETS(trend='add')
Y110,1991-01-01,6116.79,ets,AutoETS(trend='add')
Y110,1992-01-01,6435.5619,ets,AutoETS(trend='add')
Y110,1993-01-01,6754.3338,ets,AutoETS(trend='add')
Y110,1994-01-01,7073.1057,ets,AutoETS(trend='add')
Y111,1989-01-01,9425.0489,ets,AutoETS(trend='add')
Y111,1990-01-01,9657.7391,ets,AutoETS(trend='add')
Y111,1991-01-01,9890.4293,ets,AutoETS(trend='add')
Y111,1992-01-01,10123.1196,ets,AutoETS(trend='add')
Y111,1993-01-01,10355.8098,ets,AutoETS(trend='add')
Y111,1994-01-01,10588.5001,ets,AutoETS(trend='add')
Y112,1989-01-01,8075.3413,ets,AutoETS(trend='add')
Y112,1990-01-01,8535.8305,ets,AutoETS(trend='add')
Y112,1991-01-01,8996.3198,ets,AutoETS(trend='add')
Y112,1992-01-01,9456.809,ets,AutoETS(trend='add')
Y112,1993-01-01,9917.2982,ets,AutoETS(trend='add')
Y112,1994-01-01,10377.7874,ets,AutoETS(trend='add')
Y113,1989-01-01,34349.9991,ets,AutoETS(trend='add')
Y113,1990-01-01,43647.8671,ets,AutoETS(trend='add')
Y113,1991-01-01,52945.7351,ets,AutoETS(trend='add')
Y113,1992-01-01,62243.6031,ets,AutoETS(trend='add')
Y113,1993-01-01,71541.4711,ets,AutoETS(trend='add')
Y113,1994-01-01,80839.3392,ets,AutoETS(trend='add')
Y114,1989-01-01,4107.6929,ets,AutoETS(trend='add')
Y114,1990-01-01,4348.1658,ets,AutoETS(trend='add')
Y114,1991-01-01,4588.6387,ets,AutoETS(trend='add')
Y114,1992-01-01,4829.1116,ets,AutoETS(trend='add')
Y114,1993-01-01,5069.5845,ets,AutoETS(trend='add')
