unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,5487.7211,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y1,1990-01-01,6038.3587,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y1,1991-01-01,6588.9964,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y1,1992-01-01,7139.6341,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y1,1993-01-01,7690.2717,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y1,1994-01-01,8240.9094,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y10,1989-01-01,10599.2793,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y10,1990-01-01,11235.4265,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y10,1991-01-01,11871.5738,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y10,1992-01-01,12507.7211,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y10,1993-01-01,13143.8684,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y10,1994-01-01,13780.0157,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y100,1989-01-01,2549.1925,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y100,1990-01-01,2632.2004,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y100,1991-01-01,2715.2082,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y100,1992-01-01,2798.2161,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y100,1993-01-01,2881.224,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y100,1994-01-01,2964.2319,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y101,1989-01-01,5901.1487,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y101,1990-01-01,6077.181,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y101,1991-01-01,6253.2132,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y101,1992-01-01,6429.2455,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y101,1993-01-01,6605.2778,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y101,1994-01-01,6781.31,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y102,1989-01-01,2157.7512,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y102,1990-01-01,2189.4317,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y102,1991-01-01,2221.1123,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y102,1992-01-01,2252.7928,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y102,1993-01-01,2284.4733,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y102,1994-01-01,2316.1539,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y103,1989-01-01,4718.3822,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y103,1990-01-01,4326.8986,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y103,1991-01-01,3935.4149,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y103,1992-01-01,3543.9312,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y103,1993-01-01,3152.4475,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y103,1994-01-01,2760.9639,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y104,1989-01-01,4044.4176,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y104,1990-01-01,4182.8038,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y104,1991-01-01,4321.19,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y104,1992-01-01,4459.5763,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y104,1993-01-01,4597.9625,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y104,1994-01-01,4736.3487,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y105,1989-01-01,7622.7774,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y105,1990-01-01,7953.7703,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y105,1991-01-01,8284.7631,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y105,1992-01-01,8615.756,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y105,1993-01-01,8946.7488,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y105,1994-01-01,9277.7417,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y106,1989-01-01,4460.8734,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y106,1990-01-01,4536.3811,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y106,1991-01-01,4611.8887,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y106,1992-01-01,4687.3964,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y106,1993-01-01,4762.9041,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y106,1994-01-01,4838.4117,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y107,1989-01-01,1114.4204,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y107,1990-01-01,826.8725,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y107,1991-01-01,539.3246,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y107,1992-01-01,251.7767,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y107,1993-01-01,-35.7712,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y107,1994-01-01,-323.3191,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y108,1989-01-01,5628.3297,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y108,1990-01-01,5848.6437,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y108,1991-01-01,6068.9578,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y108,1992-01-01,6289.2718,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y108,1993-01-01,6509.5859,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y108,1994-01-01,6729.8999,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y109,1989-01-01,3439.7756,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y109,1990-01-01,2924.38,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y109,1991-01-01,2408.9845,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y109,1992-01-01,1893.5889,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y109,1993-01-01,1378.1934,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y109,1994-01-01,862.7978,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y11,1989-01-01,5725.4026,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y11,1990-01-01,6575.7104,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y11,1991-01-01,7426.0182,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y11,1992-01-01,8276.326,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y11,1993-01-01,9126.6337,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y11,1994-01-01,9976.9415,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y110,1989-01-01,5474.1757,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y110,1990-01-01,5791.8956,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y110,1991-01-01,6109.6155,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y110,1992-01-01,6427.3353,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y110,1993-01-01,6745.0552,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y110,1994-01-01,7062.7751,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y111,1989-01-01,8593.9869,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y111,1990-01-01,8827.1418,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y111,1991-01-01,9060.2968,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y111,1992-01-01,9293.4517,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y111,1993-01-01,9526.6067,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y111,1994-01-01,9759.7616,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y112,1989-01-01,8101.4007,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y112,1990-01-01,8548.5625,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y112,1991-01-01,8995.7243,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y112,1992-01-01,9442.8861,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y112,1993-01-01,9890.0479,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y112,1994-01-01,10337.2098,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y113,1989-01-01,34359.4257,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y113,1990-01-01,43675.2146,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y113,1991-01-01,52991.0035,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y113,1992-01-01,62306.7925,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y113,1993-01-01,71622.5814,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y113,1994-01-01,80938.3704,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y114,1989-01-01,4085.0882,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y114,1990-01-01,4346.0495,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y114,1991-01-01,4607.0107,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y114,1992-01-01,4867.9719,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y114,1993-01-01,5128.9331,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y114,1994-01-01,5389.8943,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y115,1989-01-01,2825.4349,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y115,1990-01-01,3233.0845,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y115,1991-01-01,3640.7341,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y115,1992-01-01,4048.3837,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y115,1993-01-01,4456.0333,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y115,1994-01-01,4863.6829,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y116,1989-01-01,5403.1038,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y116,1990-01-01,5403.6059,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y116,1991-01-01,5404.1081,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y116,1992-01-01,5404.6102,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y116,1993-01-01,5405.1124,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y116,1994-01-01,5405.6146,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y117,1989-01-01,9005.8183,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y117,1990-01-01,9511.5502,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y117,1991-01-01,10017.2821,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y117,1992-01-01,10523.014,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y117,1993-01-01,11028.7459,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y117,1994-01-01,11534.4778,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y118,1989-01-01,4664.7541,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y118,1990-01-01,4574.9696,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y118,1991-01-01,4485.1852,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y118,1992-01-01,4395.4007,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y118,1993-01-01,4305.6163,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y118,1994-01-01,4215.8318,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y119,1989-01-01,6710.021,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y119,1990-01-01,6790.2961,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y119,1991-01-01,6870.5711,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y119,1992-01-01,6950.8462,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y119,1993-01-01,7031.1212,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y119,1994-01-01,7111.3962,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y12,1989-01-01,5524.5127,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y12,1990-01-01,6233.1214,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y12,1991-01-01,6941.73,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y12,1992-01-01,7650.3387,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y12,1993-01-01,8358.9473,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y12,1994-01-01,9067.556,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y120,1989-01-01,8205.2109,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y120,1990-01-01,9816.1511,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y120,1991-01-01,11427.0913,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y120,1992-01-01,13038.0314,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y120,1993-01-01,14648.9716,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y120,1994-01-01,16259.9118,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y121,1989-01-01,2924.3545,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y121,1990-01-01,3027.0405,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y121,1991-01-01,3129.7265,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y121,1992-01-01,3232.4125,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y121,1993-01-01,3335.0985,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y121,1994-01-01,3437.7846,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y122,1989-01-01,8388.6821,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
Y122,1990-01-01,8865.0527,exp_smooth,"ExponentialSmoothing(sp=1, trend='add')"
