unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,2564.7436,grand_means,NaiveForecaster(strategy='mean')
Y1,1990-01-01,2564.7436,grand_means,NaiveForecaster(strategy='mean')
Y1,1991-01-01,2564.7436,grand_means,NaiveForecaster(strategy='mean')
Y1,1992-01-01,2564.7436,grand_means,NaiveForecaster(strategy='mean')
Y1,1993-01-01,2564.7436,grand_means,NaiveForecaster(strategy='mean')
Y1,1994-01-01,2564.7436,grand_means,NaiveForecaster(strategy='mean')
Y10,1989-01-01,5841.15,grand_means,NaiveForecaster(strategy='mean')
Y10,1990-01-01,5841.15,grand_means,NaiveForecaster(strategy='mean')
Y10,1991-01-01,5841.15,grand_means,NaiveForecaster(strategy='mean')
Y10,1992-01-01,5841.15,grand_means,NaiveForecaster(strategy='mean')
Y10,1993-01-01,5841.15,grand_means,NaiveForecaster(strategy='mean')
Y10,1994-01-01,5841.15,grand_means,NaiveForecaster(strategy='mean')
Y100,1989-01-01,2091.1,grand_means,NaiveForecaster(strategy='mean')
Y100,1990-01-01,2091.1,grand_means,NaiveForecaster(strategy='mean')
Y100,1991-01-01,2091.1,grand_means,NaiveForecaster(strategy='mean')
Y100,1992-01-01,2091.1,grand_means,NaiveForecaster(strategy='mean')
Y100,1993-01-01,2091.1,grand_means,NaiveForecaster(strategy='mean')
Y100,1994-01-01,2091.1,grand_means,NaiveForecaster(strategy='mean')
Y101,1989-01-01,5263.2857,grand_means,NaiveForecaster(strategy='mean')
Y101,1990-01-01,5263.2857,grand_means,NaiveForecaster(strategy='mean')
Y101,1991-01-01,5263.2857,grand_means,NaiveForecaster(strategy='mean')
Y101,1992-01-01,5263.2857,grand_means,NaiveForecaster(strategy='mean')
Y101,1993-01-01,5263.2857,grand_means,NaiveForecaster(strategy='mean')
Y101,1994-01-01,5263.2857,grand_means,NaiveForecaster(strategy='mean')
Y102,1989-01-01,1541.8357,grand_means,NaiveForecaster(strategy='mean')
Y102,1990-01-01,1541.8357,grand_means,NaiveForecaster(strategy='mean')
Y102,1991-01-01,1541.8357,grand_means,NaiveForecaster(strategy='mean')
Y102,1992-01-01,1541.8357,grand_means,NaiveForecaster(strategy='mean')
Y102,1993-01-01,1541.8357,grand_means,NaiveForecaster(strategy='mean')
Y102,1994-01-01,1541.8357,grand_means,NaiveForecaster(strategy='mean')
Y103,1989-01-01,4859.4143,grand_means,NaiveForecaster(strategy='mean')
Y103,1990-01-01,4859.4143,grand_means,NaiveForecaster(strategy='mean')
Y103,1991-01-01,4859.4143,grand_means,NaiveForecaster(strategy='mean')
Y103,1992-01-01,4859.4143,grand_means,NaiveForecaster(strategy='mean')
Y103,1993-01-01,4859.4143,grand_means,NaiveForecaster(strategy='mean')
Y103,1994-01-01,4859.4143,grand_means,NaiveForecaster(strategy='mean')
Y104,1989-01-01,2966.4357,grand_means,NaiveForecaster(strategy='mean')
Y104,1990-01-01,2966.4357,grand_means,NaiveForecaster(strategy='mean')
Y104,1991-01-01,2966.4357,grand_means,NaiveForecaster(strategy='mean')
Y104,1992-01-01,2966.4357,grand_means,NaiveForecaster(strategy='mean')
Y104,1993-01-01,2966.4357,grand_means,NaiveForecaster(strategy='mean')
Y104,1994-01-01,2966.4357,grand_means,NaiveForecaster(strategy='mean')
Y105,1989-01-01,5687.7571,grand_means,NaiveForecaster(strategy='mean')
Y105,1990-01-01,5687.7571,grand_means,NaiveForecaster(strategy='mean')
Y105,1991-01-01,5687.7571,grand_means,NaiveForecaster(strategy='mean')
Y105,1992-01-01,5687.7571,grand_means,NaiveForecaster(strategy='mean')
Y105,1993-01-01,5687.7571,grand_means,NaiveForecaster(strategy='mean')
Y105,1994-01-01,5687.7571,grand_means,NaiveForecaster(strategy='mean')
Y106,1989-01-01,3871.7786,grand_means,NaiveForecaster(strategy='mean')
Y106,1990-01-01,3871.7786,grand_means,NaiveForecaster(strategy='mean')
Y106,1991-01-01,3871.7786,grand_means,NaiveForecaster(strategy='mean')
Y106,1992-01-01,3871.7786,grand_means,NaiveForecaster(strategy='mean')
Y106,1993-01-01,3871.7786,grand_means,NaiveForecaster(strategy='mean')
Y106,1994-01-01,3871.7786,grand_means,NaiveForecaster(strategy='mean')
Y107,1989-01-01,2699.0964,grand_means,NaiveForecaster(strategy='mean')
Y107,1990-01-01,2699.0964,grand_means,NaiveForecaster(strategy='mean')
Y107,1991-01-01,2699.0964,grand_means,NaiveForecaster(strategy='mean')
Y107,1992-01-01,2699.0964,grand_means,NaiveForecaster(strategy='mean')
Y107,1993-01-01,2699.0964,grand_means,NaiveForecaster(strategy='mean')
Y107,1994-01-01,2699.0964,grand_means,NaiveForecaster(strategy='mean')
Y108,1989-01-01,4295.1657,grand_means,NaiveForecaster(strategy='mean')
Y108,1990-01-01,4295.1657,grand_means,NaiveForecaster(strategy='mean')
Y108,1991-01-01,4295.1657,grand_means,NaiveForecaster(strategy='mean')
Y108,1992-01-01,4295.1657,grand_means,NaiveForecaster(strategy='mean')
Y108,1993-01-01,4295.1657,grand_means,NaiveForecaster(strategy='mean')
Y108,1994-01-01,4295.1657,grand_means,NaiveForecaster(strategy='mean')
Y109,1989-01-01,5386.2786,grand_means,NaiveForecaster(strategy='mean')
Y109,1990-01-01,5386.2786,grand_means,NaiveForecaster(strategy='mean')
Y109,1991-01-01,5386.2786,grand_means,NaiveForecaster(strategy='mean')
Y109,1992-01-01,5386.2786,grand_means,NaiveForecaster(strategy='mean')
Y109,1993-01-01,5386.2786,grand_means,NaiveForecaster(strategy='mean')
Y109,1994-01-01,5386.2786,grand_means,NaiveForecaster(strategy='mean')
Y11,1989-01-01,2674.2657,grand_means,NaiveForecaster(strategy='mean')
Y11,1990-01-01,2674.2657,grand_means,NaiveForecaster(strategy='mean')
Y11,1991-01-01,2674.2657,grand_means,NaiveForecaster(strategy='mean')
Y11,1992-01-01,2674.2657,grand_means,NaiveForecaster(strategy='mean')
Y11,1993-01-01,2674.2657,grand_means,NaiveForecaster(strategy='mean')
Y11,1994-01-01,2674.2657,grand_means,NaiveForecaster(strategy='mean')
Y110,1989-01-01,3088.475,grand_means,NaiveForecaster(strategy='mean')
Y110,1990-01-01,3088.475,grand_means,NaiveForecaster(strategy='mean')
Y110,1991-01-01,3088.475,grand_means,NaiveForecaster(strategy='mean')
Y110,1992-01-01,3088.475,grand_means,NaiveForecaster(strategy='mean')
Y110,1993-01-01,3088.475,grand_means,NaiveForecaster(strategy='mean')
Y110,1994-01-01,3088.475,grand_means,NaiveForecaster(strategy='mean')
Y111,1989-01-01,7679.2571,grand_means,NaiveForecaster(strategy='mean')
Y111,1990-01-01,7679.2571,grand_means,NaiveForecaster(strategy='mean')
Y111,1991-01-01,7679.2571,grand_means,NaiveForecaster(strategy='mean')
Y111,1992-01-01,7679.2571,grand_means,NaiveForecaster(strategy='mean')
Y111,1993-01-01,7679.2571,grand_means,NaiveForecaster(strategy='mean')
Y111,1994-01-01,7679.2571,grand_means,NaiveForecaster(strategy='mean')
Y112,1989-01-01,4293.3321,grand_means,NaiveForecaster(strategy='mean')
Y112,1990-01-01,4293.3321,grand_means,NaiveForecaster(strategy='mean')
Y112,1991-01-01,4293.3321,grand_means,NaiveForecaster(strategy='mean')
Y112,1992-01-01,4293.3321,grand_means,NaiveForecaster(strategy='mean')
Y112,1993-01-01,4293.3321,grand_means,NaiveForecaster(strategy='mean')
Y112,1994-01-01,4293.3321,grand_means,NaiveForecaster(strategy='mean')
Y113,1989-01-01,5704.7429,grand_means,NaiveForecaster(strategy='mean')
Y113,1990-01-01,5704.7429,grand_means,NaiveForecaster(strategy='mean')
Y113,1991-01-01,5704.7429,grand_means,NaiveForecaster(strategy='mean')
Y113,1992-01-01,5704.7429,grand_means,NaiveForecaster(strategy='mean')
Y113,1993-01-01,5704.7429,grand_means,NaiveForecaster(strategy='mean')
Y113,1994-01-01,5704.7429,grand_means,NaiveForecaster(strategy='mean')
Y114,1989-01-01,1482.4143,grand_means,NaiveForecaster(strategy='mean')
Y114,1990-01-01,1482.4143,grand_means,NaiveForecaster(strategy='mean')
Y114,1991-01-01,1482.4143,grand_means,NaiveForecaster(strategy='mean')
Y114,1992-01-01,1482.4143,grand_means,NaiveForecaster(strategy='mean')
Y114,1993-01-01,1482.4143,grand_means,NaiveForecaster(strategy='mean')
Y114,1994-01-01,1482.4143,grand_means,NaiveForecaster(strategy='mean')
Y115,1989-01-01,1001.1414,grand_means,NaiveForecaster(strategy='mean')
Y115,1990-01-01,1001.1414,grand_means,NaiveForecaster(strategy='mean')
Y115,1991-01-01,1001.1414,grand_means,NaiveForecaster(strategy='mean')
Y115,1992-01-01,1001.1414,grand_means,NaiveForecaster(strategy='mean')
Y115,1993-01-01,1001.1414,grand_means,NaiveForecaster(strategy='mean')
Y115,1994-01-01,1001.1414,grand_means,NaiveForecaster(strategy='mean')
Y116,1989-01-01,4048.4586,grand_means,NaiveForecaster(strategy='mean')
Y116,1990-01-01,4048.4586,grand_means,NaiveForecaster(strategy='mean')
Y116,1991-01-01,4048.4586,grand_means,NaiveForecaster(strategy='mean')
Y116,1992-01-01,4048.4586,grand_means,NaiveForecaster(strategy='mean')
Y116,1993-01-01,4048.4586,grand_means,NaiveForecaster(strategy='mean')
