unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,4936.99,naive,NaiveForecaster()
Y1,1990-01-01,4936.99,naive,NaiveForecaster()
Y1,1991-01-01,4936.99,naive,NaiveForecaster()
Y1,1992-01-01,4936.99,naive,NaiveForecaster()
Y1,1993-01-01,4936.99,naive,NaiveForecaster()
Y1,1994-01-01,4936.99,naive,NaiveForecaster()
Y10,1989-01-01,9551.0,naive,NaiveForecaster()
Y10,1990-01-01,9551.0,naive,NaiveForecaster()
Y10,1991-01-01,9551.0,naive,NaiveForecaster()
Y10,1992-01-01,9551.0,naive,NaiveForecaster()
Y10,1993-01-01,9551.0,naive,NaiveForecaster()
Y10,1994-01-01,9551.0,naive,NaiveForecaster()
Y100,1989-01-01,2540.0,naive,NaiveForecaster()
Y100,1990-01-01,2540.0,naive,NaiveForecaster()
Y100,1991-01-01,2540.0,naive,NaiveForecaster()
Y100,1992-01-01,2540.0,naive,NaiveForecaster()
Y100,1993-01-01,2540.0,naive,NaiveForecaster()
Y100,1994-01-01,2540.0,naive,NaiveForecaster()
Y101,1989-01-01,5726.0,naive,NaiveForecaster()
Y101,1990-01-01,5726.0,naive,NaiveForecaster()
Y101,1991-01-01,5726.0,naive,NaiveForecaster()
Y101,1992-01-01,5726.0,naive,NaiveForecaster()
Y101,1993-01-01,5726.0,naive,NaiveForecaster()
Y101,1994-01-01,5726.0,naive,NaiveForecaster()
Y102,1989-01-01,2130.9,naive,NaiveForecaster()
Y102,1990-01-01,2130.9,naive,NaiveForecaster()
Y102,1991-01-01,2130.9,naive,NaiveForecaster()
Y102,1992-01-01,2130.9,naive,NaiveForecaster()
Y102,1993-01-01,2130.9,naive,NaiveForecaster()
Y102,1994-01-01,2130.9,naive,NaiveForecaster()
Y103,1989-01-01,4820.0,naive,NaiveForecaster()
Y103,1990-01-01,4820.0,naive,NaiveForecaster()
Y103,1991-01-01,4820.0,naive,NaiveForecaster()
Y103,1992-01-01,4820.0,naive,NaiveForecaster()
Y103,1993-01-01,4820.0,naive,NaiveForecaster()
Y103,1994-01-01,4820.0,naive,NaiveForecaster()
Y104,1989-01-01,4635.9,naive,NaiveForecaster()
Y104,1990-01-01,4635.9,naive,NaiveForecaster()
Y104,1991-01-01,4635.9,naive,NaiveForecaster()
Y104,1992-01-01,4635.9,naive,NaiveForecaster()
Y104,1993-01-01,4635.9,naive,NaiveForecaster()
Y104,1994-01-01,4635.9,naive,NaiveForecaster()
Y105,1989-01-01,7279.2,naive,NaiveForecaster()
Y105,1990-01-01,7279.2,naive,NaiveForecaster()
Y105,1991-01-01,7279.2,naive,NaiveForecaster()
Y105,1992-01-01,7279.2,naive,NaiveForecaster()
Y105,1993-01-01,7279.2,naive,NaiveForecaster()
Y105,1994-01-01,7279.2,naive,NaiveForecaster()
Y106,1989-01-01,4872.4,naive,NaiveForecaster()
Y106,1990-01-01,4872.4,naive,NaiveForecaster()
Y106,1991-01-01,4872.4,naive,NaiveForecaster()
Y106,1992-01-01,4872.4,naive,NaiveForecaster()
Y106,1993-01-01,4872.4,naive,NaiveForecaster()
Y106,1994-01-01,4872.4,naive,NaiveForecaster()
Y107,1989-01-01,1404.1,naive,NaiveForecaster()
Y107,1990-01-01,1404.1,naive,NaiveForecaster()
Y107,1991-01-01,1404.1,naive,NaiveForecaster()
Y107,1992-01-01,1404.1,naive,NaiveForecaster()
Y107,1993-01-01,1404.1,naive,NaiveForecaster()
Y107,1994-01-01,1404.1,naive,NaiveForecaster()
Y108,1989-01-01,5432.72,naive,NaiveForecaster()
Y108,1990-01-01,5432.72,naive,NaiveForecaster()
Y108,1991-01-01,5432.72,naive,NaiveForecaster()
Y108,1992-01-01,5432.72,naive,NaiveForecaster()
Y108,1993-01-01,5432.72,naive,NaiveForecaster()
Y108,1994-01-01,5432.72,naive,NaiveForecaster()
Y109,1989-01-01,3650.0,naive,NaiveForecaster()
Y109,1990-01-01,3650.0,naive,NaiveForecaster()
Y109,1991-01-01,3650.0,naive,NaiveForecaster()
Y109,1992-01-01,3650.0,naive,NaiveForecaster()
Y109,1993-01-01,3650.0,naive,NaiveForecaster()
Y109,1994-01-01,3650.0,naive,NaiveForecaster()
Y11,1989-01-01,4941.4,naive,NaiveForecaster()
Y11,1990-01-01,4941.4,naive,NaiveForecaster()
Y11,1991-01-01,4941.4,naive,NaiveForecaster()
Y11,1992-01-01,4941.4,naive,NaiveForecaster()
Y11,1993-01-01,4941.4,naive,NaiveForecaster()
Y11,1994-01-01,4941.4,naive,NaiveForecaster()
Y110,1989-01-01,4899.25,naive,NaiveForecaster()
Y110,1990-01-01,4899.25,naive,NaiveForecaster()
Y110,1991-01-01,4899.25,naive,NaiveForecaster()
Y110,1992-01-01,4899.25,naive,NaiveForecaster()
Y110,1993-01-01,4899.25,naive,NaiveForecaster()
Y110,1994-01-01,4899.25,naive,NaiveForecaster()
Y111,1989-01-01,8378.0,naive,NaiveForecaster()
Y111,1990-01-01,8378.0,naive,NaiveForecaster()
Y111,1991-01-01,8378.0,naive,NaiveForecaster()
Y111,1992-01-01,8378.0,naive,NaiveForecaster()
Y111,1993-01-01,8378.0,naive,NaiveForecaster()
Y111,1994-01-01,8378.0,naive,NaiveForecaster()
Y112,1989-01-01,7686.95,naive,NaiveForecaster()
Y112,1990-01-01,7686.95,naive,NaiveForecaster()
Y112,1991-01-01,7686.95,naive,NaiveForecaster()
Y112,1992-01-01,7686.95,naive,NaiveForecaster()
Y112,1993-01-01,7686.95,naive,NaiveForecaster()
Y112,1994-01-01,7686.95,naive,NaiveForecaster()
Y113,1989-01-01,25052.3,naive,NaiveForecaster()
Y113,1990-01-01,25052.3,naive,NaiveForecaster()
Y113,1991-01-01,25052.3,naive,NaiveForecaster()
Y113,1992-01-01,25052.3,naive,NaiveForecaster()
Y113,1993-01-01,25052.3,naive,NaiveForecaster()
Y113,1994-01-01,25052.3,naive,NaiveForecaster()
Y114,1989-01-01,3867.3,naive,NaiveForecaster()
Y114,1990-01-01,3867.3,naive,NaiveForecaster()
Y114,1991-01-01,3867.3,naive,NaiveForecaster()
Y114,1992-01-01,3867.3,naive,NaiveForecaster()
Y114,1993-01-01,3867.3,naive,NaiveForecaster()
Y114,1994-01-01,3867.3,naive,NaiveForecaster()
Y115,1989-01-01,2465.1,naive,NaiveForecaster()
Y115,1990-01-01,2465.1,naive,NaiveForecaster()
Y115,1991-01-01,2465.1,naive,NaiveForecaster()
Y115,1992-01-01,2465.1,naive,NaiveForecaster()
Y115,1993-01-01,2465.1,naive,NaiveForecaster()
Y115,1994-01-01,2465.1,naive,NaiveForecaster()
Y116,1989-01-01,4936.0,naive,NaiveForecaster()
Y116,1990-01-01,4936.0,naive,NaiveForecaster()
Y116,1991-01-01,4936.0,naive,NaiveForecaster()
Y116,1992-01-01,4936.0,naive,NaiveForecaster()
Y116,1993-01-01,4936.0,naive,NaiveForecaster()
Y116,1994-01-01,4936.0,naive,NaiveForecaster()
Y117,1989-01-01,8543.3,naive,NaiveForecaster()
Y117,1990-01-01,8543.3,naive,NaiveForecaster()
Y117,1991-01-01,8543.3,naive,NaiveForecaster()
Y117,1992-01-01,8543.3,naive,NaiveForecaster()
Y117,1993-01-01,8543.3,naive,NaiveForecaster()
Y117,1994-01-01,8543.3,naive,NaiveForecaster()
Y118,1989-01-01,7728.2,naive,NaiveForecaster()
Y118,1990-01-01,7728.2,naive,NaiveForecaster()
Y118,1991-01-01,7728.2,naive,NaiveForecaster()
Y118,1992-01-01,7728.2,naive,NaiveForecaster()
Y118,1993-01-01,7728.2,naive,NaiveForecaster()
Y118,1994-01-01,7728.2,naive,NaiveForecaster()
Y119,1989-01-01,6883.56,naive,NaiveForecaster()
Y119,1990-01-01,6883.56,naive,NaiveForecaster()
Y119,1991-01-01,6883.56,naive,NaiveForecaster()
Y119,1992-01-01,6883.56,naive,NaiveForecaster()
Y119,1993-01-01,6883.56,naive,NaiveForecaster()
Y119,1994-01-01,6883.56,naive,NaiveForecaster()
Y12,1989-01-01,4915.5,naive,NaiveForecaster()
Y12,1990-01-01,4915.5,naive,NaiveForecaster()
Y12,1991-01-01,4915.5,naive,NaiveForecaster()
Y12,1992-01-01,4915.5,naive,NaiveForecaster()
Y12,1993-01-01,4915.5,naive,NaiveForecaster()
Y12,1994-01-01,4915.5,naive,NaiveForecaster()
Y120,1989-01-01,6595.35,naive,NaiveForecaster()
Y120,1990-01-01,6595.35,naive,NaiveForecaster()
Y120,1991-01-01,6595.35,naive,NaiveForecaster()
Y120,1992-01-01,6595.35,naive,NaiveForecaster()
Y120,1993-01-01,6595.35,naive,NaiveForecaster()
Y120,1994-01-01,6595.35,naive,NaiveForecaster()
Y121,1989-01-01,2891.88,naive,NaiveForecaster()
Y121,1990-01-01,2891.88,naive,NaiveForecaster()
Y121,1991-01-01,2891.88,naive,NaiveForecaster()
Y121,1992-01-01,2891.88,naive,NaiveForecaster()
Y121,1993-01-01,2891.88,naive,NaiveForecaster()
Y121,1994-01-01,2891.88,naive,NaiveForecaster()
Y122,1989-01-01,7906.9,naive,NaiveForecaster()
Y122,1990-01-01,7906.9,naive,NaiveForecaster()
Y122,1991-01-01,7906.9,naive,NaiveForecaster()
Y122,1992-01-01,7906.9,naive,NaiveForecaster()
Y122,1993-01-01,7906.9,naive,NaiveForecaster()
Y122,1994-01-01,7906.9,naive,NaiveForecaster()
