unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,4786.5427,polytrend,PolynomialTrendForecaster()
Y1,1990-01-01,5082.7826,polytrend,PolynomialTrendForecaster()
Y1,1991-01-01,5379.0225,polytrend,PolynomialTrendForecaster()
Y1,1992-01-01,5675.2624,polytrend,PolynomialTrendForecaster()
Y1,1993-01-01,5971.5023,polytrend,PolynomialTrendForecaster()
Y1,1994-01-01,6267.7422,polytrend,PolynomialTrendForecaster()
Y10,1989-01-01,10565.3993,polytrend,PolynomialTrendForecaster()
Y10,1990-01-01,11195.2993,polytrend,PolynomialTrendForecaster()
Y10,1991-01-01,11825.1992,polytrend,PolynomialTrendForecaster()
Y10,1992-01-01,12455.0991,polytrend,PolynomialTrendForecaster()
Y10,1993-01-01,13084.999,polytrend,PolynomialTrendForecaster()
Y10,1994-01-01,13714.8989,polytrend,PolynomialTrendForecaster()
Y100,1989-01-01,2578.9593,polytrend,PolynomialTrendForecaster()
Y100,1990-01-01,2644.0073,polytrend,PolynomialTrendForecaster()
Y100,1991-01-01,2709.0552,polytrend,PolynomialTrendForecaster()
Y100,1992-01-01,2774.1031,polytrend,PolynomialTrendForecaster()
Y100,1993-01-01,2839.151,polytrend,PolynomialTrendForecaster()
Y100,1994-01-01,2904.1989,polytrend,PolynomialTrendForecaster()
Y101,1989-01-01,6201.2637,polytrend,PolynomialTrendForecaster()
Y101,1990-01-01,6326.3275,polytrend,PolynomialTrendForecaster()
Y101,1991-01-01,6451.3912,polytrend,PolynomialTrendForecaster()
Y101,1992-01-01,6576.4549,polytrend,PolynomialTrendForecaster()
Y101,1993-01-01,6701.5187,polytrend,PolynomialTrendForecaster()
Y101,1994-01-01,6826.5824,polytrend,PolynomialTrendForecaster()
Y102,1989-01-01,1726.5945,polytrend,PolynomialTrendForecaster()
Y102,1990-01-01,1751.229,polytrend,PolynomialTrendForecaster()
Y102,1991-01-01,1775.8635,polytrend,PolynomialTrendForecaster()
Y102,1992-01-01,1800.498,polytrend,PolynomialTrendForecaster()
Y102,1993-01-01,1825.1325,polytrend,PolynomialTrendForecaster()
Y102,1994-01-01,1849.767,polytrend,PolynomialTrendForecaster()
Y103,1989-01-01,8997.1824,polytrend,PolynomialTrendForecaster()
Y103,1990-01-01,9548.8848,polytrend,PolynomialTrendForecaster()
Y103,1991-01-01,10100.5873,polytrend,PolynomialTrendForecaster()
Y103,1992-01-01,10652.2897,polytrend,PolynomialTrendForecaster()
Y103,1993-01-01,11203.9921,polytrend,PolynomialTrendForecaster()
Y103,1994-01-01,11755.6945,polytrend,PolynomialTrendForecaster()
Y104,1989-01-01,4144.0099,polytrend,PolynomialTrendForecaster()
Y104,1990-01-01,4301.0198,polytrend,PolynomialTrendForecaster()
Y104,1991-01-01,4458.0297,polytrend,PolynomialTrendForecaster()
Y104,1992-01-01,4615.0396,polytrend,PolynomialTrendForecaster()
Y104,1993-01-01,4772.0495,polytrend,PolynomialTrendForecaster()
Y104,1994-01-01,4929.0593,polytrend,PolynomialTrendForecaster()
Y105,1989-01-01,8268.7956,polytrend,PolynomialTrendForecaster()
Y105,1990-01-01,8612.9341,polytrend,PolynomialTrendForecaster()
Y105,1991-01-01,8957.0725,polytrend,PolynomialTrendForecaster()
Y105,1992-01-01,9301.211,polytrend,PolynomialTrendForecaster()
Y105,1993-01-01,9645.3495,polytrend,PolynomialTrendForecaster()
Y105,1994-01-01,9989.4879,polytrend,PolynomialTrendForecaster()
Y106,1989-01-01,4539.2308,polytrend,PolynomialTrendForecaster()
Y106,1990-01-01,4628.2244,polytrend,PolynomialTrendForecaster()
Y106,1991-01-01,4717.218,polytrend,PolynomialTrendForecaster()
Y106,1992-01-01,4806.2116,polytrend,PolynomialTrendForecaster()
Y106,1993-01-01,4895.2053,polytrend,PolynomialTrendForecaster()
Y106,1994-01-01,4984.1989,polytrend,PolynomialTrendForecaster()
Y107,1989-01-01,630.1308,polytrend,PolynomialTrendForecaster()
Y107,1990-01-01,354.2687,polytrend,PolynomialTrendForecaster()
Y107,1991-01-01,78.4066,polytrend,PolynomialTrendForecaster()
Y107,1992-01-01,-197.4555,polytrend,PolynomialTrendForecaster()
Y107,1993-01-01,-473.3176,polytrend,PolynomialTrendForecaster()
Y107,1994-01-01,-749.1797,polytrend,PolynomialTrendForecaster()
Y108,1989-01-01,6059.2,polytrend,PolynomialTrendForecaster()
Y108,1990-01-01,6294.4046,polytrend,PolynomialTrendForecaster()
Y108,1991-01-01,6529.6091,polytrend,PolynomialTrendForecaster()
Y108,1992-01-01,6764.8137,polytrend,PolynomialTrendForecaster()
Y108,1993-01-01,7000.0183,polytrend,PolynomialTrendForecaster()
Y108,1994-01-01,7235.2229,polytrend,PolynomialTrendForecaster()
Y109,1989-01-01,6791.2148,polytrend,PolynomialTrendForecaster()
Y109,1990-01-01,6978.5397,polytrend,PolynomialTrendForecaster()
Y109,1991-01-01,7165.8645,polytrend,PolynomialTrendForecaster()
Y109,1992-01-01,7353.1893,polytrend,PolynomialTrendForecaster()
Y109,1993-01-01,7540.5142,polytrend,PolynomialTrendForecaster()
Y109,1994-01-01,7727.839,polytrend,PolynomialTrendForecaster()
Y11,1989-01-01,4289.3958,polytrend,PolynomialTrendForecaster()
Y11,1990-01-01,4504.7465,polytrend,PolynomialTrendForecaster()
Y11,1991-01-01,4720.0972,polytrend,PolynomialTrendForecaster()
Y11,1992-01-01,4935.4479,polytrend,PolynomialTrendForecaster()
Y11,1993-01-01,5150.7985,polytrend,PolynomialTrendForecaster()
Y11,1994-01-01,5366.1492,polytrend,PolynomialTrendForecaster()
Y110,1989-01-01,5479.1462,polytrend,PolynomialTrendForecaster()
Y110,1990-01-01,5797.9023,polytrend,PolynomialTrendForecaster()
Y110,1991-01-01,6116.6585,polytrend,PolynomialTrendForecaster()
Y110,1992-01-01,6435.4146,polytrend,PolynomialTrendForecaster()
Y110,1993-01-01,6754.1708,polytrend,PolynomialTrendForecaster()
Y110,1994-01-01,7072.9269,polytrend,PolynomialTrendForecaster()
Y111,1989-01-01,9427.0637,polytrend,PolynomialTrendForecaster()
Y111,1990-01-01,9660.1046,polytrend,PolynomialTrendForecaster()
Y111,1991-01-01,9893.1455,polytrend,PolynomialTrendForecaster()
Y111,1992-01-01,10126.1864,polytrend,PolynomialTrendForecaster()
Y111,1993-01-01,10359.2273,polytrend,PolynomialTrendForecaster()
Y111,1994-01-01,10592.2681,polytrend,PolynomialTrendForecaster()
Y112,1989-01-01,7487.278,polytrend,PolynomialTrendForecaster()
Y112,1990-01-01,7913.1375,polytrend,PolynomialTrendForecaster()
Y112,1991-01-01,8338.9969,polytrend,PolynomialTrendForecaster()
Y112,1992-01-01,8764.8564,polytrend,PolynomialTrendForecaster()
Y112,1993-01-01,9190.7158,polytrend,PolynomialTrendForecaster()
Y112,1994-01-01,9616.5753,polytrend,PolynomialTrendForecaster()
Y113,1989-01-01,14392.9621,polytrend,PolynomialTrendForecaster()
Y113,1990-01-01,15551.3913,polytrend,PolynomialTrendForecaster()
Y113,1991-01-01,16709.8205,polytrend,PolynomialTrendForecaster()
Y113,1992-01-01,17868.2498,polytrend,PolynomialTrendForecaster()
Y113,1993-01-01,19026.679,polytrend,PolynomialTrendForecaster()
Y113,1994-01-01,20185.1082,polytrend,PolynomialTrendForecaster()
Y114,1989-01-01,2891.989,polytrend,PolynomialTrendForecaster()
Y114,1990-01-01,3079.9323,polytrend,PolynomialTrendForecaster()
Y114,1991-01-01,3267.8756,polytrend,PolynomialTrendForecaster()
Y114,1992-01-01,3455.8189,polytrend,PolynomialTrendForecaster()
Y114,1993-01-01,3643.7622,polytrend,PolynomialTrendForecaster()
Y114,1994-01-01,3831.7055,polytrend,PolynomialTrendForecaster()
Y115,1989-01-01,2246.4398,polytrend,PolynomialTrendForecaster()
Y115,1990-01-01,2412.4796,polytrend,PolynomialTrendForecaster()
Y115,1991-01-01,2578.5193,polytrend,PolynomialTrendForecaster()
Y115,1992-01-01,2744.5591,polytrend,PolynomialTrendForecaster()
Y115,1993-01-01,2910.5989,polytrend,PolynomialTrendForecaster()
Y115,1994-01-01,3076.6387,polytrend,PolynomialTrendForecaster()
Y116,1989-01-01,6040.2143,polytrend,PolynomialTrendForecaster()
Y116,1990-01-01,6305.7817,polytrend,PolynomialTrendForecaster()
Y116,1991-01-01,6571.3491,polytrend,PolynomialTrendForecaster()
Y116,1992-01-01,6836.9166,polytrend,PolynomialTrendForecaster()
Y116,1993-01-01,7102.484,polytrend,PolynomialTrendForecaster()
Y116,1994-01-01,7368.0514,polytrend,PolynomialTrendForecaster()
Y117,1989-01-01,7259.4198,polytrend,PolynomialTrendForecaster()
Y117,1990-01-01,7667.7424,polytrend,PolynomialTrendForecaster()
Y117,1991-01-01,8076.0651,polytrend,PolynomialTrendForecaster()
Y117,1992-01-01,8484.3877,polytrend,PolynomialTrendForecaster()
Y117,1993-01-01,8892.7103,polytrend,PolynomialTrendForecaster()
Y117,1994-01-01,9301.033,polytrend,PolynomialTrendForecaster()
Y118,1989-01-01,4433.2764,polytrend,PolynomialTrendForecaster()
Y118,1990-01-01,4300.2799,polytrend,PolynomialTrendForecaster()
Y118,1991-01-01,4167.2834,polytrend,PolynomialTrendForecaster()
Y118,1992-01-01,4034.2869,polytrend,PolynomialTrendForecaster()
Y118,1993-01-01,3901.2904,polytrend,PolynomialTrendForecaster()
Y118,1994-01-01,3768.294,polytrend,PolynomialTrendForecaster()
Y119,1989-01-01,6417.2782,polytrend,PolynomialTrendForecaster()
Y119,1990-01-01,6490.3473,polytrend,PolynomialTrendForecaster()
Y119,1991-01-01,6563.4164,polytrend,PolynomialTrendForecaster()
Y119,1992-01-01,6636.4855,polytrend,PolynomialTrendForecaster()
Y119,1993-01-01,6709.5546,polytrend,PolynomialTrendForecaster()
Y119,1994-01-01,6782.6237,polytrend,PolynomialTrendForecaster()
Y12,1989-01-01,4649.3534,polytrend,PolynomialTrendForecaster()
Y12,1990-01-01,4979.9585,polytrend,PolynomialTrendForecaster()
Y12,1991-01-01,5310.5636,polytrend,PolynomialTrendForecaster()
Y12,1992-01-01,5641.1688,polytrend,PolynomialTrendForecaster()
Y12,1993-01-01,5971.7739,polytrend,PolynomialTrendForecaster()
Y12,1994-01-01,6302.379,polytrend,PolynomialTrendForecaster()
Y120,1989-01-01,5224.528,polytrend,PolynomialTrendForecaster()
Y120,1990-01-01,5615.4103,polytrend,PolynomialTrendForecaster()
Y120,1991-01-01,6006.2926,polytrend,PolynomialTrendForecaster()
Y120,1992-01-01,6397.1749,polytrend,PolynomialTrendForecaster()
Y120,1993-01-01,6788.0573,polytrend,PolynomialTrendForecaster()
Y120,1994-01-01,7178.9396,polytrend,PolynomialTrendForecaster()
Y121,1989-01-01,2827.8371,polytrend,PolynomialTrendForecaster()
Y121,1990-01-01,2891.348,polytrend,PolynomialTrendForecaster()
Y121,1991-01-01,2954.8589,polytrend,PolynomialTrendForecaster()
Y121,1992-01-01,3018.3697,polytrend,PolynomialTrendForecaster()
Y121,1993-01-01,3081.8806,polytrend,PolynomialTrendForecaster()
Y121,1994-01-01,3145.3914,polytrend,PolynomialTrendForecaster()
Y122,1989-01-01,9016.1527,polytrend,PolynomialTrendForecaster()
Y122,1990-01-01,9580.4355,polytrend,PolynomialTrendForecaster()
Y122,1991-01-01,10144.7182,polytrend,PolynomialTrendForecaster()
Y122,1992-01-01,10709.001,polytrend,PolynomialTrendForecaster()
Y122,1993-01-01,11273.2837,polytrend,PolynomialTrendForecaster()
Y122,1994-01-01,11837.5665,polytrend,PolynomialTrendForecaster()
Y123,1989-01-01,5073.4385,polytrend,PolynomialTrendForecaster()
Y123,1990-01-01,5314.1584,polytrend,PolynomialTrendForecaster()
Y123,1991-01-01,5554.8782,polytrend,PolynomialTrendForecaster()
Y123,1992-01-01,5795.5981,polytrend,PolynomialTrendForecaster()
Y123,1993-01-01,6036.318,polytrend,PolynomialTrendForecaster()
Y123,1994-01-01,6277.0379,polytrend,PolynomialTrendForecaster()
Y124,1989-01-01,5684.0584,polytrend,PolynomialTrendForecaster()
Y124,1990-01-01,6010.8093,polytrend,PolynomialTrendForecaster()
Y124,1991-01-01,6337.5602,polytrend,PolynomialTrendForecaster()
Y124,1992-01-01,6664.3111,polytrend,PolynomialTrendForecaster()
Y124,1993-01-01,6991.062,polytrend,PolynomialTrendForecaster()
Y124,1994-01-01,7317.813,polytrend,PolynomialTrendForecaster()
Y125,1989-01-01,3794.8659,polytrend,PolynomialTrendForecaster()
Y125,1990-01-01,3797.5033,polytrend,PolynomialTrendForecaster()
Y125,1991-01-01,3800.1407,polytrend,PolynomialTrendForecaster()
Y125,1992-01-01,3802.778,polytrend,PolynomialTrendForecaster()
Y125,1993-01-01,3805.4154,polytrend,PolynomialTrendForecaster()
Y125,1994-01-01,3808.0527,polytrend,PolynomialTrendForecaster()
Y126,1989-01-01,4092.9264,polytrend,PolynomialTrendForecaster()
Y126,1990-01-01,4314.4613,polytrend,PolynomialTrendForecaster()
Y126,1991-01-01,4535.9963,polytrend,PolynomialTrendForecaster()
Y126,1992-01-01,4757.5312,polytrend,PolynomialTrendForecaster()
Y126,1993-01-01,4979.0662,polytrend,PolynomialTrendForecaster()
Y126,1994-01-01,5200.6011,polytrend,PolynomialTrendForecaster()
Y127,1989-01-01,5352.2179,polytrend,PolynomialTrendForecaster()
Y127,1990-01-01,5515.3135,polytrend,PolynomialTrendForecaster()
Y127,1991-01-01,5678.4092,polytrend,PolynomialTrendForecaster()
Y127,1992-01-01,5841.5048,polytrend,PolynomialTrendForecaster()
Y127,1993-01-01,6004.6004,polytrend,PolynomialTrendForecaster()
Y127,1994-01-01,6167.696,polytrend,PolynomialTrendForecaster()
Y128,1989-01-01,5815.7637,polytrend,PolynomialTrendForecaster()
Y128,1990-01-01,6108.6703,polytrend,PolynomialTrendForecaster()
Y128,1991-01-01,6401.5769,polytrend,PolynomialTrendForecaster()
Y128,1992-01-01,6694.4835,polytrend,PolynomialTrendForecaster()
Y128,1993-01-01,6987.3901,polytrend,PolynomialTrendForecaster()
Y128,1994-01-01,7280.2967,polytrend,PolynomialTrendForecaster()
Y129,1989-01-01,3950.3077,polytrend,PolynomialTrendForecaster()
Y129,1990-01-01,3907.5297,polytrend,PolynomialTrendForecaster()
Y129,1991-01-01,3864.7516,polytrend,PolynomialTrendForecaster()
Y129,1992-01-01,3821.9736,polytrend,PolynomialTrendForecaster()
Y129,1993-01-01,3779.1956,polytrend,PolynomialTrendForecaster()
Y129,1994-01-01,3736.4176,polytrend,PolynomialTrendForecaster()
Y13,1989-01-01,6206.1746,polytrend,PolynomialTrendForecaster()
Y13,1990-01-01,6572.9209,polytrend,PolynomialTrendForecaster()
Y13,1991-01-01,6939.6673,polytrend,PolynomialTrendForecaster()
Y13,1992-01-01,7306.4136,polytrend,PolynomialTrendForecaster()
Y13,1993-01-01,7673.1599,polytrend,PolynomialTrendForecaster()
Y13,1994-01-01,8039.9063,polytrend,PolynomialTrendForecaster()
Y130,1989-01-01,3943.9686,polytrend,PolynomialTrendForecaster()
Y130,1990-01-01,4049.144,polytrend,PolynomialTrendForecaster()
Y130,1991-01-01,4154.3194,polytrend,PolynomialTrendForecaster()
Y130,1992-01-01,4259.4949,polytrend,PolynomialTrendForecaster()
Y130,1993-01-01,4364.6703,polytrend,PolynomialTrendForecaster()
Y130,1994-01-01,4469.8457,polytrend,PolynomialTrendForecaster()
Y131,1989-01-01,3212.4646,polytrend,PolynomialTrendForecaster()
Y131,1990-01-01,3444.5418,polytrend,PolynomialTrendForecaster()
Y131,1991-01-01,3676.619,polytrend,PolynomialTrendForecaster()
Y131,1992-01-01,3908.6962,polytrend,PolynomialTrendForecaster()
Y131,1993-01-01,4140.7734,polytrend,PolynomialTrendForecaster()
Y131,1994-01-01,4372.8505,polytrend,PolynomialTrendForecaster()
Y132,1989-01-01,7894.3692,polytrend,PolynomialTrendForecaster()
Y132,1990-01-01,8320.907,polytrend,PolynomialTrendForecaster()
Y132,1991-01-01,8747.4448,polytrend,PolynomialTrendForecaster()
Y132,1992-01-01,9173.9826,polytrend,PolynomialTrendForecaster()
Y132,1993-01-01,9600.5204,polytrend,PolynomialTrendForecaster()
Y132,1994-01-01,10027.0582,polytrend,PolynomialTrendForecaster()
Y133,1989-01-01,8224.5396,polytrend,PolynomialTrendForecaster()
Y133,1990-01-01,8560.0305,polytrend,PolynomialTrendForecaster()
Y133,1991-01-01,8895.5215,polytrend,PolynomialTrendForecaster()
Y133,1992-01-01,9231.0125,polytrend,PolynomialTrendForecaster()
