unique_id,ds,y_pred,model_name,model
Y1,1989-01-01,5231.2141,theta,ThetaForecaster()
Y1,1990-01-01,5379.334,theta,ThetaForecaster()
Y1,1991-01-01,5527.454,theta,ThetaForecaster()
Y1,1992-01-01,5675.5739,theta,ThetaForecaster()
Y1,1993-01-01,5823.6939,theta,ThetaForecaster()
Y1,1994-01-01,5971.8138,theta,ThetaForecaster()
Y10,1989-01-01,10181.1668,theta,ThetaForecaster()
Y10,1990-01-01,10496.1167,theta,ThetaForecaster()
Y10,1991-01-01,10811.0667,theta,ThetaForecaster()
Y10,1992-01-01,11126.0167,theta,ThetaForecaster()
Y10,1993-01-01,11440.9666,theta,ThetaForecaster()
Y10,1994-01-01,11755.9166,theta,ThetaForecaster()
Y100,1989-01-01,2544.6753,theta,ThetaForecaster()
Y100,1990-01-01,2577.1992,theta,ThetaForecaster()
Y100,1991-01-01,2609.7232,theta,ThetaForecaster()
Y100,1992-01-01,2642.2472,theta,ThetaForecaster()
Y100,1993-01-01,2674.7711,theta,ThetaForecaster()
Y100,1994-01-01,2707.2951,theta,ThetaForecaster()
Y101,1989-01-01,5849.6099,theta,ThetaForecaster()
Y101,1990-01-01,5912.1418,theta,ThetaForecaster()
Y101,1991-01-01,5974.6736,theta,ThetaForecaster()
Y101,1992-01-01,6037.2055,theta,ThetaForecaster()
Y101,1993-01-01,6099.7374,theta,ThetaForecaster()
Y101,1994-01-01,6162.2692,theta,ThetaForecaster()
Y102,1989-01-01,2154.3023,theta,ThetaForecaster()
Y102,1990-01-01,2166.6196,theta,ThetaForecaster()
Y102,1991-01-01,2178.9368,theta,ThetaForecaster()
Y102,1992-01-01,2191.2541,theta,ThetaForecaster()
Y102,1993-01-01,2203.5713,theta,ThetaForecaster()
Y102,1994-01-01,2215.8886,theta,ThetaForecaster()
Y103,1989-01-01,5659.0379,theta,ThetaForecaster()
Y103,1990-01-01,5934.8891,theta,ThetaForecaster()
Y103,1991-01-01,6210.7403,theta,ThetaForecaster()
Y103,1992-01-01,6486.5915,theta,ThetaForecaster()
Y103,1993-01-01,6762.4427,theta,ThetaForecaster()
Y103,1994-01-01,7038.2939,theta,ThetaForecaster()
Y104,1989-01-01,4763.1858,theta,ThetaForecaster()
Y104,1990-01-01,4841.6908,theta,ThetaForecaster()
Y104,1991-01-01,4920.1957,theta,ThetaForecaster()
Y104,1992-01-01,4998.7007,theta,ThetaForecaster()
Y104,1993-01-01,5077.2056,theta,ThetaForecaster()
Y104,1994-01-01,5155.7105,theta,ThetaForecaster()
Y105,1989-01-01,7624.1136,theta,ThetaForecaster()
Y105,1990-01-01,7796.1828,theta,ThetaForecaster()
Y105,1991-01-01,7968.252,theta,ThetaForecaster()
Y105,1992-01-01,8140.3213,theta,ThetaForecaster()
Y105,1993-01-01,8312.3905,theta,ThetaForecaster()
Y105,1994-01-01,8484.4597,theta,ThetaForecaster()
Y106,1989-01-01,4524.6609,theta,ThetaForecaster()
Y106,1990-01-01,4569.1578,theta,ThetaForecaster()
Y106,1991-01-01,4613.6546,theta,ThetaForecaster()
Y106,1992-01-01,4658.1514,theta,ThetaForecaster()
Y106,1993-01-01,4702.6482,theta,ThetaForecaster()
Y106,1994-01-01,4747.145,theta,ThetaForecaster()
Y107,1989-01-01,1070.5945,theta,ThetaForecaster()
Y107,1990-01-01,932.6635,theta,ThetaForecaster()
Y107,1991-01-01,794.7325,theta,ThetaForecaster()
Y107,1992-01-01,656.8014,theta,ThetaForecaster()
Y107,1993-01-01,518.8704,theta,ThetaForecaster()
Y107,1994-01-01,380.9393,theta,ThetaForecaster()
Y108,1989-01-01,5637.5945,theta,ThetaForecaster()
Y108,1990-01-01,5755.1968,theta,ThetaForecaster()
Y108,1991-01-01,5872.799,theta,ThetaForecaster()
Y108,1992-01-01,5990.4013,theta,ThetaForecaster()
Y108,1993-01-01,6108.0036,theta,ThetaForecaster()
Y108,1994-01-01,6225.6059,theta,ThetaForecaster()
Y109,1989-01-01,3938.3093,theta,ThetaForecaster()
Y109,1990-01-01,4031.9717,theta,ThetaForecaster()
Y109,1991-01-01,4125.6341,theta,ThetaForecaster()
Y109,1992-01-01,4219.2965,theta,ThetaForecaster()
Y109,1993-01-01,4312.959,theta,ThetaForecaster()
Y109,1994-01-01,4406.6214,theta,ThetaForecaster()
Y11,1989-01-01,5152.2319,theta,ThetaForecaster()
Y11,1990-01-01,5259.9073,theta,ThetaForecaster()
Y11,1991-01-01,5367.5826,theta,ThetaForecaster()
Y11,1992-01-01,5475.2579,theta,ThetaForecaster()
Y11,1993-01-01,5582.9333,theta,ThetaForecaster()
Y11,1994-01-01,5690.6086,theta,ThetaForecaster()
Y110,1989-01-01,5218.0062,theta,ThetaForecaster()
Y110,1990-01-01,5377.3842,theta,ThetaForecaster()
Y110,1991-01-01,5536.7623,theta,ThetaForecaster()
Y110,1992-01-01,5696.1404,theta,ThetaForecaster()
Y110,1993-01-01,5855.5185,theta,ThetaForecaster()
Y110,1994-01-01,6014.8965,theta,ThetaForecaster()
Y111,1989-01-01,8581.5212,theta,ThetaForecaster()
Y111,1990-01-01,8698.0416,theta,ThetaForecaster()
Y111,1991-01-01,8814.562,theta,ThetaForecaster()
Y111,1992-01-01,8931.0825,theta,ThetaForecaster()
Y111,1993-01-01,9047.6029,theta,ThetaForecaster()
Y111,1994-01-01,9164.1234,theta,ThetaForecaster()
Y112,1989-01-01,8111.8389,theta,ThetaForecaster()
Y112,1990-01-01,8324.7686,theta,ThetaForecaster()
Y112,1991-01-01,8537.6984,theta,ThetaForecaster()
Y112,1992-01-01,8750.6281,theta,ThetaForecaster()
Y112,1993-01-01,8963.5578,theta,ThetaForecaster()
Y112,1994-01-01,9176.4875,theta,ThetaForecaster()
Y113,1989-01-01,26166.0993,theta,ThetaForecaster()
Y113,1990-01-01,26745.3139,theta,ThetaForecaster()
Y113,1991-01-01,27324.5286,theta,ThetaForecaster()
Y113,1992-01-01,27903.7432,theta,ThetaForecaster()
Y113,1993-01-01,28482.9578,theta,ThetaForecaster()
Y113,1994-01-01,29062.1724,theta,ThetaForecaster()
Y114,1989-01-01,4050.4937,theta,ThetaForecaster()
Y114,1990-01-01,4144.4654,theta,ThetaForecaster()
Y114,1991-01-01,4238.437,theta,ThetaForecaster()
Y114,1992-01-01,4332.4087,theta,ThetaForecaster()
Y114,1993-01-01,4426.3803,theta,ThetaForecaster()
Y114,1994-01-01,4520.352,theta,ThetaForecaster()
Y115,1989-01-01,2629.0577,theta,ThetaForecaster()
Y115,1990-01-01,2712.0776,theta,ThetaForecaster()
Y115,1991-01-01,2795.0975,theta,ThetaForecaster()
Y115,1992-01-01,2878.1174,theta,ThetaForecaster()
Y115,1993-01-01,2961.1373,theta,ThetaForecaster()
Y115,1994-01-01,3044.1572,theta,ThetaForecaster()
Y116,1989-01-01,5165.5661,theta,ThetaForecaster()
Y116,1990-01-01,5298.3498,theta,ThetaForecaster()
Y116,1991-01-01,5431.1336,theta,ThetaForecaster()
