dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,no_model_per,primary_model_per,run_date,smape,time
M3,Monthly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.6041,0.0,100.0,2023-05-20,18.2359,15.2167
M3,Monthly,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.1468,0.0,100.0,2023-05-20,18.008,16.5667
M3,Monthly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.5843,0.0,100.0,2023-05-20,18.246,16.4833
M3,Monthly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.116,0.0,100.0,2023-05-20,17.991,17.1
M3,Other,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.4747,0.0,100.0,2023-05-20,6.7005,1.8167
M3,Other,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.4179,0.0,100.0,2023-05-20,6.6644,1.7833
M3,Other,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.529,0.0,100.0,2023-05-20,6.7275,1.8333
M3,Other,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.4837,0.0,100.0,2023-05-20,6.701,1.7833
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6724,0.0,100.0,2023-05-20,10.3354,7.1167
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6615,0.0,100.0,2023-05-20,10.3226,6.85
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6724,0.0,100.0,2023-05-20,10.3354,6.9167
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6615,0.0,100.0,2023-05-20,10.3226,6.8833
M3,Yearly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3429,0.0,100.0,2023-05-20,19.1981,5.45
M3,Yearly,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3434,0.0,100.0,2023-05-20,19.1987,4.9667
M3,Yearly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3429,0.0,100.0,2023-05-20,19.1981,4.8333
M3,Yearly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3434,0.0,100.0,2023-05-20,19.1987,5.5667
