dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,no_model_per,primary_model_per,smape
M3,Monthly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.6041,0.0,100.0,18.2359
M3,Monthly,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.1468,0.0,100.0,18.008
M3,Monthly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.5843,0.0,100.0,18.246
M3,Monthly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,1428.0,25.116,0.0,100.0,17.991
M3,Other,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.4747,0.0,100.0,6.7005
M3,Other,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.4179,0.0,100.0,6.6644
M3,Other,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.529,0.0,100.0,6.7275
M3,Other,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,174.0,7.4837,0.0,100.0,6.701
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6724,0.0,100.0,10.3354
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6615,0.0,100.0,10.3226
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6724,0.0,100.0,10.3354
M3,Quarterly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,756.0,12.6615,0.0,100.0,10.3226
M3,Yearly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3429,0.0,100.0,19.1981
M3,Yearly,pycaret,3.0.2,arima_ens_freq_3_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3434,0.0,100.0,19.1987
M3,Yearly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3429,0.0,100.0,19.1981
M3,Yearly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,645.0,21.3434,0.0,100.0,19.1987
