unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
M1,68,50,18,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.4285
M10,68,50,18,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.2689
M100,69,51,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8973
M1000,134,116,18,True,No,1,0,True,"[16, 18]","[16, 18]",[16],16,"[16, 18]",[16],16,2.7486
M1001,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.8992
M1002,134,116,18,True,No,1,0,True,"[3, 2, 4]","[3, 2, 4]",[3],3,"[3, 4]",[3],3,2.63
M1003,134,116,18,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.62
M1004,134,116,18,True,No,2,0,True,[6],[6],[6],6,[6],[6],6,3.1077
M1005,134,116,18,True,No,1,0,True,"[2, 8, 3]","[2, 8, 3]",[2],2,"[8, 3]",[8],8,2.0894
M1006,134,116,18,True,No,1,0,True,"[3, 2, 4, 6]","[3, 2, 4, 6]",[3],3,"[6, 4]",[6],6,2.0435
M1007,134,116,18,True,No,1,0,True,"[4, 3, 2]","[4, 3, 2]",[4],4,"[4, 3]",[4],4,1.9169
M1008,134,116,18,True,No,1,0,True,"[2, 4, 3, 5, 6]","[2, 4, 3, 5, 6]",[2],2,"[6, 4, 5]",[6],6,2.2061
M1009,134,116,18,True,No,2,0,True,"[3, 10]","[3, 10]",[3],3,"[3, 10]",[3],3,2.1373
M101,69,51,18,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,1.9817
M1010,134,116,18,True,No,1,1,True,"[12, 6, 24, 18, 3, 9, 36]","[12, 6, 24, 18, 3, 9, 36]",[12],12,"[36, 24]",[36],36,2.1652
M1011,134,116,18,True,No,1,0,True,"[12, 6, 24, 3, 18, 9, 36]","[12, 6, 24, 3, 18, 9, 36]",[12],12,"[36, 24]",[36],36,2.1193
M1012,134,116,18,True,No,1,1,True,"[12, 24, 6, 36, 18, 3]","[12, 24, 6, 36, 18, 3]",[12],12,"[36, 24]",[36],36,2.232
M1013,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9957
M1014,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1822
M1015,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1114
M1016,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.258
M1017,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1881
M1018,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0794
M1019,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0096
M102,69,51,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9358
M1020,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0316
M1021,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1822
M1022,134,116,18,True,No,1,0,True,[15],[15],[15],15,[15],[15],15,2.0655
M1023,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0585
M1024,134,116,18,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.0914
M1025,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0964
M1026,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1393
M1027,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9578
