unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
M1,68,50,18,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.983
M10,68,50,18,True,No,0,0,False,[],[1],[1],1,[1],[1],1,3.7061
M100,69,51,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.9135
M1000,134,116,18,True,No,1,0,True,"[16, 18]","[16, 18]",[16],16,"[16, 18]",[16],16,3.0997
M1001,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.9202
M1002,134,116,18,True,No,1,0,True,"[3, 2, 4]","[3, 2, 4]",[3],3,"[3, 4]",[3],3,2.7816
M1003,134,116,18,True,No,2,0,False,[],[1],[1],1,[1],[1],1,3.3022
M1004,134,116,18,True,No,2,0,True,[6],[6],[6],6,[6],[6],6,4.4182
M1005,134,116,18,True,No,1,0,True,"[2, 8, 3]","[2, 8, 3]",[2],2,"[8, 3]",[8],8,2.2869
M1006,134,116,18,True,No,1,0,True,"[3, 2, 4, 6]","[3, 2, 4, 6]",[3],3,"[6, 4]",[6],6,2.3727
M1007,134,116,18,True,No,1,0,True,"[4, 3, 2]","[4, 3, 2]",[4],4,"[4, 3]",[4],4,2.3387
M1008,134,116,18,True,No,1,0,True,"[2, 4, 3, 5, 6]","[2, 4, 3, 5, 6]",[2],2,"[6, 4, 5]",[6],6,2.3088
M1009,134,116,18,True,No,2,0,True,"[3, 10]","[3, 10]",[3],3,"[3, 10]",[3],3,2.599
M101,69,51,18,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.5701
M1010,134,116,18,True,No,1,1,True,"[12, 6, 24, 18, 3, 9, 36]","[12, 6, 24, 18, 3, 9, 36]",[12],12,"[36, 24]",[36],36,2.5143
M1011,134,116,18,True,No,1,0,True,"[12, 6, 24, 3, 18, 9, 36]","[12, 6, 24, 3, 18, 9, 36]",[12],12,"[36, 24]",[36],36,2.2819
M1012,134,116,18,True,No,1,1,True,"[12, 24, 6, 36, 18, 3]","[12, 24, 6, 36, 18, 3]",[12],12,"[36, 24]",[36],36,2.2809
M1013,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2819
M1014,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4215
M1015,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.6589
M1016,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.607
M1017,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3667
M1018,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5522
M1019,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5033
M102,69,51,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2659
M1020,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5911
M1021,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3367
M1022,134,116,18,True,No,1,0,True,[15],[15],[15],15,[15],[15],15,2.5931
