unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
M1,68,50,18,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,3.8347
M1003,134,116,18,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,3.9544
M100,69,51,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.9006
M10,68,50,18,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,3.9654
M1002,134,116,18,True,No,1,0,True,mul,"[3, 2, 4]","[3, 2, 4]",[3],3,"[3, 4]",[3],3,8.4025
M1001,134,116,18,True,No,1,0,True,mul,[3],[3],[3],3,[3],[3],3,8.1572
M1004,134,116,18,True,No,2,0,True,mul,[6],[6],[6],6,[6],[6],6,7.6994
M1000,134,116,18,True,No,1,0,True,mul,"[16, 18]","[16, 18]",[16],16,"[16, 18]",[16],16,9.0398
M1005,134,116,18,True,No,1,0,True,mul,"[2, 8, 3]","[2, 8, 3]",[2],2,"[8, 3]",[8],8,5.9421
M1006,134,116,18,True,No,1,0,True,mul,"[3, 2, 4, 6]","[3, 2, 4, 6]",[3],3,"[6, 4]",[6],6,6.4458
M101,69,51,18,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,1.9877
M1009,134,116,18,True,No,2,0,True,mul,"[3, 10]","[3, 10]",[3],3,"[3, 10]",[3],3,2.5851
M1010,134,116,18,True,No,1,1,True,mul,"[12, 6, 24, 18, 3, 9, 36]","[12, 6, 24, 18, 3, 9, 36]",[12],12,"[36, 24]",[36],36,2.7606
M1011,134,116,18,True,No,1,0,True,mul,"[12, 6, 24, 3, 18, 9, 36]","[12, 6, 24, 3, 18, 9, 36]",[12],12,"[36, 24]",[36],36,2.8883
M1007,134,116,18,True,No,1,0,True,mul,"[4, 3, 2]","[4, 3, 2]",[4],4,"[4, 3]",[4],4,7.7144
M1012,134,116,18,True,No,1,1,True,mul,"[12, 24, 6, 36, 18, 3]","[12, 24, 6, 36, 18, 3]",[12],12,"[36, 24]",[36],36,2.9651
M1014,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1921
M1013,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.612
