unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
M1002,134,116,18,True,No,1,0,True,add,"[3, 2, 4]","[3, 2, 4]",[3],3,"[3, 4]",[3],3,2.8853
M100,69,51,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.8035
M1,68,50,18,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.8215
M1004,134,116,18,True,No,2,0,True,mul,[6],[6],[6],6,[6],[6],6,2.9511
M1001,134,116,18,True,No,1,0,True,add,[3],[3],[3],3,[3],[3],3,2.8653
M1000,134,116,18,True,No,1,0,True,mul,"[16, 18]","[16, 18]",[16],16,"[16, 18]",[16],16,3.0319
M1003,134,116,18,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,3.1506
M1006,134,116,18,True,No,1,0,True,add,"[3, 2, 4, 6]","[3, 2, 4, 6]",[3],3,"[6, 4]",[6],6,1.9368
M1005,134,116,18,True,No,1,0,True,add,"[2, 8, 3]","[2, 8, 3]",[2],2,"[8, 3]",[8],8,2.0505
M1007,134,116,18,True,No,1,0,True,add,"[4, 3, 2]","[4, 3, 2]",[4],4,"[4, 3]",[4],4,1.9737
M1008,134,116,18,True,No,1,0,True,add,"[2, 4, 3, 5, 6]","[2, 4, 3, 5, 6]",[2],2,"[6, 4, 5]",[6],6,1.9189
M1009,134,116,18,True,No,2,0,True,mul,"[3, 10]","[3, 10]",[3],3,"[3, 10]",[3],3,1.9219
M10,68,50,18,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,4.2417
M101,69,51,18,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,1.9298
M1010,134,116,18,True,No,1,1,True,mul,"[12, 6, 24, 18, 3, 9, 36]","[12, 6, 24, 18, 3, 9, 36]",[12],12,"[36, 24]",[36],36,2.0675
M1011,134,116,18,True,No,1,0,True,mul,"[12, 6, 24, 3, 18, 9, 36]","[12, 6, 24, 3, 18, 9, 36]",[12],12,"[36, 24]",[36],36,1.8201
M1012,134,116,18,True,No,1,1,True,mul,"[12, 24, 6, 36, 18, 3]","[12, 24, 6, 36, 18, 3]",[12],12,"[36, 24]",[36],36,1.8142
M1013,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9697
M1014,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9318
M1015,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.875
M1016,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9099
M1017,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9139
M1018,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9149
M102,69,51,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9169
M1019,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0954
M1020,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9059
M1021,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0625
M1022,134,116,18,True,No,1,0,True,mul,[15],[15],[15],15,[15],[15],15,1.9209
M1023,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0884
M1024,134,116,18,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0974
M1025,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1094
M1026,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0016
M1027,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0096
M1028,134,116,18,True,No,1,0,True,mul,[7],[7],[7],7,[7],[7],7,1.9538
M1029,134,116,18,True,No,1,0,True,add,[3],[3],[3],3,[3],[3],3,1.9328
M103,69,51,18,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.0136
M1030,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8909
M1031,134,116,18,True,No,1,0,True,add,[3],[3],[3],3,[3],[3],3,1.9448
M1032,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9588
M1033,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1004
M1034,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1134
M1035,134,116,18,True,Maybe,1,0,False,,[],[1],[1],1,[1],[1],1,2.0994
M1036,86,68,18,True,No,1,0,True,mul,[12],[12],[12],12,[12],[12],12,2.2061
M1038,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0076
M1037,134,116,18,True,No,1,0,True,mul,"[2, 3]","[2, 3]",[2],2,"[2, 3]",[2],2,2.2001
M1039,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1672
M104,69,51,18,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,2.0216
M1040,134,116,18,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.875
M1041,134,116,18,True,No,1,0,True,add,"[3, 2, 4]","[3, 2, 4]",[3],3,"[3, 4]",[3],3,1.9558
M1042,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9578
M1044,134,116,18,True,No,1,0,True,add,"[3, 2]","[3, 2]",[3],3,"[3, 2]",[3],3,1.9917
M1045,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8022
M1043,134,116,18,True,No,1,0,True,mul,[15],[15],[15],15,[15],[15],15,2.0595
M1046,134,116,18,True,No,1,0,True,add,"[2, 3, 4]","[2, 3, 4]",[2],2,"[4, 3]",[4],4,1.8979
M1047,134,116,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9338
M1048,142,124,18,True,No,1,0,True,mul,"[12, 3]","[12, 3]",[12],12,[12],[12],12,2.0455
M1049,142,124,18,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9348
M105,69,51,18,True,No,0,0,True,mul,[12],[12],[12],12,[12],[12],12,1.9797
M1052,133,115,18,True,No,1,0,True,mul,"[12, 5, 14]","[12, 5, 14]",[12],12,"[12, 5, 14]",[12],12,1.856
M1051,133,115,18,True,No,1,0,True,mul,"[14, 5, 12]","[14, 5, 12]",[14],14,"[14, 5, 12]",[14],14,1.882
M1050,133,115,18,True,No,1,0,True,add,"[12, 5, 14]","[12, 5, 14]",[12],12,"[12, 5, 14]",[12],12,1.9897
M1053,133,115,18,True,No,1,0,True,mul,"[5, 12]","[5, 12]",[5],5,"[5, 12]",[5],5,1.9787
M1054,133,115,18,True,No,1,0,True,mul,"[12, 5]","[12, 5]",[12],12,"[12, 5]",[12],12,1.9448
