unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
O1,104,96,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.2633
O10,104,96,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.989
O100,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.5904
O101,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7257
O102,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8095
O103,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.0359
O104,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,3.374
O105,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.1476
O106,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5033
O107,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3587
O108,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4145
O109,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.5681
O11,103,95,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7935
O110,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5791
O111,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.605
O112,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4215
O113,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3707
O114,71,63,8,True,No,1,0,True,[4],[4],[4],4,[4],[4],4,2.62
O115,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5193
O116,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.628
O117,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.6868
O118,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4285
O119,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4604
O12,104,96,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.0149
O120,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4764
O121,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4295
O122,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4604
O123,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7457
O124,71,63,8,True,No,1,1,True,[27],[27],[27],27,[27],[27],27,2.5432
O125,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.6539
O126,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5851
O127,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.6968
O128,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5641
O129,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5851
O13,103,95,8,True,No,1,0,True,[14],[14],[14],14,[14],[14],14,2.8663
O130,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5781
O131,71,63,8,True,No,1,0,True,[5],[5],[5],5,[5],[5],5,2.631
O132,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7098
O133,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5432
O134,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5013
O135,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3198
