unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
O1,104,96,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,4.0721
O10,104,96,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,5.0684
O100,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.5375
O101,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,4.496
O102,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.6702
O103,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.8198
O104,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,3.2742
O105,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,4.6047
O106,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8344
O107,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.9551
O108,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.9332
O109,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.8564
O11,103,95,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.2772
O110,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.9162
O111,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.997
O112,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8254
O113,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.606
O114,71,63,8,True,No,1,0,True,[4],[4],[4],4,[4],[4],4,3.0568
O115,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7417
O116,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.8314
O117,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.977
O118,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8324
O119,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7756
O12,104,96,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.2563
O120,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7088
O121,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7407
O122,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8992
O123,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.6898
O124,71,63,8,True,No,1,1,True,[27],[27],[27],27,[27],[27],27,2.9002
O125,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.7905
O126,71,63,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8055
O127,71,63,8,True,No,2,0,False,[],[1],[1],1,[1],[1],1,3.0099
