unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
O102,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.0362
O101,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.3783
O1,104,96,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.3943
O104,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,4.7523
O100,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.4102
O10,104,96,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.7633
O106,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3477
O103,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,5.7805
O107,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4145
O108,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.5751
O109,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.4814
O110,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1951
O11,103,95,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.5292
O111,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3677
O112,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2031
O113,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2959
O115,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3627
O116,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.606
O117,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5133
O118,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2989
O119,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3756
O105,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,9.5126
O12,104,96,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.6878
O120,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4495
O122,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3737
O121,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4554
O123,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.254
O125,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.3826
O126,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3238
O127,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.2141
O128,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1034
O129,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1004
O130,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1562
O132,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2041
O133,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2929
O134,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2101
O135,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0615
O136,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.1323
O137,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0376
O138,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.1632
O139,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0774
O114,71,63,8,True,No,1,0,True,mul,[4],[4],[4],4,[4],[4],4,13.3962
O140,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0386
O141,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0954
O142,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.2729
O143,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.2011
O124,71,63,8,True,No,1,1,True,mul,[27],[27],[27],27,[27],[27],27,12.2253
O144,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2799
