unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
O10,104,96,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.3311
O100,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.2733
O102,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.1675
O103,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.5076
O105,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.4887
O104,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,3.0858
O101,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.361
O107,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.6985
O106,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7413
O11,103,95,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.6755
O109,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.7982
O111,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7583
O110,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7683
O108,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.882
O1,104,96,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,5.1612
O113,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.877
O112,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9009
O116,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.868
O114,71,63,8,True,No,1,0,True,add,[4],[4],[4],4,[4],[4],4,2.0216
O115,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9657
O117,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9438
O118,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9278
O119,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8221
O12,104,96,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7493
O120,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8451
O121,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.879
O122,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8161
O123,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8501
O125,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8151
O124,71,63,8,True,No,1,1,True,add,[27],[27],[27],27,[27],[27],27,1.9069
O126,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9757
O127,71,63,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0525
O128,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9568
O132,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.883
O130,71,63,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9278
O131,71,63,8,True,No,1,0,True,mul,[5],[5],[5],5,[5],[5],5,1.9079
