unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Q1,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8374
Q10,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5382
Q100,44,36,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,2.62
Q101,44,36,8,True,No,1,0,True,[4],[4],[4],4,[4],[4],4,2.4335
Q102,44,36,8,True,No,1,1,True,"[8, 4]","[8, 4]",[8],8,[8],[8],8,2.4435
Q103,44,36,8,True,Yes,1,0,False,[],[1],[1],1,[1],[1],1,2.4544
Q104,44,36,8,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.1921
Q105,44,36,8,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.6569
Q106,45,37,8,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9528
Q107,44,36,8,True,No,1,1,True,"[4, 8]","[4, 8]",[4],4,[8],[8],8,1.9957
Q108,45,37,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,2.2231
Q109,44,36,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,2.0515
Q11,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0106
Q110,44,36,8,True,No,1,1,True,"[4, 2]","[4, 2]",[4],4,[4],[4],4,2.0246
Q111,44,36,8,True,No,1,0,True,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.1283
Q112,44,36,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,1.9089
Q113,44,36,8,True,No,1,1,True,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.0854
Q114,44,36,8,True,No,1,2,True,[2],[2],[2],2,[2],[2],2,1.9278
Q115,44,36,8,True,No,1,2,True,"[2, 4]","[2, 4]",[2],2,[4],[4],4,2.1133
Q116,45,37,8,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,1.9358
Q117,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0525
Q118,44,36,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,1.9159
Q119,44,36,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,1.9348
Q12,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9468
Q120,44,36,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0515
Q121,46,38,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,2.0974
Q122,44,36,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,1.87
Q123,36,28,8,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9498
Q124,45,37,8,True,No,1,1,True,[4],[4],[4],4,[4],[4],4,2.0794
