unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Q105,44,36,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,3.9006
Q104,44,36,8,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,3.738
Q10,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.9834
Q106,45,37,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.9119
Q1,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.5079
Q103,44,36,8,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,4.6964
Q11,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9667
Q101,44,36,8,True,No,1,0,True,mul,[4],[4],[4],4,[4],[4],4,9.4338
Q100,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,9.0777
Q102,44,36,8,True,No,1,1,True,mul,"[8, 4]","[8, 4]",[8],8,[8],[8],8,9.718
Q112,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.4215
Q113,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.4694
Q108,45,37,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,7.1529
Q114,44,36,8,True,No,1,2,True,mul,[2],[2],[2],2,[2],[2],2,2.4764
Q107,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,7.6825
Q116,45,37,8,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.2709
Q117,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2809
Q109,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,8.591
Q115,44,36,8,True,No,1,2,True,mul,"[2, 4]","[2, 4]",[2],2,[4],[4],4,3.0219
Q118,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.8863
Q119,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.9212
Q110,44,36,8,True,No,1,1,True,mul,"[4, 2]","[4, 2]",[4],4,[4],[4],4,9.3301
Q12,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3826
Q120,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4554
Q121,46,38,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.9561
Q123,36,28,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4694
Q122,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,3.0249
Q124,45,37,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.9222
Q125,44,36,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.3876
Q127,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.9172
Q126,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.9481
Q13,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3457
Q128,44,36,8,True,No,0,0,True,mul,"[2, 3]","[2, 3]",[2],2,"[2, 3]",[2],2,2.9212
Q129,46,38,8,True,No,1,1,True,mul,[8],[8],[8],8,[8],[8],8,3.0947
