unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Q104,44,36,8,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.7846
Q105,44,36,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.7676
Q100,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.7856
Q101,44,36,8,True,No,1,0,True,mul,[4],[4],[4],4,[4],[4],4,3.0498
Q10,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.9162
Q103,44,36,8,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,3.0518
Q1,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.1735
Q107,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.0266
Q108,45,37,8,True,No,1,1,True,add,[4],[4],[4],4,[4],[4],4,1.9219
Q106,45,37,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.1602
Q102,44,36,8,True,No,1,1,True,mul,"[8, 4]","[8, 4]",[8],8,[8],[8],8,3.9105
Q11,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9747
Q109,44,36,8,True,No,1,1,True,add,[4],[4],[4],4,[4],[4],4,2.0794
Q110,44,36,8,True,No,1,1,True,mul,"[4, 2]","[4, 2]",[4],4,[4],[4],4,1.865
Q111,44,36,8,True,No,1,0,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,1.9827
Q112,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.0615
Q114,44,36,8,True,No,1,2,True,add,[2],[2],[2],2,[2],[2],2,2.0395
Q113,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.1333
Q115,44,36,8,True,No,1,2,True,mul,"[2, 4]","[2, 4]",[2],2,[4],[4],4,2.0625
Q117,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8161
Q116,45,37,8,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.9687
Q118,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,1.9538
Q119,44,36,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,1.7832
Q12,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8341
Q120,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.873
Q122,44,36,8,True,No,1,1,True,add,[4],[4],[4],4,[4],[4],4,1.9388
Q121,46,38,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,1.9867
Q123,36,28,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8361
Q125,44,36,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.858
Q124,45,37,8,True,No,1,1,True,add,[4],[4],[4],4,[4],[4],4,1.9628
