unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Y1,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.8793
Y10,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.251
Y100,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.228
Y101,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.3996
Y102,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.626
Y103,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.4335
Y104,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.1183
Y105,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.2071
Y106,20,14,6,True,Yes,1,0,False,[],[1],[1],1,[1],[1],1,1.9478
Y107,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9199
Y108,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.8939
Y109,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.8171
Y11,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9637
Y110,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9189
Y111,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,1.9298
Y112,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.888
Y113,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,1.852
Y114,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9657
Y115,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.0316
Y116,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,1.9787
Y117,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.8201
Y118,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,1.9219
Y119,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.0146
Y12,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,1.8002
Y120,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9219
Y121,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.881
Y122,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,1.9588
Y123,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,1.9099
Y124,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0944
Y125,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,1.9697
