unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Y1,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.74
Y10,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,3.1426
Y100,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,4.2476
Y101,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,3.1326
Y102,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,3.8278
Y103,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.7137
Y104,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.7307
Y105,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.7696
Y106,20,14,6,True,Yes,1,0,False,[],[1],[1],1,[1],[1],1,2.2949
Y107,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.4624
Y108,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4854
Y109,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.3926
Y11,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5931
Y110,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4155
Y111,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.5003
Y112,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3766
Y113,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.5063
Y114,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3198
Y115,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.3188
Y116,20,14,6,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.1921
Y117,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4285
Y118,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.1852
Y119,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.5103
Y12,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.3387
Y120,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4834
Y121,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4265
Y122,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.604
Y123,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.3308
Y124,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3766
Y125,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.5552
Y126,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3298
Y127,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.3577
Y128,20,14,6,True,Yes,1,0,False,[],[1],[1],1,[1],[1],1,2.231
Y129,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.4504
Y13,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3886
Y130,20,14,6,True,Yes,1,0,False,[],[1],[1],1,[1],[1],1,2.1443
Y131,20,14,6,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.2669
Y132,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4734
Y133,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.255
Y134,20,14,6,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5023
Y135,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.3068
Y136,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.4465
Y137,20,14,6,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.3318
Y138,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.2929
Y139,20,14,6,True,No,0,0,False,[],[1],[1],1,[1],[1],1,2.2769
