unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Y101,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,3.8178
Y102,20,14,6,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,4.2606
Y103,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,4.504
Y104,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,4.2975
Y105,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,4.491
Y106,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,2.2639
Y107,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.1742
Y108,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1981
Y109,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.259
Y1,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,6.0399
Y100,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,5.971
Y11,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2699
Y110,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0974
Y111,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.4096
Y112,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3647
Y113,20,14,6,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,2.2929
Y114,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4774
Y116,20,14,6,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,2.3417
Y115,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.4564
Y10,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,8.7117
Y117,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.253
Y118,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.3657
Y119,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.5053
Y12,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5771
Y121,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.257
Y122,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.5462
Y120,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.8165
Y123,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.4305
Y124,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3786
Y125,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.4155
Y126,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3757
Y128,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,2.3866
Y127,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.4524
Y13,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.5193
Y129,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.614
Y130,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,2.4475
Y131,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.7197
Y132,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.7666
Y133,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.7367
Y134,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.62
Y135,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.5741
Y137,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.3966
Y136,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.622
Y138,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.4215
Y139,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.5452
Y14,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.5382
Y142,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.256
Y140,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4943
Y141,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5372
Y145,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4574
Y143,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.8374
Y144,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,2.7028
Y146,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.4056
Y147,32,26,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.6419
Y148,31,25,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.5163
Y15,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.247
Y149,32,26,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.6978
Y151,32,26,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.4465
Y150,32,26,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.6449
Y152,44,38,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.614
Y153,44,38,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3786
Y155,43,37,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3836
Y156,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.3168
Y154,43,37,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.6659
Y157,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5816
Y158,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4699
Y160,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.436
Y159,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5696
Y16,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.6784
Y161,46,40,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3961
Y162,21,15,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.6155
Y163,21,15,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.6399
Y164,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4824
Y166,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.229
Y167,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3368
Y165,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.612
Y168,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4824
Y169,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5701
Y17,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4185
Y170,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3597
Y171,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.256
Y172,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5243
Y175,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.2091
Y173,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.5382
Y177,34,28,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.237
Y178,43,37,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.0635
Y176,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.3368
Y18,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0505
Y181,45,39,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.2221
Y180,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.2749
