unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Y103,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.8334
Y102,20,14,6,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,2.8294
Y101,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.9441
Y104,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.9481
Y100,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,2.8793
Y105,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.978
Y1,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.4039
Y10,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,3.8557
Y106,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,1.8152
Y107,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.8431
Y108,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8431
Y109,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.8012
Y11,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8341
Y110,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8281
Y111,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.8102
Y115,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.7314
Y114,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7902
Y113,20,14,6,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,1.885
Y112,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9548
Y116,20,14,6,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,1.882
Y117,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.861
Y118,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8451
Y119,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8161
Y12,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8401
Y122,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9468
Y121,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0146
Y120,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0605
Y123,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.9448
Y124,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9797
Y125,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8919
Y126,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9288
Y127,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.88
Y129,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8261
Y128,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,1.9747
Y13,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8989
Y130,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,1.8461
Y131,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9737
Y132,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9598
Y133,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9219
Y134,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9608
Y136,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.9169
Y138,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.888
Y135,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.0755
Y137,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.0535
Y139,20,14,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.9647
Y14,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,2.0276
Y140,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9677
Y141,20,14,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.7992
Y143,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8411
Y142,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8481
Y144,20,14,6,True,Yes,1,0,False,,[],[1],[1],1,[1],[1],1,1.867
Y145,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.858
Y146,20,14,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8002
Y147,32,26,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7583
Y148,31,25,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9268
Y149,32,26,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7743
Y151,32,26,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8481
Y15,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9817
Y152,44,38,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.852
Y150,32,26,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0395
Y153,44,38,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8171
Y154,43,37,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8381
Y155,43,37,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9129
Y156,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9408
Y157,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9019
Y158,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.878
Y16,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.862
Y159,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9707
Y160,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9318
Y161,46,40,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.882
Y162,21,15,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8102
Y163,21,15,6,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.7723
Y164,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7932
Y166,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8072
Y165,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9019
Y167,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9074
Y168,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7488
Y169,47,41,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8226
Y17,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7239
Y170,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8336
Y172,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.701
Y171,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8157
Y173,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8471
Y175,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8012
Y174,41,35,6,True,No,2,1,True,mul,[5],[5],[5],5,[5],[5],5,1.8979
Y176,41,35,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8899
Y177,34,28,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.851
Y178,43,37,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.9298
Y179,47,41,6,True,No,0,0,True,mul,[2],[2],[2],2,[2],[2],2,2.2001
Y180,47,41,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0146
Y18,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1921
Y181,45,39,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0934
Y182,45,39,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1672
Y183,32,26,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0735
Y184,45,39,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0744
Y185,45,39,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8431
Y186,45,39,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8132
Y187,45,39,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8132
Y188,33,27,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.863
Y189,33,27,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9199
Y19,20,14,6,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.881
Y190,33,27,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9149
Y191,33,27,6,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8909
Y192,47,41,6,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.873
