dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,no_model_per,primary_model_per,run_date,smape,time
M3,Other,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,36.1146,0.0,100.0,2023-01-15,28.0412,1.8333
M3,Other,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,7.0251,0.0,100.0,2023-01-15,6.3016,1.8667
M3,Yearly,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,40.289,0.0,100.0,2023-01-15,43.6252,4.6167
M3,Yearly,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,20.8814,0.0,100.0,2023-01-15,17.8799,4.6
M3,Other,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,15.5502,0.0,100.0,2023-01-15,13.709,1.6333
M3,Other,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,polytrend,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,9.9987,0.0,100.0,2023-01-15,9.5989,1.5667
M3,Yearly,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,35.8621,0.0,100.0,2023-01-15,37.4025,4.3167
M3,Yearly,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,polytrend,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,29.1264,0.0,100.0,2023-01-15,22.92,4.2833
M3,Monthly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,1428.0,25.4118,0.0,100.0,2023-01-15,18.1987,10.55
M3,Monthly,pycaret,3.0.0.rc8,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,1428.0,23.1866,0.0,100.0,2023-01-16,18.9673,22.9667
M3,Monthly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,1428.0,23.869,0.0,100.0,2023-01-15,16.8091,9.0667
M3,Monthly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.07,1428.0,29.8792,0.0,99.93,2023-01-15,16.5494,10.1333
M3,Monthly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.07,1428.0,26.2506,0.0,99.93,2023-01-15,16.3625,9.8667
M3,Monthly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,1428.0,36.2079,0.0,100.0,2023-01-15,27.127,9.05
M3,Monthly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,1428.0,28.1047,0.0,100.0,2023-01-15,18.1828,9.2
M3,Monthly,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,1428.0,25.4449,0.0,100.0,2023-01-15,20.7027,9.0333
M3,Monthly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,42.1569,1428.0,10.0168,0.0,57.8431,2023-01-15,8.1055,9.3667
M3,Monthly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.07,1428.0,21.0418,0.0,99.93,2023-01-15,14.4151,9.4167
M3,Other,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,7.5549,0.0,100.0,2023-01-15,6.7215,1.6667
M3,Other,pycaret,3.0.0.rc8,auto_arima,pmdarima,2.0.2,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,4.4167,0.0,100.0,2023-01-15,4.1235,5.9167
M3,Other,pycaret,3.0.0.rc8,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,4.9993,0.0,100.0,2023-01-15,4.7824,2.6333
M3,Other,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,15.5502,0.0,100.0,2023-01-15,13.709,1.4833
M3,Other,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.5747,174.0,4.9758,0.0,99.4253,2023-01-15,4.5561,1.5167
M3,Other,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.5747,174.0,4.9556,0.0,99.4253,2023-01-15,4.563,1.5167
M3,Other,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,36.1146,0.0,100.0,2023-01-15,28.0412,1.5
M3,Other,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,7.0251,0.0,100.0,2023-01-15,6.3016,1.4833
M3,Other,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,174.0,9.9987,0.0,100.0,2023-01-15,9.5989,1.45
M3,Other,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,72.9885,174.0,4.4809,0.0,27.0115,2023-01-15,3.6499,1.5833
M3,Other,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.5747,174.0,5.2884,0.0,99.4253,2023-01-15,4.7622,1.45
M3,Quarterly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,12.6454,0.0,100.0,2023-01-15,10.3228,5.05
M3,Quarterly,pycaret,3.0.0.rc8,auto_arima,pmdarima,2.0.2,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,13.0698,0.0,100.0,2023-01-16,9.8606,11.6333
M3,Quarterly,pycaret,3.0.0.rc8,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,14.2202,0.0,100.0,2023-01-16,12.9109,7.5333
M3,Quarterly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,18.6417,0.0,100.0,2023-01-15,16.1239,4.8333
M3,Quarterly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,13.5103,0.0,100.0,2023-01-15,11.0383,5.1167
M3,Quarterly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,13.4558,0.0,100.0,2023-01-15,11.1986,5.1833
M3,Quarterly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,27.3466,0.0,100.0,2023-01-15,26.5823,4.8833
M3,Quarterly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,14.2318,0.0,100.0,2023-01-15,11.3228,4.6167
