dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,smape
M4,Hourly,pycaret,3.0.0.rc8,ada_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,59.4297,2.6698,0.0,1.2728,100.0,26.3019
M4,Hourly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,30.7001,4.7259,0.0,1.9746,100.0,36.3239
M4,Hourly,pycaret,3.0.0.rc8,br_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3464,1.9508,0.0,0.9574,100.0,20.228
M4,Hourly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,73.2588,10.763,0.0,3.1756,100.0,34.1438
M4,Hourly,pycaret,3.0.0.rc8,dt_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,29.2638,1.5218,0.0,0.9049,100.0,21.5869
M4,Hourly,pycaret,3.0.0.rc8,en_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.0601,2.9519,0.0,1.1855,100.0,20.9281
M4,Hourly,pycaret,3.0.0.rc8,et_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.9522,1.6502,0.0,0.908,100.0,20.7165
M4,Hourly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,72.4857,10.7187,0.0,3.6879,100.0,53.3182
M4,Hourly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,61.8234
M4,Hourly,pycaret,3.0.0.rc8,gbr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,43.2049,2.2679,0.0,1.0896,100.0,22.6519
M4,Hourly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.7816,11.6862,0.0,3.3688,100.0,34.161
M4,Hourly,pycaret,3.0.0.rc8,huber_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,34.1148,1.9222,0.0,0.9581,100.0,20.4713
M4,Hourly,pycaret,3.0.0.rc8,knn_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.6077,1.9515,0.0,0.9821,100.0,21.1301
M4,Hourly,pycaret,3.0.0.rc8,lar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2415,414.0,1.2702954713728205e+17,1.9088818332220144e+16,0.0,3985072958455460.5,99.7585,23.9245
M4,Hourly,pycaret,3.0.0.rc8,lasso_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.1052,2.9801,0.0,1.1925,100.0,20.9681
M4,Hourly,pycaret,3.0.0.rc8,lightgbm_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,48.5804,1.962,0.0,1.0095,100.0,22.0548
M4,Hourly,pycaret,3.0.0.rc8,llar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,42.6331,3.1618,0.0,1.2503,100.0,21.6991
M4,Hourly,pycaret,3.0.0.rc8,lr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3434,1.9498,0.0,0.9575,100.0,20.2385
M4,Hourly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,37.717,11.6077,0.0,3.5929,100.0,43.003
M4,Hourly,pycaret,3.0.0.rc8,omp_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,39.3695,2.4805,0.0,1.1005,100.0,21.4206
M4,Hourly,pycaret,3.0.0.rc8,par_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,3.5814311021223533e+25,1.1248814405769371e+24,0.0,2.3483562640151158e+23,100.0,64.9901
M4,Hourly,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.0169,10.5521,0.0,3.1048,100.0,33.1587
M4,Hourly,pycaret,3.0.0.rc8,prophet,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.0054,10.5372,0.0,3.098,100.0,33.0237
M4,Hourly,pycaret,3.0.0.rc8,rf_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.9308,1.8202,0.0,0.9515,100.0,21.0112
M4,Hourly,pycaret,3.0.0.rc8,ridge_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3511,1.9669,0.0,0.9613,100.0,20.2459
M4,Hourly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,25.437,2.8605,0.0,1.2994,100.0,25.8184
M4,Hourly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,28.0722,3.8148,0.0,1.5734,100.0,28.5687
M4,Hourly,pycaret,3.0.0.rc9,ada_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,57.0372,2.6654,0.0,1.2599,100.0,25.8643
M4,Hourly,pycaret,3.0.0.rc9,arima,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,30.7001,4.7259,0.0,1.9746,100.0,36.3239
M4,Hourly,pycaret,3.0.0.rc9,br_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3464,1.9508,0.0,0.9574,100.0,20.228
M4,Hourly,pycaret,3.0.0.rc9,catboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,45.3705,1.6738,0.0,0.9248,100.0,21.1529
M4,Hourly,pycaret,3.0.0.rc9,croston,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,73.2588,10.763,0.0,3.1756,100.0,34.1438
M4,Hourly,pycaret,3.0.0.rc9,dt_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,29.5205,1.5238,0.0,0.9032,100.0,21.5118
M4,Hourly,pycaret,3.0.0.rc9,en_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.0601,2.9519,0.0,1.1855,100.0,20.9281
M4,Hourly,pycaret,3.0.0.rc9,et_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,48.7302,1.684,0.0,0.9045,100.0,20.3291
M4,Hourly,pycaret,3.0.0.rc9,ets,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,414.0,37.717,11.6077,0.0,3.5929,0.0,43.003
M4,Hourly,pycaret,3.0.0.rc9,exp_smooth,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,61.8234
M4,Hourly,pycaret,3.0.0.rc9,gbr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,43.0852,2.2629,0.0,1.0868,100.0,22.5894
M4,Hourly,pycaret,3.0.0.rc9,grand_means,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.7816,11.6862,0.0,3.3688,100.0,34.161
M4,Hourly,pycaret,3.0.0.rc9,huber_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,34.1304,1.9227,0.0,0.9585,100.0,20.4814
M4,Hourly,pycaret,3.0.0.rc9,knn_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.6077,1.9515,0.0,0.9821,100.0,21.1301
M4,Hourly,pycaret,3.0.0.rc9,lar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2415,414.0,1.2974491346143155e+51,1.9031982078846398e+50,0.0,3.973207550527231e+49,99.7585,23.982
