unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H1,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 72, 21, 46, 71, 73, 50, 4, 96, 27, 70, 95, 97, 45, 120, 74, 20, 119, 51, 121, 94, 144, 98, 69, 28, 5, 143, 145]","[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 72, 21, 46, 71, 73, 50, 4, 96, 27, 70, 95, 97, 45, 120, 74, 20, 119, 51, 121, 94, 144, 98, 69, 28, 5, 143, 145]",[2],2,"[144, 69, 50, 22, 94, 26, 98, 21, 46, 71, 73, 96, 27, 70, 95, 97, 45, 120, 74, 119, 51, 121, 28, 145, 143]",[144],144,7.5169
H10,748,700,48,True,No,1,0,True,"[24, 23, 2, 49, 26, 48, 22, 47, 3, 25, 71, 72, 4, 46, 21, 73, 96, 94, 27, 70, 50, 95, 120, 20, 51, 45, 98, 121, 97, 119, 74, 144, 69, 28, 145, 143, 167]","[24, 23, 2, 49, 26, 48, 22, 47, 3, 25, 71, 72, 4, 46, 21, 73, 96, 94, 27, 70, 50, 95, 120, 20, 51, 45, 98, 121, 97, 119, 74, 144, 69, 28, 145, 143, 167]",[24],24,"[144, 69, 98, 26, 22, 94, 50, 71, 46, 21, 73, 96, 27, 70, 95, 120, 51, 45, 121, 97, 119, 74, 28, 145, 143, 167]",[144],144,7.2795
H100,748,700,48,True,No,1,0,True,"[24, 23, 25, 48, 47, 22, 49, 71, 72, 46, 96, 120, 2, 73, 168, 95, 144, 121, 26, 97, 119, 145, 70, 143, 50, 74, 167, 98, 192, 169, 94, 216]","[24, 23, 25, 48, 47, 22, 49, 71, 72, 46, 96, 120, 2, 73, 168, 95, 144, 121, 26, 97, 119, 145, 70, 143, 50, 74, 167, 98, 192, 169, 94, 216]",[24],24,"[216, 46, 50, 192, 94, 22, 98, 71, 120, 73, 168, 95, 144, 121, 26, 97, 119, 145, 70, 143, 74, 167, 169]",[216],216,7.4341
H101,748,700,48,True,No,0,0,True,"[2, 3, 4, 24, 23, 5, 25, 22, 21, 26, 6, 72, 20, 27, 73, 71, 48, 74]","[2, 3, 4, 24, 23, 5, 25, 22, 21, 26, 6, 72, 20, 27, 73, 71, 48, 74]",[2],2,"[74, 72, 23, 25, 22, 21, 26, 20, 27, 73, 71, 48]",[74],74,6.8846
H102,748,700,48,True,No,1,0,True,"[24, 48, 23, 72, 2, 26, 3, 25, 22, 46, 49, 96, 47, 73, 21, 120, 144, 70, 45, 71, 27, 168, 50, 95, 51, 97, 98, 69, 119, 121, 20, 192, 94, 74, 4, 93, 143, 122]","[24, 48, 23, 72, 2, 26, 3, 25, 22, 46, 49, 96, 47, 73, 21, 120, 144, 70, 45, 71, 27, 168, 50, 95, 51, 97, 98, 69, 119, 121, 20, 192, 94, 74, 4, 93, 143, 122]",[24],24,"[192, 69, 144, 26, 50, 22, 46, 98, 94, 73, 168, 120, 70, 45, 71, 27, 95, 51, 97, 119, 121, 74, 93, 143, 122]",[192],192,7.5259
H103,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 72, 46, 4, 71, 27, 50, 73, 96, 20, 45, 70, 95, 97, 74, 120, 51, 119, 121, 5, 28, 94, 144, 69, 98, 44, 143]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 72, 46, 4, 71, 27, 50, 73, 96, 20, 45, 70, 95, 97, 74, 120, 51, 119, 121, 5, 28, 94, 144, 69, 98, 44, 143]",[2],2,"[144, 69, 50, 44, 26, 94, 98, 21, 46, 71, 27, 73, 96, 120, 45, 70, 95, 97, 74, 51, 119, 121, 28, 143]",[144],144,8.0056
H104,748,700,48,True,No,1,0,True,"[24, 48, 25, 23, 2, 72, 47, 49, 96, 3, 22, 26, 71, 120, 73, 21, 46, 144, 4, 95, 97, 27, 50, 121, 70, 119, 45, 20, 168, 51, 145, 74, 143, 94, 192]","[24, 48, 25, 23, 2, 72, 47, 49, 96, 3, 22, 26, 71, 120, 73, 21, 46, 144, 4, 95, 97, 27, 50, 121, 70, 119, 45, 20, 168, 51, 145, 74, 143, 94, 192]",[24],24,"[192, 50, 46, 144, 94, 49, 22, 26, 71, 120, 73, 168, 95, 97, 27, 121, 70, 119, 45, 51, 145, 74, 143]",[192],192,7.6246
H105,748,700,48,True,No,0,0,True,"[2, 3, 24, 23, 4, 25, 22, 26, 21, 5, 48, 20, 27, 47, 49, 46, 19, 28, 6, 45, 50, 72, 71, 73, 96, 168, 144, 120, 70]","[2, 3, 24, 23, 4, 25, 22, 26, 21, 5, 48, 20, 27, 47, 49, 46, 19, 28, 6, 45, 50, 72, 71, 73, 96, 168, 144, 120, 70]",[2],2,"[168, 46, 50, 22, 26, 120, 144, 27, 47, 49, 19, 45, 71, 73, 96, 70]",[168],168,7.3424
H106,748,700,48,True,No,1,0,True,"[24, 23, 25, 2, 48, 47, 22, 49, 72, 71, 26, 96, 3, 73, 46, 95, 50, 97, 120, 21, 144, 70, 119, 74, 27, 121, 94, 168, 4, 45, 145, 143, 98, 167, 118, 192, 51, 169, 20, 69]","[24, 23, 25, 2, 48, 47, 22, 49, 72, 71, 26, 96, 3, 73, 46, 95, 50, 97, 120, 21, 144, 70, 119, 74, 27, 121, 94, 168, 4, 45, 145, 143, 98, 167, 118, 192, 51, 169, 20, 69]",[24],24,"[192, 69, 50, 94, 22, 98, 144, 71, 26, 73, 46, 95, 97, 120, 168, 70, 119, 74, 27, 121, 45, 145, 143, 167, 118, 51, 169]",[192],192,7.3713
H107,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 72, 46, 4, 71, 50, 73, 27, 96, 70, 95, 45, 97, 20, 74, 120, 51, 119, 94, 28, 121, 98, 144, 5, 69, 143, 75, 44]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 72, 46, 4, 71, 50, 73, 27, 96, 70, 95, 45, 97, 20, 74, 120, 51, 119, 94, 28, 121, 98, 144, 5, 69, 143, 75, 44]",[2],2,"[144, 69, 75, 44, 26, 94, 98, 21, 46, 71, 50, 73, 27, 96, 70, 95, 45, 97, 120, 74, 51, 119, 28, 121, 143]",[144],144,7.3464
