unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H10,748,700,48,True,No,1,0,True,mul,"[24, 23, 2, 49, 26, 48, 22, 47, 3, 25, 4, 46, 21, 27, 50, 20, 51, 45, 28]","[24, 23, 2, 49, 26, 48, 22, 47, 3, 25, 4, 46, 21, 27, 50, 20, 51, 45, 28]",[24],24,"[48, 46, 50, 49, 26, 22, 47, 51, 21, 27, 20, 45, 28]",[48],48,7.6715
H104,748,700,48,True,No,1,0,True,mul,"[24, 48, 25, 23, 2, 47, 49, 3, 22, 26, 21, 46, 4, 27, 50, 45, 20, 51]","[24, 48, 25, 23, 2, 47, 49, 3, 22, 26, 21, 46, 4, 27, 50, 45, 20, 51]",[24],24,"[48, 50, 46, 47, 49, 51, 22, 26, 21, 27, 45, 20]",[48],48,7.2726
H101,748,700,48,True,No,0,0,True,mul,"[2, 3, 4, 24, 23, 5, 25, 22, 21, 26, 6, 20, 27, 48]","[2, 3, 4, 24, 23, 5, 25, 22, 21, 26, 6, 20, 27, 48]",[2],2,"[48, 23, 25, 22, 21, 26, 20, 27]",[48],48,8.5003
H102,748,700,48,True,No,1,0,True,mul,"[24, 48, 23, 2, 26, 3, 25, 22, 46, 49, 47, 21, 45, 27, 50, 51, 20, 4]","[24, 48, 23, 2, 26, 3, 25, 22, 46, 49, 47, 21, 45, 27, 50, 51, 20, 4]",[24],24,"[48, 46, 50, 26, 51, 22, 49, 47, 21, 45, 27, 20]",[48],48,8.1712
H103,748,700,48,True,No,1,0,True,mul,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 27, 50, 20, 45, 51, 5, 28, 44]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 27, 50, 20, 45, 51, 5, 28, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 20, 45, 28]",[50],50,8.5402
H106,748,700,48,True,No,1,0,True,mul,"[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20]","[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20]",[24],24,"[48, 46, 50, 47, 22, 49, 26, 51, 21, 27, 45, 20]",[48],48,2.8953
H107,748,700,48,True,No,1,0,True,mul,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,2.9541
H1,748,700,48,True,No,1,0,True,mul,"[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28, 5]","[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28, 5]",[2],2,"[50, 48, 46, 22, 51, 47, 26, 49, 21, 27, 45, 20, 28]",[50],50,9.9504
H108,748,700,48,True,No,1,0,True,mul,"[24, 25, 48, 23, 47, 49, 46, 21, 50, 3, 22, 27, 2, 26, 51, 4, 28]","[24, 25, 48, 23, 47, 49, 46, 21, 50, 3, 22, 27, 2, 26, 51, 4, 28]",[24],24,"[48, 50, 46, 47, 49, 21, 51, 22, 27, 26, 28]",[48],48,3.0469
H100,748,700,48,True,No,1,0,True,mul,"[24, 23, 25, 48, 47, 22, 49, 46, 2, 26, 50]","[24, 23, 25, 48, 47, 22, 49, 46, 2, 26, 50]",[24],24,"[48, 46, 50, 47, 22, 49, 26]",[48],48,9.9983
H109,748,700,48,True,No,1,0,True,mul,"[24, 2, 23, 25, 48, 3, 22, 47, 49, 26, 21, 4, 46, 50, 27, 20, 45, 51, 5, 28]","[24, 2, 23, 25, 48, 3, 22, 47, 49, 26, 21, 4, 46, 50, 27, 20, 45, 51, 5, 28]",[24],24,"[48, 50, 46, 51, 22, 47, 49, 26, 21, 27, 20, 45, 28]",[48],48,3.2413
H11,748,700,48,True,No,0,0,True,mul,"[2, 3, 23, 24, 22, 25, 21, 26, 4, 47, 48, 46, 20, 49, 27, 45, 5, 50, 19, 28, 44, 51]","[2, 3, 23, 24, 22, 25, 21, 26, 4, 47, 48, 46, 20, 49, 27, 45, 5, 50, 19, 28, 44, 51]",[2],2,"[50, 51, 46, 48, 44, 21, 26, 47, 20, 49, 27, 45, 19, 28]",[50],50,3.1675
H105,748,700,48,True,No,0,0,True,mul,"[2, 3, 24, 23, 4, 25, 22, 26, 21, 5, 48, 20, 27, 47, 49, 46, 19, 28, 6, 45, 50]","[2, 3, 24, 23, 4, 25, 22, 26, 21, 5, 48, 20, 27, 47, 49, 46, 19, 28, 6, 45, 50]",[2],2,"[50, 48, 46, 22, 26, 21, 20, 27, 47, 49, 19, 28, 45]",[50],50,10.9348
H110,748,700,48,True,No,1,0,True,mul,"[24, 2, 23, 25, 48, 3, 22, 47, 49, 26, 21, 4, 46, 50, 27, 45, 20, 51, 5, 28]","[24, 2, 23, 25, 48, 3, 22, 47, 49, 26, 21, 4, 46, 50, 27, 45, 20, 51, 5, 28]",[24],24,"[48, 50, 46, 51, 22, 47, 49, 26, 21, 27, 45, 20, 28]",[48],48,3.7819
H111,748,700,48,True,No,0,0,True,mul,"[2, 24, 23, 25, 3, 22, 26, 48, 47, 49, 21, 4, 46, 27, 50, 45, 20, 51, 5, 28]","[2, 24, 23, 25, 3, 22, 26, 48, 47, 49, 21, 4, 46, 27, 50, 45, 20, 51, 5, 28]",[2],2,"[50, 48, 46, 51, 22, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,3.8078
H112,748,700,48,True,No,0,0,True,mul,"[2, 24, 23, 3, 25, 22, 26, 48, 47, 21, 49, 4, 46, 27, 50, 20, 45, 5, 51, 28]","[2, 24, 23, 3, 25, 22, 26, 48, 47, 21, 49, 4, 46, 27, 50, 20, 45, 5, 51, 28]",[2],2,"[50, 48, 46, 51, 22, 26, 47, 21, 49, 27, 20, 45, 28]",[50],50,3.8487
H113,748,700,48,True,No,0,0,True,mul,"[2, 24, 23, 3, 25, 22, 26, 21, 48, 47, 4, 49, 27, 46, 50, 20, 45, 5, 51, 28]","[2, 24, 23, 3, 25, 22, 26, 21, 48, 47, 4, 49, 27, 46, 50, 20, 45, 5, 51, 28]",[2],2,"[50, 48, 46, 51, 22, 26, 21, 47, 49, 27, 20, 45, 28]",[50],50,3.9145
H114,748,700,48,True,No,1,0,True,mul,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 4, 46, 27, 50, 45, 20, 51, 5, 28]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 4, 46, 27, 50, 45, 20, 51, 5, 28]",[2],2,"[50, 48, 46, 51, 22, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,3.9145
H117,748,700,48,True,No,0,0,True,mul,"[2, 3, 24, 23, 25, 22, 4, 26, 21, 48, 47, 49, 46, 27, 20, 50, 5, 45, 51, 28, 19]","[2, 3, 24, 23, 25, 22, 4, 26, 21, 48, 47, 49, 46, 27, 20, 50, 5, 45, 51, 28, 19]",[2],2,"[50, 51, 48, 46, 22, 26, 21, 47, 49, 27, 20, 45, 28, 19]",[50],50,4.0881
H115,748,700,48,True,No,1,0,True,mul,"[24, 23, 2, 25, 22, 48, 3, 47, 21, 49, 26, 46, 27, 4, 50, 20, 45, 51, 5, 28, 44]","[24, 23, 2, 25, 22, 48, 3, 47, 21, 49, 26, 46, 27, 4, 50, 20, 45, 51, 5, 28, 44]",[24],24,"[48, 46, 50, 44, 51, 47, 21, 49, 26, 27, 20, 45, 28]",[48],48,4.9274
H116,748,700,48,True,No,0,0,True,mul,"[2, 24, 23, 3, 25, 22, 26, 48, 21, 47, 49, 4, 46, 27, 50, 20, 45, 5, 51, 28, 44, 19]","[2, 24, 23, 3, 25, 22, 26, 48, 21, 47, 49, 4, 46, 27, 50, 20, 45, 5, 51, 28, 44, 19]",[2],2,"[50, 48, 46, 51, 44, 26, 21, 47, 49, 27, 20, 45, 28, 19]",[50],50,5.1977
H118,748,700,48,True,No,0,0,True,mul,"[2, 3, 23, 24, 22, 25, 21, 4, 26, 20, 27, 48, 47, 5, 49, 46, 19, 50, 45, 28, 6, 51, 44, 18]","[2, 3, 23, 24, 22, 25, 21, 4, 26, 20, 27, 48, 47, 5, 49, 46, 19, 50, 45, 28, 6, 51, 44, 18]",[2],2,"[50, 51, 46, 48, 44, 21, 26, 20, 27, 47, 49, 19, 45, 28, 18]",[50],50,4.6731
