unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H103,748,700,48,True,No,1,0,True,mul,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 27, 50, 20, 45, 51, 5, 28, 44]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 27, 50, 20, 45, 51, 5, 28, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 20, 45, 28]",[50],50,2.9342
H100,748,700,48,True,No,1,0,True,add,"[24, 23, 25, 48, 47, 22, 49, 46, 2, 26, 50]","[24, 23, 25, 48, 47, 22, 49, 46, 2, 26, 50]",[24],24,"[48, 46, 50, 47, 22, 49, 26]",[48],48,2.99
H104,748,700,48,True,No,1,0,True,add,"[24, 48, 25, 23, 2, 47, 49, 3, 22, 26, 21, 46, 4, 27, 50, 45, 20, 51]","[24, 48, 25, 23, 2, 47, 49, 3, 22, 26, 21, 46, 4, 27, 50, 45, 20, 51]",[24],24,"[48, 50, 46, 47, 49, 51, 22, 26, 21, 27, 45, 20]",[48],48,3.0379
H101,748,700,48,True,No,0,0,True,mul,"[2, 3, 4, 24, 23, 5, 25, 22, 21, 26, 6, 20, 27, 48]","[2, 3, 4, 24, 23, 5, 25, 22, 21, 26, 6, 20, 27, 48]",[2],2,"[48, 23, 25, 22, 21, 26, 20, 27]",[48],48,2.8913
H10,748,700,48,True,No,1,0,True,mul,"[24, 23, 2, 49, 26, 48, 22, 47, 3, 25, 4, 46, 21, 27, 50, 20, 51, 45, 28]","[24, 23, 2, 49, 26, 48, 22, 47, 3, 25, 4, 46, 21, 27, 50, 20, 51, 45, 28]",[24],24,"[48, 46, 50, 49, 26, 22, 47, 51, 21, 27, 20, 45, 28]",[48],48,2.8793
H105,748,700,48,True,No,0,0,True,mul,"[2, 3, 24, 23, 4, 25, 22, 26, 21, 5, 48, 20, 27, 47, 49, 46, 19, 28, 6, 45, 50]","[2, 3, 24, 23, 4, 25, 22, 26, 21, 5, 48, 20, 27, 47, 49, 46, 19, 28, 6, 45, 50]",[2],2,"[50, 48, 46, 22, 26, 21, 20, 27, 47, 49, 19, 28, 45]",[50],50,2.9401
H102,748,700,48,True,No,1,0,True,add,"[24, 48, 23, 2, 26, 3, 25, 22, 46, 49, 47, 21, 45, 27, 50, 51, 20, 4]","[24, 48, 23, 2, 26, 3, 25, 22, 46, 49, 47, 21, 45, 27, 50, 51, 20, 4]",[24],24,"[48, 46, 50, 26, 51, 22, 49, 47, 21, 45, 27, 20]",[48],48,3.2992
H1,748,700,48,True,No,1,0,True,add,"[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28, 5]","[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28, 5]",[2],2,"[50, 48, 46, 22, 51, 47, 26, 49, 21, 27, 45, 20, 28]",[50],50,3.6642
H106,748,700,48,True,No,1,0,True,mul,"[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20]","[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45, 51, 20]",[24],24,"[48, 46, 50, 47, 22, 49, 26, 51, 21, 27, 45, 20]",[48],48,2.0146
H107,748,700,48,True,No,1,0,True,mul,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,2.0246
