unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
W1,2192,2179,13,True,No,2,0,True,"[26, 52, 4, 44, 104, 12, 14, 256, 118, 22, 126, 40, 8, 48, 170, 78, 60, 210, 282, 30, 56, 20, 236, 230, 334, 360, 100, 112, 84, 130, 300, 252]","[26, 52, 4, 44, 104, 12, 14, 256, 118, 22, 126, 40, 8, 48, 170, 78, 60, 210, 282, 30, 56, 20, 236, 230, 334, 360, 100, 112, 84, 130, 300, 252]",[26],26,"[130, 104, 360, 44, 252, 256, 236, 48, 170, 78, 210, 282, 112, 230, 334, 300]",[130],130,19.7921
W10,947,934,13,True,No,1,0,True,"[140, 10, 130, 168, 25]","[140, 10, 130, 168, 25]",[140],140,"[140, 130, 168, 25]",[140],140,9.1864
W100,2296,2283,13,True,No,2,0,True,"[13, 52, 48, 9, 135, 22, 100, 78, 26, 365, 261, 122, 126, 65, 4, 74, 113, 200, 152, 61, 265, 39, 104, 287, 313, 274, 91, 87, 213, 109, 70, 252, 148, 35, 374, 574, 352, 161, 17, 222, 57, 239, 139, 413, 174, 226, 378, 465, 183, 626, 526, 439, 300, 165, 500, 178, 278, 30, 196, 474, 513, 565, 335, 209, 43, 552, 96, 322, 143, 187, 387, 217, 248, 235]","[13, 52, 48, 9, 135, 22, 100, 78, 26, 365, 261, 122, 126, 65, 4, 74, 113, 200, 152, 61, 265, 39, 104, 287, 313, 274, 91, 87, 213, 109, 70, 252, 148, 35, 374, 574, 352, 161, 17, 222, 57, 239, 139, 413, 174, 226, 378, 465, 183, 626, 526, 439, 300, 165, 500, 178, 278, 30, 196, 474, 513, 565, 335, 209, 43, 552, 96, 322, 143, 187, 387, 217, 248, 235]",[13],13,"[143, 104, 96, 513, 135, 374, 500, 78, 365, 261, 122, 378, 65, 552, 222, 565, 200, 152, 183, 265, 574, 626, 274, 91, 213, 109, 70, 252, 148, 352, 322, 239, 278, 413, 174, 226, 465, 526, 439, 300, 165, 178, 196, 474, 335, 209, 387, 217, 248, 235]",[143],143,20.553
W101,392,379,13,True,No,1,0,True,"[13, 52, 26, 4, 9, 39, 22, 48, 35, 61, 17, 74, 65, 30, 87, 78, 100, 104, 91, 113, 5]","[13, 52, 26, 4, 9, 39, 22, 48, 35, 61, 17, 74, 65, 30, 87, 78, 100, 104, 91, 113, 5]",[13],13,"[104, 9, 78, 22, 48, 35, 61, 17, 74, 65, 30, 87, 100, 91, 113]",[104],104,4.8071
W102,2296,2283,13,True,No,2,0,True,"[52, 13, 26, 39, 126, 187, 100, 2, 124, 9, 113, 50, 4, 48, 139, 61, 87, 74, 96, 189, 65, 174, 111, 224, 63, 24, 161, 11, 274, 98, 313, 22, 137, 28, 176, 122, 200, 235, 163, 104, 237, 46, 263, 261, 35, 109, 213, 183, 102, 150, 172, 37, 159, 311, 76, 226, 198, 170, 148, 30, 215, 287, 135, 222, 89, 209, 17, 15, 300, 72, 250, 191, 91, 228, 152, 44, 211, 128, 346, 387, 54, 435]","[52, 13, 26, 39, 126, 187, 100, 2, 124, 9, 113, 50, 4, 48, 139, 61, 87, 74, 96, 189, 65, 174, 111, 224, 63, 24, 161, 11, 274, 98, 313, 22, 137, 28, 176, 122, 200, 235, 163, 104, 237, 46, 263, 261, 35, 109, 213, 183, 102, 150, 172, 37, 159, 311, 76, 226, 198, 170, 148, 30, 215, 287, 135, 222, 89, 209, 17, 15, 300, 72, 250, 191, 91, 228, 152, 44, 211, 128, 346, 387, 54, 435]",[52],52,"[104, 39, 126, 187, 300, 346, 124, 387, 226, 96, 139, 183, 435, 222, 189, 65, 174, 224, 161, 209, 274, 98, 313, 198, 176, 122, 200, 235, 163, 237, 46, 263, 261, 35, 109, 213, 102, 172, 159, 311, 228, 170, 148, 215, 287, 135, 89, 72, 250, 191, 91, 152, 211, 128, 54]",[104],104,20.1032
W103,2296,2283,13,True,No,1,0,True,"[39, 26, 61, 48, 13, 4, 161, 87, 261, 17, 65, 135, 174, 74, 52, 300, 222, 22, 213, 100, 139, 122, 78, 43, 313, 152, 35, 200, 91, 9, 113, 287, 265, 104, 126, 28, 209, 574, 70, 252, 304, 157, 422, 248, 170, 102, 239, 150, 24, 352, 326, 274, 365, 20, 474]","[39, 26, 61, 48, 13, 4, 161, 87, 261, 17, 65, 135, 174, 74, 52, 300, 222, 22, 213, 100, 139, 122, 78, 43, 313, 152, 35, 200, 91, 9, 113, 287, 265, 104, 126, 28, 209, 574, 70, 252, 304, 157, 422, 248, 170, 102, 239, 150, 24, 352, 326, 274, 365, 20, 474]",[39],39,"[78, 104, 122, 48, 352, 161, 261, 170, 65, 135, 174, 222, 300, 213, 139, 43, 313, 304, 70, 200, 91, 113, 574, 265, 252, 209, 157, 422, 248, 102, 239, 326, 274, 365, 474]",[78],78,18.9523
W104,392,379,13,True,No,2,0,True,"[13, 4, 9, 44, 35, 31]","[13, 4, 9, 44, 35, 31]",[13],13,"[13, 44, 9, 35, 31]",[13],13,4.9887
W105,2296,2283,13,True,No,2,0,True,"[13, 9, 133, 100, 44, 31, 18, 35, 203, 148, 195, 157, 4, 274, 161, 26, 430, 11, 85, 290]","[13, 9, 133, 100, 44, 31, 18, 35, 203, 148, 195, 157, 4, 274, 161, 26, 430, 11, 85, 290]",[13],13,"[195, 18, 133, 100, 44, 31, 35, 203, 148, 157, 274, 161, 26, 430, 85, 290]",[195],195,20.4353
W106,657,644,13,True,No,2,0,True,"[22, 13, 4, 30, 35, 9, 26, 39, 48, 61, 17, 52, 5, 8, 43, 57, 78, 65, 74, 18, 104, 100, 87, 70, 44, 161, 83]","[22, 13, 4, 30, 35, 9, 26, 39, 48, 61, 17, 52, 5, 8, 43, 57, 78, 65, 74, 18, 104, 100, 87, 70, 44, 161, 83]",[22],22,"[44, 104, 30, 70, 18, 78, 48, 61, 17, 100, 43, 57, 65, 74, 87, 161, 83]",[44],44,6.6472
W107,2296,2283,13,True,No,2,0,True,"[26, 52, 39, 13, 48, 17, 9, 100, 174, 287, 4, 200, 22, 65, 74, 30, 91, 261, 274, 113, 165, 213, 235, 152, 126, 87, 135, 61, 161, 278, 222, 191, 187, 265, 35, 78, 122, 148, 130, 239, 43, 335, 183, 300, 139, 313, 56, 170, 141, 461, 96, 248, 217, 226, 256, 104, 304, 137]","[26, 52, 39, 13, 48, 17, 9, 100, 174, 287, 4, 200, 22, 65, 74, 30, 91, 261, 274, 113, 165, 213, 235, 152, 126, 87, 135, 61, 161, 278, 222, 191, 187, 265, 35, 78, 122, 148, 130, 239, 43, 335, 183, 300, 139, 313, 56, 170, 141, 461, 96, 248, 217, 226, 256, 104, 304, 137]",[26],26,"[130, 104, 78, 96, 187, 261, 300, 174, 287, 304, 200, 22, 222, 91, 274, 226, 165, 213, 235, 126, 135, 183, 161, 278, 191, 265, 35, 122, 148, 239, 43, 335, 313, 56, 170, 141, 461, 248, 217, 256]",[130],130,20.549
