unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
W10,947,934,13,True,No,1,0,True,mul,"[10, 25]","[10, 25]",[10],10,"[10, 25]",[10],10,7.1429
W105,2296,2283,13,True,No,2,0,True,mul,"[13, 9, 44, 31, 18, 35, 4, 26, 11]","[13, 9, 44, 31, 18, 35, 4, 26, 11]",[13],13,"[26, 18, 44, 31, 35]",[26],26,7.6495
W101,392,379,13,True,No,1,0,True,mul,"[13, 52, 26, 4, 9, 39, 22, 48, 35, 17, 30, 5]","[13, 52, 26, 4, 9, 39, 22, 48, 35, 17, 30, 5]",[13],13,"[52, 9, 39, 22, 48, 35, 17, 30]",[52],52,7.5119
W102,2296,2283,13,True,No,2,0,True,mul,"[52, 13, 26, 39, 2, 9, 50, 4, 48, 24, 11, 22, 28, 46, 35, 37, 30, 17, 15, 44, 54]","[52, 13, 26, 39, 2, 9, 50, 4, 48, 24, 11, 22, 28, 46, 35, 37, 30, 17, 15, 44, 54]",[52],52,"[52, 39, 54, 50, 48, 44, 28, 46, 35, 37, 30, 17]",[52],52,8.1382
W100,2296,2283,13,True,No,2,0,True,mul,"[13, 52, 48, 9, 22, 26, 4, 39, 35, 17, 57, 30, 43]","[13, 52, 48, 9, 22, 26, 4, 39, 35, 17, 57, 30, 43]",[13],13,"[52, 48, 9, 22, 39, 35, 17, 57, 30, 43]",[52],52,8.8314
W106,657,644,13,True,No,2,0,True,mul,"[22, 13, 4, 30, 35, 9, 26, 39, 48, 17, 52, 5, 8, 43, 57, 18, 44]","[22, 13, 4, 30, 35, 9, 26, 39, 48, 17, 52, 5, 8, 43, 57, 18, 44]",[22],22,"[44, 52, 30, 35, 18, 39, 48, 17, 43, 57]",[44],44,2.62
W1,2192,2179,13,True,No,2,0,True,mul,"[26, 52, 4, 44, 12, 14, 22, 40, 8, 48, 60, 30, 56, 20]","[26, 52, 4, 44, 12, 14, 22, 40, 8, 48, 60, 30, 56, 20]",[26],26,"[52, 60, 44, 56, 40, 48]",[52],52,10.6425
W104,392,379,13,True,No,2,0,True,mul,"[13, 4, 9, 44, 35, 31]","[13, 4, 9, 44, 35, 31]",[13],13,"[13, 44, 9, 35, 31]",[13],13,9.4757
W107,2296,2283,13,True,No,2,0,True,mul,"[26, 52, 39, 13, 48, 17, 9, 4, 22, 30, 35, 43, 56]","[26, 52, 39, 13, 48, 17, 9, 4, 22, 30, 35, 43, 56]",[26],26,"[52, 39, 48, 17, 9, 56, 22, 30, 35, 43]",[52],52,3.5196
W108,2296,2283,13,True,No,2,0,True,mul,"[52, 26, 13, 48, 22, 39, 4, 2, 35, 9, 30, 24, 28, 17, 50, 44, 57]","[52, 26, 13, 48, 22, 39, 4, 2, 35, 9, 30, 24, 28, 17, 50, 44, 57]",[52],52,"[52, 48, 44, 39, 35, 9, 30, 28, 17, 50, 57]",[52],52,3.5605
W11,947,934,13,True,No,1,0,True,mul,"[13, 4, 35, 9]","[13, 4, 35, 9]",[13],13,"[13, 4, 35, 9]",[13],13,3.005
W103,2296,2283,13,True,No,1,0,True,mul,"[39, 26, 48, 13, 4, 17, 52, 22, 43, 35, 9, 28, 24, 20]","[39, 26, 48, 13, 4, 17, 52, 22, 43, 35, 9, 28, 24, 20]",[39],39,"[39, 52, 48, 17, 22, 43, 35, 9, 28, 20]",[39],39,10.2915
W109,2296,2283,13,True,No,2,0,True,mul,"[52, 26, 48, 13, 4, 22, 39, 2, 35, 9, 30, 24, 17, 28, 57, 44, 50]","[52, 26, 48, 13, 4, 22, 39, 2, 35, 9, 30, 24, 17, 28, 57, 44, 50]",[52],52,"[52, 48, 44, 39, 35, 9, 30, 17, 28, 57, 50]",[52],52,3.6492
W110,392,379,13,True,No,1,0,True,mul,"[3, 52, 4, 22, 19, 17, 18]","[3, 52, 4, 22, 19, 17, 18]",[3],3,"[18, 52, 22, 19, 17]",[18],18,3.2583
W111,392,379,13,True,No,1,0,True,mul,"[17, 4, 26, 9, 52, 21, 30]","[17, 4, 26, 9, 52, 21, 30]",[17],17,"[17, 52, 9, 21, 30]",[17],17,2.9362
W112,2296,2283,13,True,No,2,0,True,mul,"[26, 52, 13, 2, 48, 39, 22, 50, 4, 24, 35, 17, 28, 41, 37, 11, 15, 9, 6, 44]","[26, 52, 13, 2, 48, 39, 22, 50, 4, 24, 35, 17, 28, 41, 37, 11, 15, 9, 6, 44]",[26],26,"[52, 48, 39, 44, 50, 35, 17, 28, 41, 37, 15, 9]",[52],52,3.9624
W117,862,849,13,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.3427
W113,1057,1044,13,True,No,1,0,True,mul,"[26, 8, 18, 38, 4, 30, 13, 20, 22]","[26, 8, 18, 38, 4, 30, 13, 20, 22]",[26],26,"[26, 8, 18, 38, 20, 30, 22]",[26],26,3.4947
W114,1057,1044,13,True,No,1,0,True,mul,"[13, 39, 18, 52, 4, 22, 26, 35, 57, 48]","[13, 39, 18, 52, 4, 22, 26, 35, 57, 48]",[13],13,"[52, 39, 18, 22, 35, 57, 48]",[52],52,3.7978
W116,2296,2283,13,True,No,2,0,True,mul,"[52, 26, 48, 22, 13, 2, 24, 4, 35, 9, 39, 50, 28, 30, 17, 57]","[52, 26, 48, 22, 13, 2, 24, 4, 35, 9, 39, 50, 28, 30, 17, 57]",[52],52,"[52, 48, 22, 35, 9, 39, 50, 28, 30, 17, 57]",[52],52,4.2237
W115,2296,2283,13,True,No,1,0,True,mul,"[52, 13, 26, 18, 22, 4, 48, 39, 30, 44, 8, 35, 57, 14, 31, 56]","[52, 13, 26, 18, 22, 4, 48, 39, 30, 44, 8, 35, 57, 14, 31, 56]",[52],52,"[52, 18, 44, 56, 48, 39, 30, 35, 57, 31]",[52],52,4.3454
W118,657,644,13,True,No,1,0,True,mul,"[4, 13, 9, 22, 26, 35, 39, 17, 30, 48, 52, 5, 8, 43, 18, 57, 44, 31, 56]","[4, 13, 9, 22, 26, 35, 39, 17, 30, 48, 52, 5, 8, 43, 18, 57, 44, 31, 56]",[4],4,"[56, 52, 18, 44, 35, 39, 17, 30, 48, 43, 57, 31]",[56],56,3.5096
W119,288,275,13,True,No,1,0,True,mul,[44],[44],[44],44,[44],[44],44,3.3171
W120,288,275,13,True,No,1,0,True,mul,[44],[44],[44],44,[44],[44],44,2.7257
W12,470,457,13,True,No,1,0,True,mul,"[17, 34, 9, 43]","[17, 34, 9, 43]",[17],17,"[34, 9, 43]",[34],34,3.0788
W121,2296,2283,13,True,No,2,0,True,mul,"[52, 26, 13, 48, 39, 22, 35, 4, 9, 17, 30, 2, 57, 44, 24, 43, 50]","[52, 26, 13, 48, 39, 22, 35, 4, 9, 17, 30, 2, 57, 44, 24, 43, 50]",[52],52,"[52, 48, 39, 44, 35, 9, 17, 30, 57, 43, 50]",[52],52,4.116
