dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,run_date,smape,time
M4,Hourly,pycaret,3.0.0,ets,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,72.4857,10.7187,0.0,3.6879,100.0,2023-04-21,53.3182,6.0167
M4,Hourly,pycaret,3.0.0,exp_smooth,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,2023-04-21,61.8234,3.8
M4,Hourly,pycaret,3.0.0.rc8,ada_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,59.4297,2.6698,0.0,1.2728,100.0,2023-01-22,26.3019,19.3167
M4,Hourly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,30.7001,4.7259,0.0,1.9746,100.0,2023-01-22,36.3239,11.9333
M4,Hourly,pycaret,3.0.0.rc8,br_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3464,1.9508,0.0,0.9574,100.0,2023-01-22,20.228,20.95
M4,Hourly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,73.2588,10.763,0.0,3.1756,100.0,2023-01-22,34.1438,10.6833
M4,Hourly,pycaret,3.0.0.rc8,dt_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,29.2638,1.5218,0.0,0.9049,100.0,2023-01-22,21.5869,20.4667
M4,Hourly,pycaret,3.0.0.rc8,en_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.0601,2.9519,0.0,1.1855,100.0,2023-01-22,20.9281,20.8167
M4,Hourly,pycaret,3.0.0.rc8,et_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.9522,1.6502,0.0,0.908,100.0,2023-01-22,20.7165,22.8833
M4,Hourly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,72.4857,10.7187,0.0,3.6879,100.0,2023-01-22,53.3182,13.1333
M4,Hourly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,2023-01-22,61.8234,11.2333
M4,Hourly,pycaret,3.0.0.rc8,gbr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,43.2049,2.2679,0.0,1.0896,100.0,2023-01-22,22.6519,22.1667
M4,Hourly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.7816,11.6862,0.0,3.3688,100.0,2023-01-22,34.161,10.3333
M4,Hourly,pycaret,3.0.0.rc8,huber_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,34.1148,1.9222,0.0,0.9581,100.0,2023-01-22,20.4713,20.9333
M4,Hourly,pycaret,3.0.0.rc8,knn_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.6077,1.9515,0.0,0.9821,100.0,2023-01-22,21.1301,17.6167
M4,Hourly,pycaret,3.0.0.rc8,lar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2415,414.0,1.2702954713728205e+17,1.9088818332220144e+16,0.0,3985072958455461.0,99.7585,2023-01-22,23.9245,20.9333
M4,Hourly,pycaret,3.0.0.rc8,lasso_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.1052,2.9801,0.0,1.1925,100.0,2023-01-22,20.9681,20.9833
M4,Hourly,pycaret,3.0.0.rc8,lightgbm_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,48.5804,1.962,0.0,1.0095,100.0,2023-01-22,22.0548,21.2333
M4,Hourly,pycaret,3.0.0.rc8,llar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,42.6331,3.1618,0.0,1.2503,100.0,2023-01-22,21.6991,21.1
